Iteration,Time,LB,UB,Rel_Gap,Abs_Gap,Nodes_Explored,Open_Nodes
0,39.1611,0.9559982075639628,inf,inf,inf,1,2
1,80.9254,0.9559982075639628,0.9825078546041404,0.026981613343802207,0.026509647040177553,2,3
2,126.3381,0.9634650018657775,0.9825078546041404,0.019381883461924404,0.019042852738362814,3,4
3,171.2653,0.9634650018657775,0.9825078546041404,0.019381883461924404,0.019042852738362814,4,5
4,211.9977,0.9691311305856161,0.9825078546041404,0.013614877434149247,0.0133767240185243,5,6
5,257.1988,0.9691311305856161,0.9825078546041404,0.013614877434149247,0.0133767240185243,6,7
6,299.0234,0.9695230990317868,0.9825078546041404,0.013215930551094903,0.012984755572353568,7,8
7,340.8087,0.9695230990317868,0.9825078546041404,0.013215930551094903,0.012984755572353568,8,9
8,379.3682,0.9709428980707873,0.9825078546041404,0.011770854023363208,0.011564956533353099,9,10
9,429.1303,0.9709428980707873,0.9825078546041404,0.011770854023363208,0.011564956533353099,10,11
10,474.7197,0.9714673434531224,0.9825078546041404,0.011237071642003625,0.011040511151018007,11,12
11,522.5297,0.9714673434531224,0.9813097523275336,0.010029869621764562,0.009842408874411235,12,13
12,570.275,0.9724412393604059,0.9813097523275336,0.009037424672579418,0.00886851296712765,13,14
13,616.645,0.9724412393604059,0.9813097523275336,0.009037424672579418,0.00886851296712765,14,15
14,667.5355,0.9726212221524636,0.9813097523275336,0.008854013887523254,0.008688530175069986,15,16
15,710.1322,0.9726212221524636,0.9813097523275336,0.008854013887523254,0.008688530175069986,16,17
16,752.9811,0.9726596626160674,0.9813097523275336,0.008814841278148263,0.008650089711466191,17,18
17,800.3357,0.9726596626160674,0.9813097523275336,0.008814841278148263,0.008650089711466191,18,19
18,847.1888,0.9726596626160674,0.9813097523275336,0.008814841278148263,0.008650089711466191,19,20
19,879.8252,0.9726596626160674,0.9813097523275336,0.008814841278148263,0.008650089711466191,20,21
20,918.6889,0.9727980758605865,0.9813097523275336,0.008673791783642748,0.00851167646694706,21,20
21,964.1648,0.9727980758605865,0.9813097523275336,0.008673791783642748,0.00851167646694706,22,21
22,1008.026,0.9728826308608661,0.9813097523275336,0.008587626329687926,0.008427121466667464,23,22
23,1037.663,0.9728826308608661,0.9813097523275336,0.008587626329687926,0.008427121466667464,24,23
24,1071.6019,0.9729499349029533,0.9813097523275336,0.008519040399580152,0.008359817424580251,25,24
25,1114.8864,0.9729499349029533,0.9813097523275336,0.008519040399580152,0.008359817424580251,26,25
26,1234.4249,0.9533573602681441,0.9813097523275336,0.02848477964586636,0.027952392059389486,27,26
27,1406.6384,0.9533573602681441,0.9813097523275336,0.02848477964586636,0.027952392059389486,28,27
