Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
41.108,1, ,* L  ,0.95599821,inf,inf%,inf,2
85.481,2, ,* U  ,0.95599821,0.98250785,2.6982%,0.02651,3
132.676,3, ,* L  ,0.963465,0.98250785,1.9382%,0.019043,4
178.147,4, , ,0.963465,0.98250785,1.9382%,0.019043,5
218.229,5, ,* L  ,0.96913113,0.98250785,1.3615%,0.013377,6
263.548,6, , ,0.96913113,0.98250785,1.3615%,0.013377,7
305.052,7, ,* L  ,0.9695231,0.98250785,1.3216%,0.012985,8
346.316,8, , ,0.9695231,0.98250785,1.3216%,0.012985,9
383.398,9, ,* L  ,0.9709429,0.98250785,1.1771%,0.011565,10
427.809,10, , ,0.9709429,0.98250785,1.1771%,0.011565,11
467.848,11, ,* L  ,0.97146734,0.98250785,1.1237%,0.011041,12
510.726,12, ,* U  ,0.97146734,0.98130975,1.003%,0.009842,13
552.736,13, ,* L  ,0.97244124,0.98130975,0.9037%,0.008869,14
594.054,14, , ,0.97244124,0.98130975,0.9037%,0.008869,15
639.179,15, ,* L  ,0.97262122,0.98130975,0.8854%,0.008689,16
678.045,16, , ,0.97262122,0.98130975,0.8854%,0.008689,17
716.939,17, ,* L  ,0.97265966,0.98130975,0.8815%,0.00865,18
760.285,18, , ,0.97265966,0.98130975,0.8815%,0.00865,19
801.659,19, , ,0.97265966,0.98130975,0.8815%,0.00865,20
831.703,20, , ,0.97265966,0.98130975,0.8815%,0.00865,21
864.17,21,Bound,* L  ,0.97279808,0.98130975,0.8674%,0.008512,20
906.664,22, , ,0.97279808,0.98130975,0.8674%,0.008512,21
947.369,23, ,* L  ,0.97288263,0.98130975,0.8588%,0.008427,22
974.82,24, , ,0.97288263,0.98130975,0.8588%,0.008427,23
1006.631,25, ,* L  ,0.97294993,0.98130975,0.8519%,0.00836,24
1047.833,26, , ,0.97294993,0.98130975,0.8519%,0.00836,25
1161.5,27, ,* L  ,-inf,0.98130975,inf%,inf,26
1325.714,28, , ,-inf,0.98130975,inf%,inf,27
1453.502,29,Bound,* L  ,0.97345719,0.98130975,0.8002%,0.007853,26
1583.833,30, , ,0.97345719,0.98130975,0.8002%,0.007853,27
1656.181,31,Bound,* L  ,0.97355749,0.98130975,0.79%,0.007752,26
1794.482,32, , ,0.97355749,0.98130975,0.79%,0.007752,27
1834.872,33, ,* L  ,0.97359109,0.98130975,0.7866%,0.007719,28
1981.047,34, , ,0.97359109,0.98130975,0.7866%,0.007719,29
2049.419,35,Bound,* L  ,0.97365846,0.98130975,0.7797%,0.007651,28
2079.912,36,Bound, ,0.97365846,0.98130975,0.7797%,0.007651,27
2114.91,37, ,* L  ,0.97378274,0.98130975,0.767%,0.007527,28
2476.881,38, , ,0.97378274,0.98130975,0.767%,0.007527,29
2682.304,39, ,* L  ,0.97394062,0.98130975,0.7509%,0.007369,30
2804.961,40, , ,0.97394062,0.98130975,0.7509%,0.007369,31
3040.944,41, ,* L  ,0.97406515,0.98130975,0.7383%,0.007245,32
3085.059,42, , ,0.97406515,0.98130975,0.7383%,0.007245,33
3132.613,43, ,* L  ,0.97413825,0.98130975,0.7308%,0.007172,34
