Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,#simplex,#active,Split,Selection
230.449,8,0.981099225,2.231400918,56.0321%,1.25030,6,6,none,ms(dist)
329.550,9,0.983324351,2.231400918,55.9324%,1.24808,7,7,edge,ms(dist)
433.876,10,0.986479869,2.231400918,55.7910%,1.24492,8,8,edge,ms(dist)
587.339,11,0.986725754,2.231400918,55.7800%,1.24468,11,11,interior,ms(dist)
788.847,12,0.979963910,2.231400918,56.0830%,1.25144,14,13,interior,ms(dist)
972.568,13,0.980028061,2.231400918,56.0801%,1.25137,17,14,interior,ms(dist)
1156.941,14,0.980742680,2.231400918,56.0481%,1.25066,20,15,interior,ms(dist)
1331.191,15,0.980212832,2.231400918,56.0719%,1.25119,23,16,interior,ms(dist)
1517.458,16,0.980286562,2.231400918,56.0686%,1.25111,26,17,interior,ms(dist)
1709.360,17,0.980217382,2.231400918,56.0717%,1.25118,29,18,interior,ms(dist)
1896.012,18,0.979868645,2.231400918,56.0873%,1.25153,32,20,interior,ms(dist)
1931.099,19,0.980127354,2.231400918,56.0757%,1.25127,32,20,interior,ms(dist)
2035.724,20,0.979990886,2.231400918,56.0818%,1.25141,33,20,interior,ms(dist)
2131.465,21,0.980043927,2.231400918,56.0794%,1.25136,34,20,interior,ms(dist)
2229.351,22,0.980110905,2.231400918,56.0764%,1.25129,35,20,interior,ms(dist)
2320.031,23,0.980128504,2.231400918,56.0756%,1.25127,36,20,interior,ms(dist)
2506.389,24,0.980021013,2.231400918,56.0805%,1.25138,39,22,interior,ms(dist)
2685.627,25,0.979991667,2.231400918,56.0818%,1.25141,42,23,interior,ms(dist)
2729.505,26,0.979814617,2.231400918,56.0897%,1.25159,42,23,interior,ms(dist)
2772.906,27,0.980060497,2.231400918,56.0787%,1.25134,42,23,interior,ms(dist)
2952.476,28,0.980095940,2.231400918,56.0771%,1.25130,45,24,interior,ms(dist)
2991.639,29,0.980146696,2.231400918,56.0748%,1.25125,45,24,interior,ms(dist)
3180.482,30,0.979834312,2.231400918,56.0888%,1.25157,48,25,interior,ms(dist)
3221.400,31,0.979910045,2.231400918,56.0854%,1.25149,48,25,interior,ms(dist)
3263.357,32,0.979929359,2.231400918,56.0846%,1.25147,48,25,interior,ms(dist)
3306.232,33,0.980022181,2.231400918,56.0804%,1.25138,48,25,interior,ms(dist)
3347.940,34,0.980153576,2.231400918,56.0745%,1.25125,48,25,interior,ms(dist)
3385.911,35,0.979936709,2.231400918,56.0842%,1.25146,48,25,interior,ms(dist)
3422.778,36,0.980162690,2.231400918,56.0741%,1.25124,48,25,interior,ms(dist)
3451.084,37,0.980165622,2.231400918,56.0740%,1.25124,48,25,interior,ms(dist)
3495.827,38,0.979874683,2.231400918,56.0870%,1.25153,48,25,interior,ms(dist)
3538.907,39,0.980191314,2.231400918,56.0728%,1.25121,48,25,interior,ms(dist)
3637.170,40,0.980091226,2.231400918,56.0773%,1.25131,49,25,interior,ms(dist)
3731.972,41,0.980036060,2.231400918,56.0798%,1.25136,50,25,interior,ms(dist)
3832.352,42,0.980276345,2.231400918,56.0690%,1.25112,51,25,interior,ms(dist)
4020.541,43,0.979808414,2.231400918,56.0900%,1.25159,54,27,interior,ms(dist)
4060.695,44,0.980151729,2.231400918,56.0746%,1.25125,54,27,interior,ms(dist)
4239.276,45,0.979903936,2.231400918,56.0857%,1.25150,57,28,interior,ms(dist)
4278.429,46,0.980025933,2.231400918,56.0802%,1.25137,57,28,interior,ms(dist)
4464.822,47,0.980080051,2.231400918,56.0778%,1.25132,60,29,interior,ms(dist)
4650.184,48,0.980141606,2.231400918,56.0751%,1.25126,63,30,interior,ms(dist)
4786.816,49,0.980208943,2.231400918,56.0720%,1.25119,64,30,edge,ms(dist)
4974.770,50,0.980039442,2.231400918,56.0796%,1.25136,67,32,interior,ms(dist)
5161.288,51,0.980024548,2.231400918,56.0803%,1.25138,70,34,interior,ms(dist)
5258.740,52,0.980036719,2.231400918,56.0798%,1.25136,71,34,interior,ms(dist)
5442.860,53,0.980143009,2.231400918,56.0750%,1.25126,74,35,interior,ms(dist)
5540.555,54,0.980156419,2.231400918,56.0744%,1.25124,75,35,interior,ms(dist)
5581.823,55,0.979978615,2.231400918,56.0824%,1.25142,75,35,interior,ms(dist)
5621.845,56,0.980175481,2.231400918,56.0735%,1.25123,75,35,interior,ms(dist)
5731.010,57,0.980178079,2.231400918,56.0734%,1.25122,76,35,interior,ms(dist)
5826.698,58,0.980025903,2.231400918,56.0802%,1.25138,77,36,edge,ms(dist)
5922.244,59,0.980115346,2.231400918,56.0762%,1.25129,78,37,edge,ms(dist)
6035.179,60,0.980169698,2.231400918,56.0738%,1.25123,79,37,interior,ms(dist)
6222.337,61,0.979753853,2.231400918,56.0924%,1.25165,82,38,interior,ms(dist)
6265.345,62,0.979816719,2.231400918,56.0896%,1.25158,82,38,interior,ms(dist)
6307.271,63,0.980035231,2.231400918,56.0798%,1.25137,82,38,interior,ms(dist)
6348.619,64,0.980281288,2.231400918,56.0688%,1.25112,82,38,interior,ms(dist)
6463.714,65,0.980103701,2.231400918,56.0768%,1.25130,83,38,interior,ms(dist)
6597.410,66,0.980299709,2.231400918,56.0680%,1.25110,84,38,edge,ms(dist)
6696.095,67,0.980327491,2.231400918,56.0667%,1.25107,85,38,interior,ms(dist)
6812.650,68,0.979982541,2.231400918,56.0822%,1.25142,86,38,interior,ms(dist)
6948.705,69,0.980001419,2.231400918,56.0813%,1.25140,87,38,edge,ms(dist)
7043.862,70,0.979958258,2.231400918,56.0833%,1.25144,88,38,interior,ms(dist)
7148.918,71,0.979980029,2.231400918,56.0823%,1.25142,89,38,interior,ms(dist)
7258.995,72,0.979855146,2.231400918,56.0879%,1.25155,90,38,interior,ms(dist)
7338.736,73,0.979919135,1.069809640,8.4025%,0.08989,91,39,interior,ms(dist)
7424.200,74,0.979868361,0.980536435,0.0681%,0.00067,92,5,edge,ms(dist)
7542.464,75,0.979883793,0.980461671,0.0589%,0.00058,93,4,edge,ms(dist)
7643.680,76,0.979888637,0.980461671,0.0584%,0.00057,94,5,edge,ms(dist)
7741.771,77,0.979888182,0.980461671,0.0585%,0.00057,95,6,edge,ms(dist)
7822.741,78,0.979888884,0.980461671,0.0584%,0.00057,96,7,edge,ms(dist)
7900.913,79,0.979889964,0.980461671,0.0583%,0.00057,97,8,face,ms(dist)
