Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
863.008,8,0.979325763,2.231400917,56.1116%,1.25208,0.979325763,2.231400917
969.693,9,0.979419483,2.231400917,56.1074%,1.25198,0.979419483,2.231400917
1084.085,10,0.979318096,2.231400917,56.1120%,1.25208,0.979419483,2.231400917
1181.080,11,0.979211802,2.231400917,56.1167%,1.25219,0.979419483,2.231400917
1376.549,12,0.979204459,2.231400917,56.1171%,1.25220,0.979419483,2.231400917
1592.389,13,0.979208911,2.231400917,56.1169%,1.25219,0.979419483,2.231400917
1650.341,14,0.979210853,2.231400917,56.1168%,1.25219,0.979419483,2.231400917
1708.059,15,0.979208732,2.231400917,56.1169%,1.25219,0.979419483,2.231400917
1934.372,16,0.979206956,2.231400917,56.1169%,1.25219,0.979419483,2.231400917
2151.643,17,0.979212331,2.231400917,56.1167%,1.25219,0.979419483,2.231400917
2201.581,18,0.979218348,2.231400917,56.1164%,1.25218,0.979419483,2.231400917
2417.998,19,0.979207557,2.231400917,56.1169%,1.25219,0.979419483,2.231400917
2631.630,20,0.979219134,2.231400917,56.1164%,1.25218,0.979419483,2.231400917
2683.936,21,0.979209662,1.853176603,47.1605%,0.87397,0.979419483,1.853176603
2892.158,22,0.979211961,1.826397281,46.3856%,0.84719,0.979419483,1.826397281
3079.643,23,0.979205589,1.731220610,43.4384%,0.75202,0.979419483,1.731220610
3284.464,24,0.979206940,1.731220610,43.4384%,0.75201,0.979419483,1.731220610
3378.589,25,0.979206006,1.642497849,40.3831%,0.66329,0.979419483,1.642497849
3426.850,26,0.979208469,1.618633726,39.5040%,0.63943,0.979419483,1.618633726
3473.766,27,0.979208225,1.618633726,39.5040%,0.63943,0.979419483,1.618633726
3522.528,28,0.979207139,1.618633726,39.5041%,0.63943,0.979419483,1.618633726
3621.396,29,0.979205849,1.030999022,5.0236%,0.05179,0.979419483,1.030999022
3716.207,30,0.979204276,0.980351747,0.1170%,0.00115,0.979419483,0.980351747
3790.630,31,0.979202844,0.980351747,0.1172%,0.00115,0.979419483,0.980351747
3867.907,32,0.979208742,0.980351747,0.1166%,0.00114,0.979419483,0.980351747
3957.814,33,0.979209409,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
4163.881,34,0.979202516,0.980351747,0.1172%,0.00115,0.979419483,0.980351747
4292.074,35,0.979209657,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
4370.643,36,0.979209718,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
4565.846,37,0.979206517,0.980351747,0.1168%,0.00115,0.979419483,0.980351747
4740.441,38,0.979206457,0.980351747,0.1168%,0.00115,0.979419483,0.980351747
4788.632,39,0.979206900,0.980351747,0.1168%,0.00114,0.979419483,0.980351747
4835.530,40,0.979209801,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
4879.751,41,0.979209825,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
4925.067,42,0.979204224,0.980351747,0.1171%,0.00115,0.979419483,0.980351747
4971.656,43,0.979204058,0.980351747,0.1171%,0.00115,0.979419483,0.980351747
5016.995,44,0.979210172,0.980351747,0.1164%,0.00114,0.979419483,0.980351747
5072.581,45,0.979202801,0.980351747,0.1172%,0.00115,0.979419483,0.980351747
5118.663,46,0.979204722,0.980351747,0.1170%,0.00115,0.979419483,0.980351747
5163.561,47,0.979209328,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
5215.038,48,0.979211096,0.980351747,0.1164%,0.00114,0.979419483,0.980351747
5291.467,49,0.979212131,0.980351747,0.1162%,0.00114,0.979419483,0.980351747
5372.201,50,0.979212601,0.980351747,0.1162%,0.00114,0.979419483,0.980351747
5421.146,51,0.979213824,0.980351747,0.1161%,0.00114,0.979419483,0.980351747
5612.005,52,0.979209789,0.980351747,0.1165%,0.00114,0.979419483,0.980351747
5661.935,53,0.979208671,0.980351747,0.1166%,0.00114,0.979419483,0.980351747
5709.090,54,0.979205951,0.980351747,0.1169%,0.00115,0.979419483,0.980351747
5800.802,55,0.979214294,0.980351747,0.1160%,0.00114,0.979419483,0.980351747
5892.838,56,0.979208880,0.980351747,0.1166%,0.00114,0.979419483,0.980351747
5981.738,57,0.979204105,0.980351747,0.1171%,0.00115,0.979419483,0.980351747
6058.356,58,0.979204425,0.980351747,0.1170%,0.00115,0.979419483,0.980351747
6143.303,59,0.979210177,0.980351747,0.1164%,0.00114,0.979419483,0.980351747
6237.999,60,0.979201646,0.980351747,0.1173%,0.00115,0.979419483,0.980351747
6364.576,61,0.979216093,0.980351747,0.1158%,0.00114,0.979419483,0.980351747
6445.737,62,0.979201883,0.980351747,0.1173%,0.00115,0.979419483,0.980351747
6616.999,63,0.979202412,0.980351747,0.1172%,0.00115,0.979419483,0.980351747
6707.118,64,0.979201110,0.980349606,0.1172%,0.00115,0.979419483,0.980349606
6804.761,65,0.979201215,0.980347585,0.1169%,0.00115,0.979419483,0.980347585
6873.073,66,0.979202882,0.980131551,0.0947%,0.00093,0.979419483,0.980131551
6948.533,67,0.979201119,0.980131551,0.0949%,0.00093,0.979419483,0.980131551
7045.360,68,0.979201126,0.980130920,0.0949%,0.00093,0.979419483,0.980130920
7142.206,69,0.979204616,0.980130920,0.0945%,0.00093,0.979419483,0.980130920
7195.114,70,0.979204690,0.980130920,0.0945%,0.00093,0.979419483,0.980130920
7201.341,71,0.979204697,0.980130920,0.0945%,0.00093,0.979419483,0.980130920
7277.953,72,0.979204653,0.980130920,0.0945%,0.00093,0.979419483,0.980130920
7375.297,73,0.979209047,0.980130920,0.0941%,0.00092,0.979419483,0.980130920
7381.378,74,0.979219547,0.980130920,0.0930%,0.00091,0.979419483,0.980130920
7488.251,75,0.979204033,0.980130920,0.0946%,0.00093,0.979419483,0.980130920
7570.338,76,0.979220524,0.980130920,0.0929%,0.00091,0.979419483,0.980130920
7674.300,77,0.979202034,0.980130920,0.0948%,0.00093,0.979419483,0.980130920
