Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,#simplex,#active,Split,Selection
2296.884,8,0.979256404,2.231400918,56.1147%,1.25214,6,6,none,ms(dist)
2586.878,9,0.979207654,2.231400918,56.1169%,1.25219,7,7,edge,c_s
2978.397,10,0.979202160,0.983239591,0.4106%,0.00404,10,8,interior,c_s
3301.821,11,0.979201567,0.982288651,0.3143%,0.00309,13,8,interior,c_s
3682.121,12,0.979201559,0.982288651,0.3143%,0.00309,16,11,interior,c_s
3874.762,13,0.979201578,0.982288651,0.3143%,0.00309,16,10,interior,c_s
3946.152,14,0.979201821,0.982288651,0.3142%,0.00309,16,10,interior,c_s
4136.560,15,0.979202064,0.982288651,0.3142%,0.00309,17,11,interior,c_s
4322.847,16,0.979202317,0.982288651,0.3142%,0.00309,18,12,interior,c_s
4507.304,17,0.979202475,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4579.600,18,0.979202478,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4650.120,19,0.979202479,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4721.191,20,0.979202477,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4795.534,21,0.979202484,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4866.640,22,0.979202479,0.982288651,0.3142%,0.00309,19,13,interior,c_s
4938.487,23,0.979202490,0.982288651,0.3142%,0.00309,19,13,interior,c_s
5010.073,24,0.979202498,0.982288651,0.3142%,0.00309,19,13,interior,c_s
