Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
2949.755,8,0.979201320,2.231400917,56.1172%,1.25220,0.979201320,2.231400917
3487.798,9,0.979219332,2.231400917,56.1164%,1.25218,0.979219332,2.231400917
3816.403,10,0.979200877,2.231400917,56.1172%,1.25220,0.979219332,2.231400917
4233.357,11,0.979200905,2.006591208,51.2008%,1.02739,0.979219332,2.006591208
4535.868,12,0.979200866,2.006591208,51.2008%,1.02739,0.979219332,2.006591208
4583.924,13,0.979200907,1.969354763,50.2781%,0.99015,0.979219332,1.969354763
4633.841,14,0.979200905,1.969354763,50.2781%,0.99015,0.979219332,1.969354763
4684.635,15,0.979200918,1.969354763,50.2781%,0.99015,0.979219332,1.969354763
4735.924,16,0.979200866,1.969352026,50.2780%,0.99015,0.979219332,1.969352026
4786.324,17,0.979200867,1.830205830,46.4978%,0.85100,0.979219332,1.830205830
4836.897,18,0.979200834,1.830205830,46.4978%,0.85100,0.979219332,1.830205830
4887.654,19,0.979201038,1.830205830,46.4978%,0.85100,0.979219332,1.830205830
4940.904,20,0.979201036,1.735514984,43.5786%,0.75631,0.979219332,1.735514984
4995.120,21,0.979201043,1.735514984,43.5786%,0.75631,0.979219332,1.735514984
5046.444,22,0.979201047,1.735095398,43.5650%,0.75589,0.979219332,1.735095398
5100.447,23,0.979201412,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5151.213,24,0.979200850,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5469.693,25,0.979200867,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5567.261,26,0.979200826,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5620.647,27,0.979200857,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5672.193,28,0.979201417,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5724.639,29,0.979201451,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5776.744,30,0.979201460,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5880.652,31,0.979201461,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
5932.837,32,0.979201462,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6028.522,33,0.979201459,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6079.345,34,0.979201453,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6130.800,35,0.979201467,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6131.402,36,0.979201462,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6477.142,37,0.979201461,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6534.905,38,0.979201453,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6591.081,39,0.979201466,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6646.531,40,0.979201462,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6700.862,41,0.979201465,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6755.422,42,0.979201446,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6809.325,43,0.979201459,0.979694929,0.0504%,0.00049,0.979219332,0.979694929
6860.434,44,0.979201480,0.979694307,0.0503%,0.00049,0.979219332,0.979694307
6908.109,45,0.979201469,0.979664835,0.0473%,0.00046,0.979219332,0.979664835
6957.039,46,0.979202079,0.979664835,0.0472%,0.00046,0.979219332,0.979664835
6957.596,47,0.979202094,0.979664835,0.0472%,0.00046,0.979219332,0.979664835
7058.747,48,0.979202237,0.979664835,0.0472%,0.00046,0.979219332,0.979664835
