# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=5, verts=(1, 3, 4, 5), time=0.0181s, status=infeasible, dual_bound=None, primal_obj=-3987546797.6424775
[Iter 0] scenario=0, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0094s, status=time_limit, dual_bound=-1.2286220596532649, primal_obj=-1.2286220596532647
[Iter 0] scenario=1, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0125s, status=time_limit, dual_bound=-1.5168155255976978, primal_obj=-1.5168155255976976
[Iter 0] scenario=2, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0121s, status=time_limit, dual_bound=-1.4272826203681404, primal_obj=-1.4272826203681401
[Iter 0] scenario=3, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0077s, status=time_limit, dual_bound=-1.187130085646387, primal_obj=-1.187130085646387
[Iter 0] scenario=4, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0073s, status=time_limit, dual_bound=-1.3515400876328303, primal_obj=-1.3515400876328303
[Iter 0] scenario=6, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0107s, status=time_limit, dual_bound=-1.1652774275689992, primal_obj=-1.1652774275689992
[Iter 0] scenario=8, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0106s, status=time_limit, dual_bound=-1.1822267312895525, primal_obj=-1.182226731289553
[Iter 0] scenario=9, simplex_idx=6, verts=(0, 3, 4, 8), time=60.1156s, status=time_limit, dual_bound=-1.3833194560983102, primal_obj=-1.3833194560983104
[Iter 3] scenario=3, simplex_idx=11, verts=(1, 8, 10, 11), time=0.1693s, status=infeasible, dual_bound=None, primal_obj=-2.3176629091903322e-05
[Iter 4] scenario=3, simplex_idx=12, verts=(1, 8, 10, 12), time=0.3770s, status=infeasible, dual_bound=None, primal_obj=-9277.210442139636
[Iter 5] scenario=3, simplex_idx=13, verts=(1, 8, 12, 13), time=0.3388s, status=infeasible, dual_bound=None, primal_obj=-43595.706626961175
[Iter 5] scenario=3, simplex_idx=14, verts=(1, 8, 10, 13), time=0.3408s, status=infeasible, dual_bound=None, primal_obj=-74874.43432325606
[Iter 6] scenario=3, simplex_idx=15, verts=(1, 8, 13, 14), time=0.3700s, status=infeasible, dual_bound=None, primal_obj=-44945.12117653481
[Iter 6] scenario=3, simplex_idx=16, verts=(1, 8, 10, 14), time=0.1767s, status=infeasible, dual_bound=None, primal_obj=-793.3947946652047
[Iter 7] scenario=3, simplex_idx=17, verts=(1, 8, 14, 15), time=0.3353s, status=infeasible, dual_bound=None, primal_obj=-43520.14860481004
[Iter 7] scenario=3, simplex_idx=18, verts=(1, 8, 10, 15), time=0.2753s, status=infeasible, dual_bound=None, primal_obj=-787.3342895604628
[Iter 8] scenario=3, simplex_idx=20, verts=(1, 8, 10, 16), time=0.2441s, status=infeasible, dual_bound=None, primal_obj=-43476.760287186
[Iter 9] scenario=3, simplex_idx=21, verts=(1, 8, 10, 17), time=0.1259s, status=infeasible, dual_bound=None, primal_obj=-43357.9406314143
[Iter 10] scenario=3, simplex_idx=22, verts=(1, 8, 10, 18), time=0.1287s, status=infeasible, dual_bound=None, primal_obj=-43344.53212789688
[Iter 11] scenario=3, simplex_idx=24, verts=(1, 8, 10, 19), time=0.1263s, status=infeasible, dual_bound=None, primal_obj=-43350.659537389794
[Iter 12] scenario=3, simplex_idx=24, verts=(1, 8, 19, 20), time=0.2620s, status=infeasible, dual_bound=None, primal_obj=-43349.94034527152
[Iter 12] scenario=3, simplex_idx=25, verts=(1, 8, 10, 20), time=0.3013s, status=infeasible, dual_bound=None, primal_obj=-936.7833179034913
[Iter 13] scenario=3, simplex_idx=27, verts=(1, 8, 10, 21), time=0.3165s, status=infeasible, dual_bound=None, primal_obj=-41279.78389824369
[Iter 14] scenario=3, simplex_idx=27, verts=(1, 8, 21, 22), time=0.3153s, status=infeasible, dual_bound=None, primal_obj=-45378.5645328167
[Iter 14] scenario=3, simplex_idx=28, verts=(1, 8, 10, 22), time=0.2951s, status=infeasible, dual_bound=None, primal_obj=-936.5602866920731
[Iter 15] scenario=3, simplex_idx=30, verts=(1, 8, 10, 23), time=0.2847s, status=infeasible, dual_bound=None, primal_obj=-44870.41325146557
[Iter 16] scenario=3, simplex_idx=31, verts=(1, 8, 10, 24), time=0.3047s, status=infeasible, dual_bound=None, primal_obj=-44966.69342415762
[Iter 17] scenario=3, simplex_idx=33, verts=(1, 8, 10, 25), time=0.1520s, status=infeasible, dual_bound=None, primal_obj=-44951.30704894356
[Iter 18] scenario=3, simplex_idx=34, verts=(1, 8, 10, 26), time=0.3367s, status=infeasible, dual_bound=None, primal_obj=-44952.97653945217
[Iter 19] scenario=3, simplex_idx=34, verts=(1, 8, 26, 27), time=0.3476s, status=infeasible, dual_bound=None, primal_obj=-45084.17783805491
[Iter 19] scenario=3, simplex_idx=35, verts=(1, 8, 10, 27), time=0.2522s, status=infeasible, dual_bound=None, primal_obj=-901.4040790222455
[Iter 20] scenario=3, simplex_idx=37, verts=(1, 8, 10, 28), time=0.3302s, status=infeasible, dual_bound=None, primal_obj=-43086.102544591326
[Iter 21] scenario=3, simplex_idx=38, verts=(1, 8, 10, 29), time=0.1574s, status=infeasible, dual_bound=None, primal_obj=-43246.06693468891
[Iter 22] scenario=3, simplex_idx=39, verts=(1, 8, 10, 30), time=0.1335s, status=infeasible, dual_bound=None, primal_obj=-43252.568434454784
[Iter 23] scenario=3, simplex_idx=39, verts=(1, 8, 30, 31), time=0.1232s, status=infeasible, dual_bound=None, primal_obj=-43984.201213439555
[Iter 23] scenario=3, simplex_idx=40, verts=(1, 8, 10, 31), time=0.1274s, status=infeasible, dual_bound=None, primal_obj=-919.4784431531316
[Iter 24] scenario=3, simplex_idx=42, verts=(1, 8, 10, 32), time=0.1343s, status=infeasible, dual_bound=None, primal_obj=-42952.30433134785
[Iter 25] scenario=3, simplex_idx=43, verts=(1, 8, 10, 33), time=0.1367s, status=infeasible, dual_bound=None, primal_obj=-42978.820253309685
[Iter 26] scenario=3, simplex_idx=45, verts=(1, 8, 10, 34), time=0.1257s, status=infeasible, dual_bound=None, primal_obj=-42969.79523540285
[Iter 27] scenario=3, simplex_idx=45, verts=(1, 8, 34, 35), time=0.1233s, status=infeasible, dual_bound=None, primal_obj=-43057.25797450871
[Iter 27] scenario=3, simplex_idx=46, verts=(1, 8, 10, 35), time=0.1236s, status=infeasible, dual_bound=None, primal_obj=-898.7608541694179
[Iter 28] scenario=3, simplex_idx=48, verts=(1, 8, 10, 36), time=0.3341s, status=infeasible, dual_bound=None, primal_obj=-43875.53117907815
[Iter 29] scenario=3, simplex_idx=49, verts=(1, 8, 10, 37), time=0.2248s, status=infeasible, dual_bound=None, primal_obj=-43924.97120489625
[Iter 30] scenario=3, simplex_idx=49, verts=(1, 8, 37, 38), time=0.1900s, status=infeasible, dual_bound=None, primal_obj=-43970.3749949044
[Iter 30] scenario=3, simplex_idx=50, verts=(1, 8, 10, 38), time=0.1914s, status=infeasible, dual_bound=None, primal_obj=-886.0426020477812
[Iter 31] scenario=3, simplex_idx=52, verts=(1, 8, 10, 39), time=0.1916s, status=infeasible, dual_bound=None, primal_obj=-44643.25906150606
[Iter 32] scenario=3, simplex_idx=52, verts=(1, 8, 39, 40), time=0.1282s, status=infeasible, dual_bound=None, primal_obj=-44648.11633972314
[Iter 32] scenario=3, simplex_idx=53, verts=(1, 8, 10, 40), time=0.1237s, status=infeasible, dual_bound=None, primal_obj=-936.582955057128
[Iter 33] scenario=3, simplex_idx=55, verts=(1, 8, 10, 41), time=0.1813s, status=infeasible, dual_bound=None, primal_obj=-45130.341128006155
[Iter 34] scenario=3, simplex_idx=56, verts=(1, 8, 10, 42), time=0.1903s, status=infeasible, dual_bound=None, primal_obj=-45272.84029096743
[Iter 35] scenario=3, simplex_idx=58, verts=(1, 8, 10, 43), time=0.1855s, status=infeasible, dual_bound=None, primal_obj=-45433.45234977027
[Iter 36] scenario=3, simplex_idx=59, verts=(1, 8, 10, 44), time=0.1834s, status=infeasible, dual_bound=None, primal_obj=-41364.86626660593
[Iter 37] scenario=3, simplex_idx=61, verts=(1, 8, 10, 45), time=0.1831s, status=infeasible, dual_bound=None, primal_obj=-42998.17468909661
[Iter 38] scenario=3, simplex_idx=62, verts=(1, 8, 10, 46), time=0.3376s, status=infeasible, dual_bound=None, primal_obj=-42974.47196057503
[Iter 39] scenario=3, simplex_idx=64, verts=(1, 8, 10, 47), time=0.1807s, status=infeasible, dual_bound=None, primal_obj=-42962.24853575068
[Iter 40] scenario=3, simplex_idx=66, verts=(1, 8, 10, 48), time=0.1805s, status=infeasible, dual_bound=None, primal_obj=-44980.710441230316
[Iter 41] scenario=3, simplex_idx=67, verts=(1, 8, 10, 49), time=0.1971s, status=infeasible, dual_bound=None, primal_obj=-44753.46292127289
[Iter 42] scenario=3, simplex_idx=68, verts=(1, 8, 10, 50), time=0.1888s, status=infeasible, dual_bound=None, primal_obj=-44749.24834278268
[Iter 43] scenario=3, simplex_idx=70, verts=(1, 8, 10, 51), time=0.1825s, status=infeasible, dual_bound=None, primal_obj=-50771.005945988945
[Iter 44] scenario=3, simplex_idx=71, verts=(1, 8, 10, 52), time=0.1947s, status=infeasible, dual_bound=None, primal_obj=-50752.293021295656
[Iter 45] scenario=3, simplex_idx=72, verts=(1, 8, 10, 53), time=0.1732s, status=infeasible, dual_bound=None, primal_obj=-50733.94489592451
[Iter 46] scenario=3, simplex_idx=73, verts=(1, 8, 53, 54), time=0.1707s, status=infeasible, dual_bound=None, primal_obj=-50830.993428127615
[Iter 47] scenario=3, simplex_idx=74, verts=(1, 8, 12, 55), time=0.1949s, status=infeasible, dual_bound=None, primal_obj=-918.5688015142564
[Iter 48] scenario=3, simplex_idx=75, verts=(1, 8, 12, 56), time=0.1734s, status=infeasible, dual_bound=None, primal_obj=-74876.02646898503
[Iter 49] scenario=3, simplex_idx=76, verts=(1, 8, 13, 57), time=0.1932s, status=infeasible, dual_bound=None, primal_obj=-10966.54571104902
[Iter 50] scenario=3, simplex_idx=77, verts=(1, 8, 13, 58), time=0.1790s, status=infeasible, dual_bound=None, primal_obj=-78175.76841143404
[Iter 51] scenario=3, simplex_idx=78, verts=(1, 8, 13, 59), time=0.1921s, status=infeasible, dual_bound=None, primal_obj=-78175.9555939821
[Iter 52] scenario=3, simplex_idx=80, verts=(1, 8, 31, 60), time=0.1833s, status=infeasible, dual_bound=None, primal_obj=-780.1952030203744
[Iter 53] scenario=3, simplex_idx=81, verts=(1, 8, 60, 61), time=0.1915s, status=infeasible, dual_bound=None, primal_obj=-820.0897836829612
[Iter 54] scenario=3, simplex_idx=83, verts=(1, 8, 60, 62), time=0.1827s, status=infeasible, dual_bound=None, primal_obj=-839.23267491028
[Iter 56] scenario=3, simplex_idx=86, verts=(1, 8, 14, 64), time=0.1717s, status=infeasible, dual_bound=None, primal_obj=-841.8165854832204
