Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
35.989,8,0.978861416,0.979019070,0.0161033%,0.00016,0.978861416,0.979019070,INSIDE,INSIDE
565.516,9,0.978886485,0.979019070,0.0135427%,0.00013,0.978886485,0.979019070,INSIDE,INSIDE
586.325,10,0.978846178,0.979019070,0.0176597%,0.00017,0.978886485,0.979019070,INSIDE,INSIDE
612.901,11,0.978804722,0.979019070,0.0218942%,0.00021,0.978886485,0.979019070,INSIDE,INSIDE
630.398,12,0.978796476,0.979002303,0.0210242%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
636.492,13,0.978799934,0.979002303,0.0206709%,0.00020,0.978886485,0.979002303,INSIDE,INSIDE
657.798,14,0.978799581,0.979002303,0.0207070%,0.00020,0.978886485,0.979002303,INSIDE,INSIDE
676.650,15,0.978796150,0.979002303,0.0210574%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
701.314,16,0.978796288,0.979002303,0.0210433%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
709.036,17,0.978795930,0.979002303,0.0210799%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
713.616,18,0.978796508,0.979002303,0.0210208%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
718.187,19,0.978796423,0.979002303,0.0210295%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
722.766,20,0.978796519,0.979002303,0.0210198%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
749.338,21,0.978796510,0.979002303,0.0210206%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
760.406,22,0.978796603,0.979002303,0.0210111%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
785.594,23,0.978798384,0.979002303,0.0208292%,0.00020,0.978886485,0.979002303,INSIDE,INSIDE
799.873,24,0.978796417,0.979002303,0.0210302%,0.00021,0.978886485,0.979002303,INSIDE,INSIDE
815.161,25,0.978799944,0.979002303,0.0206699%,0.00020,0.978886485,0.979002303,INSIDE,INSIDE
