Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
61.341,1, ,* L U,0.95630935,0.97849443,2.2673%,0.022185,2
76.059,2, ,* U  ,0.95630935,0.97586654,2.0041%,0.019557,3
110.4,3, ,* L  ,0.96130245,0.97586654,1.4924%,0.014564,4
152.626,4, , ,0.96130245,0.97586654,1.4924%,0.014564,5
266.84,5, ,* L  ,0.96130245,0.97586654,1.4924%,0.014564,6
342.083,6, , ,0.96130245,0.97586654,1.4924%,0.014564,7
428.404,7, ,* L  ,0.96531733,0.97586654,1.081%,0.010549,8
447.557,8, , ,0.96531733,0.97586654,1.081%,0.010549,9
467.887,9, ,* L  ,0.96547282,0.97586654,1.0651%,0.010394,10
487.743,10,Bound, ,0.96547282,0.97586654,1.0651%,0.010394,9
