Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
65.629,8,0.978954000,0.979388215,0.0443354%,0.00043,0.978954000,0.979388215,INSIDE,INSIDE
731.065,9,0.978827678,0.979009717,0.0185942%,0.00018,0.978954000,0.979009717,INSIDE,INSIDE
925.975,10,0.978849186,0.979009717,0.0163972%,0.00016,0.978954000,0.979009717,OUTSIDE,INSIDE
953.308,11,0.978839708,0.979009717,0.0173653%,0.00017,0.978954000,0.979009717,INSIDE,OUTSIDE
997.970,12,0.978882863,0.979009717,0.0129574%,0.00013,0.978954000,0.979009717,INSIDE,OUTSIDE
1032.596,13,0.978887513,0.979009717,0.0124824%,0.00012,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1067.432,14,0.978891410,0.979009717,0.0120844%,0.00012,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1096.287,15,0.978887571,0.979009717,0.0124765%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1124.865,16,0.978898690,0.979009717,0.0113407%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1143.309,17,0.978900250,0.979009717,0.0111814%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1149.751,18,0.978901151,0.979009717,0.0110894%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1170.249,19,0.978898996,0.979009717,0.0113095%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1191.528,20,0.978894720,0.979009717,0.0117462%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1211.767,21,0.978893702,0.979009717,0.0118503%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1229.837,22,0.978901190,0.979009717,0.0110853%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1230.887,23,0.978899462,0.979009717,0.0112618%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1247.891,24,0.978894368,0.979009717,0.0117822%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1259.861,25,0.978902688,0.979009717,0.0109323%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1266.178,26,0.978903852,0.979009717,0.0108135%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1272.992,27,0.978894930,0.979009717,0.0117248%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1284.854,28,0.978905034,0.979009717,0.0106927%,0.00010,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1286.221,29,0.978905463,0.979009717,0.0106489%,0.00010,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1293.426,30,0.978899653,0.979009717,0.0112424%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1311.558,31,0.978894785,0.979009717,0.0117396%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1327.861,32,0.978891995,0.979009717,0.0120246%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1338.817,33,0.978901103,0.979009717,0.0110943%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1344.550,34,0.978894527,0.979009717,0.0117660%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1361.070,35,0.978891968,0.979009717,0.0120273%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1376.643,36,0.978893954,0.979009717,0.0118245%,0.00012,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1377.718,37,0.978899209,0.979009717,0.0112877%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1383.378,38,0.978902417,0.979009717,0.0109600%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1384.658,39,0.978894840,0.979009717,0.0117339%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1396.267,40,0.978909927,0.979009717,0.0101929%,0.00010,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1402.958,41,0.978893015,0.979009717,0.0119204%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1421.131,42,0.978891407,0.979009717,0.0120846%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1438.798,43,0.978892370,0.979009717,0.0119863%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1454.128,44,0.978895075,0.979009717,0.0117100%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1455.350,45,0.978892394,0.979009717,0.0119839%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1470.483,46,0.978896663,0.979009717,0.0115478%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1475.973,47,0.978894910,0.979009717,0.0117268%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1486.429,48,0.978897527,0.979009717,0.0114596%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1492.281,49,0.978902210,0.979009717,0.0109812%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1497.747,50,0.978892394,0.979009717,0.0119839%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1514.612,51,0.978891889,0.979009717,0.0120354%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1529.405,52,0.978891282,0.979009717,0.0120974%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1544.033,53,0.978891374,0.979009717,0.0120880%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1554.166,54,0.978894786,0.979009717,0.0117395%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1555.446,55,0.978896362,0.979009717,0.0115786%,0.00011,0.978954000,0.979009717,INSIDE,OUTSIDE
1565.420,56,0.978898641,0.979009717,0.0113457%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1571.017,57,0.978894501,0.979009717,0.0117686%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1586.330,58,0.978894659,0.979009717,0.0117524%,0.00012,0.978954000,0.979009717,INSIDE,OUTSIDE
1597.464,59,0.978900403,0.979009717,0.0111658%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1598.818,60,0.978904330,0.979009717,0.0107647%,0.00011,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1604.939,61,0.978911703,0.979009717,0.0100116%,0.00010,0.978954000,0.979009717,OUTSIDE,OUTSIDE
1606.385,62,0.978854944,0.979002276,0.0150492%,0.00015,0.978954000,0.979002276,INSIDE,INSIDE
1625.355,63,0.978913955,0.979002276,0.0090216%,0.00009,0.978954000,0.979002276,OUTSIDE,INSIDE
1626.877,64,0.978833715,0.979002276,0.0172177%,0.00017,0.978954000,0.979002276,INSIDE,OUTSIDE
1654.263,65,0.978851857,0.979002267,0.0153635%,0.00015,0.978954000,0.979002267,INSIDE,INSIDE
1683.027,66,0.978850499,0.979002267,0.0155023%,0.00015,0.978954000,0.979002267,INSIDE,OUTSIDE
1700.419,67,0.978850592,0.979002267,0.0154927%,0.00015,0.978954000,0.979002267,INSIDE,OUTSIDE
1714.905,68,0.978853612,0.979002267,0.0151843%,0.00015,0.978954000,0.979002267,OUTSIDE,OUTSIDE
1724.878,69,0.978853671,0.979002267,0.0151783%,0.00015,0.978954000,0.979002267,INSIDE,OUTSIDE
1741.042,70,0.978854329,0.979002267,0.0151111%,0.00015,0.978954000,0.979002267,OUTSIDE,OUTSIDE
1742.272,71,0.978851953,0.979002267,0.0153538%,0.00015,0.978954000,0.979002267,INSIDE,OUTSIDE
1765.865,72,0.978820825,0.979002267,0.0185333%,0.00018,0.978954000,0.979002267,INSIDE,OUTSIDE
1788.794,73,0.978813684,0.979002267,0.0192628%,0.00019,0.978954000,0.979002267,INSIDE,OUTSIDE
