Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
17.027,8,0.984085913,0.984167047,0.0082439%,0.00008,0.984085913,0.984167047,INSIDE,INSIDE
327.485,9,0.984034724,0.984167046,0.0134451%,0.00013,0.984085913,0.984167046,INSIDE,INSIDE
339.318,10,0.984038333,0.984167044,0.0130781%,0.00013,0.984085913,0.984167044,OUTSIDE,INSIDE
341.883,11,0.984030711,0.984167044,0.0138526%,0.00014,0.984085913,0.984167044,INSIDE,INSIDE
348.296,12,0.984051769,0.984167044,0.0117130%,0.00012,0.984085913,0.984167044,OUTSIDE,INSIDE
357.086,13,0.984052147,0.984167044,0.0116745%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
363.894,14,0.984052451,0.984167044,0.0116436%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
370.321,15,0.984052425,0.984167044,0.0116463%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
377.154,16,0.984052405,0.984167044,0.0116483%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
382.433,17,0.984052412,0.984167044,0.0116476%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
385.205,18,0.984052398,0.984167044,0.0116490%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
387.186,19,0.984052411,0.984167044,0.0116477%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
391.119,20,0.984052434,0.984167044,0.0116453%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
394.342,21,0.984052439,0.984167044,0.0116449%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
397.780,22,0.984052439,0.984167044,0.0116448%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
400.634,23,0.984052438,0.984167044,0.0116449%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
403.147,24,0.984052434,0.984167044,0.0116454%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
405.930,25,0.984052446,0.984167044,0.0116441%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
408.550,26,0.984052442,0.984167044,0.0116445%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
411.548,27,0.984052435,0.984167044,0.0116453%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
414.289,28,0.984052435,0.984167044,0.0116452%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
416.961,29,0.984052436,0.984167044,0.0116451%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
419.492,30,0.984052435,0.984167044,0.0116452%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
422.163,31,0.984052435,0.984167044,0.0116452%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
424.664,32,0.984052407,0.984167044,0.0116481%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
427.305,33,0.984052906,0.984167044,0.0115974%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
430.813,34,0.984052908,0.984167044,0.0115972%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
432.727,35,0.984052910,0.984167044,0.0115970%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
434.585,36,0.984052912,0.984167044,0.0115968%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
436.543,37,0.984052913,0.984167044,0.0115966%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
438.441,38,0.984052915,0.984167044,0.0115964%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
440.346,39,0.984052917,0.984167044,0.0115963%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
442.327,40,0.984052919,0.984167044,0.0115961%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
444.129,41,0.984052921,0.984167044,0.0115959%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
446.014,42,0.984052922,0.984167044,0.0115957%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
448.048,43,0.984052924,0.984167044,0.0115956%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
449.941,44,0.984052926,0.984167044,0.0115954%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
451.936,45,0.984052927,0.984167044,0.0115952%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
453.780,46,0.984052929,0.984167044,0.0115951%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
455.618,47,0.984052931,0.984167044,0.0115949%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
457.599,48,0.984052932,0.984167044,0.0115947%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
459.560,49,0.984052934,0.984167044,0.0115946%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
461.600,50,0.984052935,0.984167044,0.0115944%,0.00011,0.984085913,0.984167044,INSIDE,INSIDE
