Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
110.075,8,0.984150141,0.984167047,0.0017178%,0.00002,0.984150141,0.984167047,INSIDE,INSIDE
245.992,9,0.984055121,0.984167046,0.0113726%,0.00011,0.984150141,0.984167046,INSIDE,INSIDE
304.571,10,0.984068433,0.984167046,0.0100200%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
340.317,11,0.984068941,0.984167046,0.0099683%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
380.466,12,0.984068976,0.984167046,0.0099648%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
409.999,13,0.984068976,0.984167046,0.0099648%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
431.119,14,0.984067304,0.984167046,0.0101347%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
469.394,15,0.984067304,0.984167046,0.0101347%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
491.428,16,0.984067303,0.984167046,0.0101348%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
512.625,17,0.984067303,0.984167046,0.0101348%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
534.546,18,0.984067314,0.984167046,0.0101336%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
556.111,19,0.984067434,0.984167046,0.0101215%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
584.260,20,0.984067345,0.984167046,0.0101305%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
599.095,21,0.984067345,0.984167046,0.0101305%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
605.844,22,0.984067363,0.984167046,0.0101287%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
615.625,23,0.984067363,0.984167046,0.0101287%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
624.137,24,0.984067346,0.984167046,0.0101304%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
631.494,25,0.984067346,0.984167046,0.0101304%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
640.499,26,0.984067371,0.984167046,0.0101279%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
648.254,27,0.984067346,0.984167046,0.0101304%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
657.619,28,0.984067346,0.984167046,0.0101304%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
663.330,29,0.984067363,0.984167046,0.0101287%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
672.718,30,0.984067346,0.984167046,0.0101304%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
679.879,31,0.984067363,0.984167046,0.0101287%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
687.585,32,0.984067892,0.984167046,0.0100750%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
694.664,33,0.984067399,0.984167046,0.0101250%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
733.390,34,0.984067400,0.984167046,0.0101250%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
761.864,35,0.984067415,0.984167046,0.0101234%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
800.688,36,0.984067396,0.984167046,0.0101253%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
835.970,37,0.984067401,0.984167046,0.0101249%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
873.084,38,0.984067401,0.984167046,0.0101248%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
894.162,39,0.984067420,0.984167046,0.0101229%,0.00010,0.984150141,0.984167046,INSIDE,INSIDE
