Iteration   Subproblem          DualLB
--------------------------------------------
0           scen_1              0.94464261
0           scen_4              0.96498886
0           scen_5              0.94243951
0           scen_7              0.94646141
0           scen_9              0.95637761
0           scen_10             0.96117475
0           scen_12             0.95075188
0           scen_13             0.97174654
0           scen_16             0.95263087
0           scen_17             0.95177323
0           scen_18             0.94029125
0           scen_19             0.94663802
0           scen_20             0.94759163
0           scen_21             0.95735324
0           scen_22             0.94197227
0           scen_24             0.96046053
0           scen_26             0.94060499
0           scen_27             0.94691798
0           scen_28             0.94120101
0           scen_30             0.96390984
0           scen_31             0.94308688
0           scen_32             0.94394534
0           scen_35             0.96497806
0           scen_37             0.95434764
0           scen_39             0.97473091
0           scen_40             0.96536134
0           scen_41             0.94340952
0           scen_42             0.94989515
0           scen_44             0.94529674
0           scen_45             0.95183896
0           scen_46             0.96188244
0           scen_47             0.94629667
0           scen_48             0.94842116
0           scen_49             0.94703512
0           scen_7              0.94646141
0           scen_9              0.95637761
0           scen_10             0.96117475
0           scen_13             0.97174654
0           scen_17             0.95177323
0           scen_20             0.94759163
0           scen_21             0.95735324
0           scen_27             0.94691798
0           scen_28             0.94120101
0           scen_30             0.96390984
0           scen_35             0.96497806
0           scen_39             0.97473091
0           scen_40             0.96536134
0           scen_41             0.94340952
0           scen_42             0.94989515
0           scen_44             0.94529674
0           scen_45             0.95183896
0           scen_46             0.96188244
0           scen_47             0.94629667
0           scen_48             0.94842116
0           scen_49             0.94703512
1           scen_1              0.94500297
1           scen_3              1.0549467
1           scen_6              1.0110227
1           scen_8              1.0111588
1           scen_10             0.96397965
1           scen_21             0.95965142
1           scen_23             1.0010877
1           scen_25             1.0498186
1           scen_26             0.94066435
1           scen_28             0.94138316
1           scen_30             0.96390984
1           scen_33             1.105097
1           scen_34             1.0364342
1           scen_35             0.96497806
1           scen_36             1.0559049
1           scen_43             1.1005525
1           scen_50             0.99727043
2           scen_3              1.0549467
2           scen_6              1.0110227
2           scen_7              0.94646141
2           scen_8              1.0111588
2           scen_9              0.95637761
2           scen_10             0.96117475
2           scen_11             1.0348021
2           scen_12             0.95167529
2           scen_15             1.0716674
2           scen_21             0.95735324
2           scen_24             0.96163299
2           scen_25             1.0498186
2           scen_27             0.94691798
2           scen_28             0.94120101
2           scen_29             1.0791217
2           scen_30             0.96390984
2           scen_33             1.105097
2           scen_34             1.0364342
2           scen_35             0.96497806
2           scen_36             1.0559049
2           scen_37             0.95545449
2           scen_38             0.98796666
2           scen_39             0.97473091
2           scen_40             0.96787361
2           scen_41             0.94340952
2           scen_43             1.1005525
2           scen_46             0.96188244
2           scen_47             0.94629667
2           scen_48             0.94842116
2           scen_49             0.94703512
3           scen_4              0.968442
3           scen_10             0.96301637
3           scen_11             1.0348021
3           scen_14             0.99301998
3           scen_25             1.0498186
3           scen_33             1.105097
3           scen_34             1.0364342
3           scen_35             0.96497806
3           scen_36             1.0559049
3           scen_37             0.95545449
3           scen_38             0.98796666
3           scen_47             0.94629667
3           scen_50             0.99727043
