Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
583.061,1, ,* L  ,0.97511537,inf,inf%,inf,2
1166.908,2, , ,0.97511537,inf,inf%,inf,3
1707.664,3, ,* L  ,0.97517843,inf,inf%,inf,4
2255.149,4, , ,0.97517843,inf,inf%,inf,5
2753.738,5, ,* L  ,0.9753358,inf,inf%,inf,6
3266.579,6, ,* U  ,0.9753358,1.8279513,46.6432%,0.852616,7
3773.558,7, ,* L  ,0.9754401,1.8279513,46.6375%,0.852511,8
4231.291,8, , ,0.9754401,1.8279513,46.6375%,0.852511,9
4644.2,9, ,* L  ,0.97563417,1.8279513,46.6269%,0.852317,10
5082.915,10, , ,0.97563417,1.8279513,46.6269%,0.852317,11
5530.662,11, ,* L  ,0.97581213,1.8279513,46.6172%,0.852139,12
5981.414,12, , ,0.97581213,1.8279513,46.6172%,0.852139,13
6429.202,13, ,* L  ,0.97588056,1.8279513,46.6134%,0.852071,14
6832.808,14, ,* U  ,0.97588056,0.98043751,0.4648%,0.004557,15
7047.718,15,Bound,* L  ,0.97591548,0.98043751,0.4612%,0.004522,14
7552.115,16, , ,0.97591548,0.98043751,0.4612%,0.004522,15
8038.265,17, ,* L  ,0.97594304,0.98043751,0.4584%,0.004494,16
8089.448,18, , ,0.97594304,0.98043751,0.4584%,0.004494,17
8768.107,19, ,* L  ,0.97597306,0.98043751,0.4554%,0.004464,18
8880.616,20, , ,0.97597306,0.98043751,0.4554%,0.004464,19
9067.646,21,Bound,* L  ,0.97597306,0.98043751,0.4554%,0.004464,18
9102.015,22, , ,0.97597306,0.98043751,0.4554%,0.004464,19
9103.647,23,Infeas.,* L  ,0.97621253,0.98043751,0.4309%,0.004225,18
9143.126,24,Bound, ,0.97621253,0.98043751,0.4309%,0.004225,17
9442.722,25, ,* L  ,0.97621253,0.98043751,0.4309%,0.004225,18
9478.196,26,Bound, ,0.97621253,0.98043751,0.4309%,0.004225,17
9836.567,27, ,* L  ,0.97621253,0.98043751,0.4309%,0.004225,18
10119.486,28,Bound, ,0.97621253,0.98043751,0.4309%,0.004225,17
10481.637,29, ,* L  ,0.97621565,0.98043751,0.4306%,0.004222,18
10635.277,30, , ,0.97621565,0.98043751,0.4306%,0.004222,19
10760.432,31, ,* L  ,0.97631108,0.98043751,0.4209%,0.004126,20
10810.416,32, , ,0.97631108,0.98043751,0.4209%,0.004126,21
