Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
0.248,4,-112522.679071795,-108390.000230131,3.8127861%,4132.67884,-112522.679071795,-108390.000230131,INSIDE,INSIDE
1.865,5,-111892.995065692,-108390.000230131,3.2318432%,3502.99484,-111892.995065692,-108390.000230131,INSIDE,INSIDE
3.367,6,-111088.154406068,-108390.000230131,2.4893018%,2698.15418,-111088.154406068,-108390.000230131,OUTSIDE,INSIDE
4.625,7,-110329.054244306,-108390.000230131,1.7889602%,1939.05401,-110329.054244306,-108390.000230131,OUTSIDE,INSIDE
5.943,8,-110329.054244306,-108390.000230131,1.7889602%,1939.05401,-110329.054244306,-108390.000230131,INSIDE,INSIDE
7.286,9,-110172.615320911,-108390.000230131,1.6446306%,1782.61509,-110172.615320911,-108390.000230131,OUTSIDE,INSIDE
8.631,10,-110159.523809524,-108390.000230131,1.6325524%,1769.52358,-110159.523809524,-108390.000230131,OUTSIDE,INSIDE
10.003,11,-110159.523809524,-108390.000230131,1.6325524%,1769.52358,-110159.523809524,-108390.000230131,INSIDE,INSIDE
11.360,12,-109172.222222222,-108390.000230131,0.7216736%,782.22199,-109172.222222222,-108390.000230131,OUTSIDE,INSIDE
12.823,13,-109172.222222222,-108390.000230131,0.7216736%,782.22199,-109172.222222222,-108390.000230131,INSIDE,INSIDE
14.220,14,-108883.333333333,-108390.000230131,0.4551463%,493.33310,-108883.333333333,-108390.000230131,OUTSIDE,INSIDE
15.656,15,-109306.000000000,-108390.000230131,0.8450962%,915.99977,-108883.333333333,-108390.000230131,INSIDE,INSIDE
17.122,16,-108838.888888889,-108390.000230131,0.4141421%,448.88866,-108838.888888889,-108390.000230131,OUTSIDE,INSIDE
18.455,17,-108838.888888889,-108390.000230131,0.4141421%,448.88866,-108838.888888889,-108390.000230131,INSIDE,INSIDE
19.807,18,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
21.146,19,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
22.465,20,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
23.791,21,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
25.118,22,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
26.438,23,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
27.843,24,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
29.276,25,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
30.653,26,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
32.074,27,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
33.486,28,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
34.953,29,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
36.378,30,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
37.831,31,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
39.529,32,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
41.032,33,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
42.553,34,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
44.183,35,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
45.734,36,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
47.310,37,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
48.870,38,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
50.463,39,-108870.000000000,-108390.000230131,0.4428451%,479.99977,-108838.888888889,-108390.000230131,INSIDE,INSIDE
