Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
10.726,20,12.222222222,18.333333333,33.3333333%,6.11111,12.222222222,18.333333333,OUTSIDE,OUTSIDE
13.283,21,15.234126984,18.333333333,16.9047619%,3.09921,15.234126984,18.333333333,OUTSIDE,OUTSIDE
14.216,22,15.555555556,18.333333333,15.1515152%,2.77778,15.555555556,18.333333333,OUTSIDE,OUTSIDE
15.146,23,15.777777778,18.333333333,13.9393939%,2.55556,15.777777778,18.333333333,INSIDE,OUTSIDE
16.076,24,16.555555556,18.333333333,9.6969697%,1.77778,16.555555556,18.333333333,OUTSIDE,OUTSIDE
16.980,25,16.555555556,18.333333333,9.6969697%,1.77778,16.555555556,18.333333333,INSIDE,OUTSIDE
18.692,26,17.000000000,18.333333333,7.2727273%,1.33333,17.000000000,18.333333333,INSIDE,OUTSIDE
19.676,27,17.000000000,18.333333333,7.2727273%,1.33333,17.000000000,18.333333333,INSIDE,OUTSIDE
20.631,28,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
21.529,29,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,INSIDE,OUTSIDE
22.542,30,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
24.419,31,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
25.369,32,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
26.319,33,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
27.276,34,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
28.153,35,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
29.677,36,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
30.651,37,17.111111111,18.333333333,6.6666667%,1.22222,17.111111111,18.333333333,OUTSIDE,OUTSIDE
