Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
0.169,4,-115261.111111111,-108390.002590080,6.3392456%,6871.10852,-115261.111111111,-108390.002590080,INSIDE,INSIDE
0.611,5,-115261.111111111,-108390.002590080,6.3392456%,6871.10852,-115261.111111111,-108390.002590080,INSIDE,INSIDE
1.055,6,-115261.111111111,-108390.002590080,6.3392456%,6871.10852,-115261.111111111,-108390.002590080,INSIDE,INSIDE
1.550,7,-115261.111111111,-108390.002590080,6.3392456%,6871.10852,-115261.111111111,-108390.002590080,INSIDE,INSIDE
2.071,8,-114471.247389146,-108390.002590080,5.6105219%,6081.24480,-114471.247389146,-108390.002590080,INSIDE,INSIDE
2.743,9,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,OUTSIDE,INSIDE
3.411,10,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
4.023,11,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
4.706,12,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
5.480,13,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
6.120,14,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
6.851,15,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
7.557,16,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
8.313,17,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
9.015,18,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
9.800,19,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
10.533,20,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
11.348,21,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
12.171,22,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
13.056,23,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
13.984,24,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
14.948,25,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
15.752,26,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
16.714,27,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
17.603,28,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
18.535,29,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
19.463,30,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
20.459,31,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
21.447,32,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
22.461,33,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
23.456,34,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
24.476,35,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
25.483,36,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
26.577,37,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
27.568,38,-114294.444444444,-108390.002590080,5.4474045%,5904.44185,-114294.444444444,-108390.002590080,INSIDE,INSIDE
28.635,39,-114294.444269356,-108390.002590080,5.4474043%,5904.44168,-114294.444269356,-108390.002590080,OUTSIDE,INSIDE
29.399,40,-114294.443744090,-108390.002590080,5.4474038%,5904.44115,-114294.443744090,-108390.002590080,OUTSIDE,INSIDE
30.396,41,-114294.441643025,-108390.002590080,5.4474019%,5904.43905,-114294.441643025,-108390.002590080,OUTSIDE,INSIDE
31.520,42,-114294.433238761,-108390.002590080,5.4473941%,5904.43065,-114294.433238761,-108390.002590080,OUTSIDE,INSIDE
32.481,43,-114294.399621581,-108390.002590080,5.4473631%,5904.39703,-114294.399621581,-108390.002590080,OUTSIDE,INSIDE
33.393,44,-114294.265150937,-108390.002590080,5.4472391%,5904.26256,-114294.265150937,-108390.002590080,OUTSIDE,INSIDE
34.353,45,-114293.727237584,-108390.002590080,5.4467428%,5903.72465,-114293.727237584,-108390.002590080,OUTSIDE,INSIDE
35.426,46,-114291.575091575,-108390.002590080,5.4447572%,5901.57250,-114291.575091575,-108390.002590080,OUTSIDE,INSIDE
36.509,47,-114282.958618442,-108390.002590080,5.4368077%,5892.95603,-114282.958618442,-108390.002590080,OUTSIDE,INSIDE
37.532,48,-114248.366013072,-108390.002590080,5.4048928%,5858.36342,-114248.366013072,-108390.002590080,OUTSIDE,INSIDE
38.643,49,-114155.555555556,-108390.002590080,5.3192664%,5765.55297,-114155.555555556,-108390.002590080,OUTSIDE,INSIDE
39.671,50,-114155.555555556,-108390.002590080,5.3192664%,5765.55297,-114155.555555556,-108390.002590080,OUTSIDE,INSIDE
40.778,51,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
41.814,52,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
42.861,53,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
43.893,54,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
44.977,55,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
46.152,56,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
47.392,57,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
48.616,58,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
49.880,59,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
51.147,60,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
52.345,61,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
53.594,62,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
54.953,63,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
56.187,64,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
57.651,65,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
58.896,66,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
60.245,67,-114150.000000000,-108390.002590080,5.3141409%,5759.99741,-114150.000000000,-108390.002590080,OUTSIDE,INSIDE
