iter	simplex_id	ef_attempted	ef_ok	solver_status	termination_condition	ef_time_sec	K_ef	ef_obj	true_obj	ub_updated	UB_incumbent	ms_issue_count	ms_issue_scenarios	ms_issue_reasons	ms_issue_details	dual_bound_fail_count	dual_bound_fail_details	ms_cached_count	ms_cached_scenarios	cs_cached_count	cs_cached_scenarios	lb_simp_LB_sur	lb_simp_LB_linear	lb_simp_c_total_finite	lb_simp_c_total_all	lb_simp_ms_total	lb_simp_min_fverts_sum	lb_simp_lb_case	LB_global_end_sum	UB_global_end_sum	ms_lb_gt_primal_count	cs_lb_gt_primal_count
0	(0, 1, 3, 4)	True	True	ok	optimal	2.265	(-9.999197415726195, -99.99840722024192, 0.850997972632612)	0.97966438625465	48.98322045469451	True	0.979664409	0			{"issues":{},"cached":0}	0	{}	0		0		49.540012	-297462672476.238647	49.540012	49.540012	-297462672587.808716	111.570046	all_ms_finite	48.961780	48.983220	18	0
1	(0, 3, 4, 8)	True	True	ok	optimal	13.991	(-9.999197405752394, -99.99840720035951, 0.8509978506587703)	0.9796643862565648	48.98322045504636	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.961780	-487165775951.297424	48.961780	48.961780	-487165776062.867493	111.570046	all_ms_finite	48.960340	48.983220	0	0
2	(0, 4, 8, 9)	True	True	ok	optimal	1.483	(-9.99915306904814, -99.99849282375133, 0.8509978543146093)	0.9796643864550793	48.98322046490458	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960340	-487420971137.738281	48.960340	48.960340	-487420971249.308350	111.570046	all_ms_finite	48.960049	48.983220	0	0
3	(0, 8, 9, 10)	True	True	ok	optimal	1.195	(-9.999235780338356, -99.998337111061, 0.8509978462721686)	0.979664385753709	48.98322043001256	True	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960049	inf	48.960049	48.960049	inf	111.570046	some_ms_inf_use_c_only	48.960050	48.983220	0	0
4	(0, 8, 9, 11)	True	True	ok	optimal	1.269	(-9.999226770635389, -99.99834818999773, 0.8509978629913565)	0.9796643863156466	48.98322045778668	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960050	inf	48.960050	48.960050	inf	111.570046	some_ms_inf_use_c_only	48.960052	48.983220	0	0
5	(0, 8, 11, 12)	True	True	ok	optimal	1.336	(-9.99922678615386, -99.9983481795316, 0.8509978629555672)	0.9796643863139792	48.9832204577667	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960052	-487416710472.470886	48.960052	48.960052	-487416710584.040955	111.570046	all_ms_finite	48.960051	48.983220	0	0
6	(0, 8, 11, 13)	True	True	ok	optimal	1.452	(-9.999227184616984, -99.99834776776592, 0.850997862206013)	0.9796643862828632	48.98322045616983	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960051	-487807569792.818909	48.960051	48.960051	-487807569904.388977	111.570046	all_ms_finite	48.960051	48.983220	0	0
7	(0, 8, 13, 14)	True	True	ok	optimal	1.413	(-9.99923108332942, -99.99820872289875, 0.8509976447773029)	0.9796643969939174	48.983220992973415	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960051	inf	48.960051	48.960051	inf	111.570046	some_ms_inf_use_c_only	48.960051	48.983220	0	0
8	(0, 8, 14, 15)	True	True	ok	optimal	1.433	(-9.999230392490185, -99.99820726505786, 0.8509976400624094)	0.9796643972241617	48.98322100458477	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960051	inf	48.960051	48.960051	inf	111.570046	some_ms_inf_use_c_only	48.960051	48.983220	0	0
9	(0, 8, 11, 14)	True	True	ok	optimal	1.214	(-9.999218513267996, -99.99836415239223, 0.8509978626469947)	0.9796643863511185	48.983220459522286	False	0.979664409	0			{"issues":{},"cached":50}	0	{}	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	50	scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49,scen_50	48.960051	inf	48.960051	48.960051	inf	111.570046	some_ms_inf_use_c_only	48.960051	48.983220	0	0
