Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
292.727,8,0.979235593,0.979664409,0.0438%,0.00043,0.979235593,0.979664409
1973.459,9,0.979206804,0.979664409,0.0467%,0.00046,0.979235593,0.979664409
4533.410,10,0.979200983,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
4964.643,11,0.979201004,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5111.711,12,0.979201048,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5188.445,13,0.979201025,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5262.882,14,0.979201020,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5405.813,15,0.979201024,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5483.640,16,0.979201026,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5561.385,17,0.979201024,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5705.220,18,0.979201058,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5784.641,19,0.979201066,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
5861.225,20,0.979201071,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
6004.359,21,0.979201034,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
6149.161,22,0.979201075,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
6227.752,23,0.979201094,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
6366.973,24,0.979201085,0.979664409,0.0473%,0.00046,0.979235593,0.979664409
6513.905,25,0.979201045,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
6590.840,26,0.979201097,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
6734.681,27,0.979201103,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
6814.465,28,0.979201103,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
6952.796,29,0.979201103,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7034.139,30,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7184.481,31,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7334.219,32,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7412.684,33,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7616.597,34,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7730.389,35,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7849.269,36,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
7973.373,37,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
