Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,active_count,is_active
221.291,8,0.979286444,0.979664409,0.0385811%,0.00038,0.979286444,0.979664409,3,True
497.919,9,0.979206804,0.979664409,0.0467104%,0.00046,0.979286444,0.979664409,6,True
985.801,10,0.979200983,0.979664409,0.0473045%,0.00046,0.979286444,0.979664409,9,True
1163.875,11,0.979201004,0.979664409,0.0473024%,0.00046,0.979286444,0.979664409,12,True
1231.017,12,0.979201048,0.979664409,0.0472979%,0.00046,0.979286444,0.979664409,15,True
1265.076,13,0.979201025,0.979664409,0.0473003%,0.00046,0.979286444,0.979664409,18,True
1299.012,14,0.979201020,0.979664409,0.0473007%,0.00046,0.979286444,0.979664409,19,True
1360.230,15,0.979201024,0.979664409,0.0473003%,0.00046,0.979286444,0.979664409,22,True
1393.686,16,0.979201026,0.979664409,0.0473001%,0.00046,0.979286444,0.979664409,25,True
1427.186,17,0.979201024,0.979664409,0.0473003%,0.00046,0.979286444,0.979664409,26,True
1490.089,18,0.979201058,0.979664409,0.0472969%,0.00046,0.979286444,0.979664409,29,True
1526.817,19,0.979201066,0.979664409,0.0472961%,0.00046,0.979286444,0.979664409,32,True
1561.565,20,0.979201071,0.979664409,0.0472956%,0.00046,0.979286444,0.979664409,35,True
1623.174,21,0.979201034,0.979664409,0.0472994%,0.00046,0.979286444,0.979664409,36,True
1686.142,22,0.979201075,0.979664409,0.0472952%,0.00046,0.979286444,0.979664409,39,True
1722.283,23,0.979201094,0.979664409,0.0472931%,0.00046,0.979286444,0.979664409,42,True
1781.032,24,0.979201085,0.979664409,0.0472941%,0.00046,0.979286444,0.979664409,45,True
1845.247,25,0.979201045,0.979664243,0.0472813%,0.00046,0.979286444,0.979664243,48,True
1878.571,26,0.979201097,0.979664243,0.0472759%,0.00046,0.979286444,0.979664243,51,True
1941.884,27,0.979201103,0.979664243,0.0472754%,0.00046,0.979286444,0.979664243,54,True
1978.452,28,0.979201103,0.979664243,0.0472753%,0.00046,0.979286444,0.979664243,57,True
2007.455,29,0.979201319,0.979664243,0.0472533%,0.00046,0.979286444,0.979664243,60,True
2065.732,30,0.979201872,0.979664243,0.0471969%,0.00046,0.979286444,0.979664243,63,True
2100.227,31,0.979201071,0.979664243,0.0472786%,0.00046,0.979286444,0.979664243,66,True
2167.247,32,0.979201090,0.979664243,0.0472766%,0.00046,0.979286444,0.979664243,69,True
2201.882,33,0.979201072,0.979664243,0.0472785%,0.00046,0.979286444,0.979664243,70,True
2264.588,34,0.979201094,0.979664243,0.0472763%,0.00046,0.979286444,0.979664243,73,True
2298.444,35,0.979201119,0.979664243,0.0472737%,0.00046,0.979286444,0.979664243,76,True
2333.781,36,0.979201122,0.979664243,0.0472735%,0.00046,0.979286444,0.979664243,79,True
2398.514,37,0.979201151,0.979664243,0.0472705%,0.00046,0.979286444,0.979664243,82,True
2431.901,38,0.979201137,0.979664243,0.0472719%,0.00046,0.979286444,0.979664243,85,True
2496.825,39,0.979201185,0.979664243,0.0472670%,0.00046,0.979286444,0.979664243,88,True
2530.153,40,0.979201152,0.979664243,0.0472703%,0.00046,0.979286444,0.979664243,91,True
2565.611,41,0.979201264,0.979664243,0.0472589%,0.00046,0.979286444,0.979664243,94,True
2629.332,42,0.979201264,0.979664243,0.0472589%,0.00046,0.979286444,0.979664243,97,True
2663.598,43,0.979201340,0.979664243,0.0472512%,0.00046,0.979286444,0.979664243,100,True
2696.343,44,0.979201519,0.979664243,0.0472329%,0.00046,0.979286444,0.979664243,103,True
2729.828,45,0.979201133,0.979664243,0.0472722%,0.00046,0.979286444,0.979664243,106,True
2767.493,46,0.979201165,0.979664243,0.0472690%,0.00046,0.979286444,0.979664243,109,True
2803.795,47,0.979201107,0.979664243,0.0472749%,0.00046,0.979286444,0.979664243,112,True
