Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
64.382,8,0.979894959,1.073400404,8.7111430%,0.09351,0.979894959,1.073400404
138.195,9,0.978819841,1.073400376,8.8113007%,0.09458,0.979894959,1.073400376
227.521,10,0.978794146,1.073399729,8.8136395%,0.09461,0.979894959,1.073399729
254.911,11,0.978794324,1.073399729,8.8136229%,0.09461,0.979894959,1.073399729
266.452,12,0.978794314,1.073399729,8.8136238%,0.09461,0.979894959,1.073399729
272.473,13,0.978794258,1.073399729,8.8136291%,0.09461,0.979894959,1.073399729
278.307,14,0.978794349,1.073399729,8.8136206%,0.09461,0.979894959,1.073399729
284.143,15,0.978794078,1.072691610,8.7534508%,0.09390,0.979894959,1.072691610
290.345,16,0.978795456,1.072691610,8.7533223%,0.09390,0.979894959,1.072691610
307.560,17,0.978795581,1.072691610,8.7533107%,0.09390,0.979894959,1.072691610
313.649,18,0.978795551,1.072691610,8.7533135%,0.09390,0.979894959,1.072691610
