Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
360.669,8,0.984133090,2.223894848,55.7473%,1.23976,0.984133090,2.223894848
462.189,9,0.983990166,2.223894848,55.7537%,1.23990,0.984133090,2.223894848
617.206,10,0.983990171,2.223894848,55.7537%,1.23990,0.984133090,2.223894848
702.895,11,0.983990177,2.223894848,55.7537%,1.23990,0.984133090,2.223894848
724.516,12,0.983990262,2.223894848,55.7537%,1.23990,0.984133090,2.223894848
778.682,13,0.983990213,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
833.394,14,0.983990270,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
886.258,15,0.983990271,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
972.783,16,0.983990288,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
1058.291,17,0.983990231,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
1080.688,18,0.983990252,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
1095.917,19,0.983990291,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
1103.502,20,0.983990291,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
1112.835,21,0.983990166,0.984167024,0.0180%,0.00018,0.984133090,0.984167024
