iter	simplex_id	ef_attempted	ef_ok	solver_status	termination_condition	ef_time_sec	K_ef	ef_obj	true_obj	ub_updated	UB_incumbent	ms_issue_count	ms_issue_scenarios	ms_issue_reasons	ms_issue_details	dual_bound_fail_count	dual_bound_fail_details	ms_cached_count	ms_cached_scenarios	cs_cached_count	cs_cached_scenarios	lb_simp_LB_sur	lb_simp_LB_linear	lb_simp_c_total_finite	lb_simp_c_total_all	lb_simp_ms_total	lb_simp_min_fverts_sum	lb_simp_lb_case	LB_global_end_sum	UB_global_end_sum	ms_lb_gt_primal_count	cs_lb_gt_primal_count
0	(3, 4, 6, 7)	True	True	ok	optimal	0.134	(9.999914744536623, 99.99985028686079, 1.1526584884516933)	0.971339511585799	1.9426791579069018	True	0.971339579	0			{"issues":{},"cached":0}	0	{}	0		0		1.966339	-11568777188.928989	1.966339	1.966339	-11568777193.301941	4.372951	all_ms_finite	1.958008	1.942679	1	0
0	(0, 1, 3, 4)	True	True	ok	optimal	0.157	(-9.998613772303605, 99.98614085334592, 99.98613896456608)	2.7224338890937343	13.612169503947722	False	2.223894848	0			{"issues":{},"cached":0}	0	{}	0		0		5.014724	-29939513247.266354	5.014724	5.014724	-29939513258.445400	11.179046	all_ms_finite	4.949656	11.119474	2	0
1	(0, 3, 4, 8)	True	True	ok	optimal	0.147	(-9.998613811501103, 99.98614118872963, 99.9861400805844)	2.7224339042879317	13.612169594245271	False	2.223894848	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.949656	-48808865228.733009	4.949656	4.949656	-48808865239.912056	11.179046	all_ms_finite	4.920179	5.386587	0	0
2	(0, 4, 8, 9)	True	False	warning	infeasible	0.449	None	nan	None	False	1.077317397	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920179	-48801727607.658272	4.920179	4.920179	-48801727618.837318	11.179046	all_ms_finite	4.919997	5.386587	0	0
3	(0, 4, 9, 10)	True	False	warning	infeasible	0.551	None	nan	None	False	1.077317397	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.919997	-19691688878.741249	4.919997	4.919997	-19691688889.920296	11.179046	all_ms_finite	4.920169	5.386587	0	0
4	(0, 4, 10, 11)	True	True	ok	optimal	0.248	(-9.995678243057895, -99.99998952448472, 0.8142626698712528)	0.9841676903432555	4.920838556578411	True	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920169	-19445026213.400009	4.920169	4.920169	-19445026224.579056	11.179046	all_ms_finite	4.920162	4.920839	0	0
5	(0, 4, 11, 12)	True	True	ok	optimal	0.155	(-9.937329854919367, -99.99997901897505, 0.8140511842096666)	0.9841771391540401	4.92088579671483	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920162	-292.879118	4.920162	4.920162	-304.058163	11.179046	all_ms_finite	4.920111	4.920839	0	0
6	(0, 4, 12, 13)	True	True	ok	optimal	0.251	(-9.932910099180422, -99.99997902084382, 0.814035107658772)	0.9841778559221899	4.920889380264113	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920111	0.693657	4.920111	4.920111	-10.314625	11.008282	all_ms_finite	4.920074	4.920839	0	0
7	(0, 4, 13, 14)	True	True	ok	optimal	0.143	(-9.932897039044992, -99.99997902041346, 0.8140350607602752)	0.9841778580404644	4.920889390833382	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920074	-1.467580	4.920074	4.920074	-6.474727	5.007148	all_ms_finite	4.920080	4.920839	0	0
8	(0, 4, 9, 11)	True	True	ok	optimal	0.251	(-9.937338404859114, -99.99997695651813, 0.8140511645043885)	0.984177137941063	4.920885790648808	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920346	-292.879118	4.920346	4.920346	-304.058163	11.179046	all_ms_finite	4.920080	4.920839	0	0
9	(0, 4, 9, 16)	True	True	ok	optimal	0.128	(-9.932912453782672, -99.99996644229564, 0.8140350753758128)	0.9841778565984491	4.9208893836580545	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920133	-15.114220	4.920133	4.920133	-26.123358	11.009138	all_ms_finite	4.920058	4.920839	0	0
10	(0, 9, 16, 17)	True	True	ok	optimal	0.138	(-9.932912862104455, -99.99996637884246, 0.814035076925809)	0.9841778565375622	4.920889383349163	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920058	-20.215278	4.920058	4.920058	-25.957734	5.742457	all_ms_finite	4.920042	4.920839	0	0
11	(0, 16, 17, 18)	True	True	ok	optimal	0.132	(-9.932914074109, -99.99996652916366, 0.8140350815185161)	0.9841778563283407	4.920889382305225	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920042	-0.374483	4.920042	4.920042	-6.116940	5.742457	all_ms_finite	4.920048	4.920839	0	0
12	(0, 17, 18, 19)	True	True	ok	optimal	0.120	(-9.932874124864659, -99.99996255990348, 0.8140330028994351)	0.9841778631419115	4.920889416370267	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920048	3.337417	4.920048	4.920048	-1.592316	4.929733	all_ms_finite	4.920031	4.920839	0	0
13	(0, 17, 19, 20)	True	True	ok	optimal	0.157	(-9.932870622623197, -99.99996211609287, 0.8140328997968259)	0.9841778637472773	4.920889419380481	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920031	3.415965	4.920031	4.920031	-1.513768	4.929733	all_ms_finite	4.920008	4.920839	0	0
14	(0, 19, 20, 21)	True	True	ok	optimal	0.143	(-9.932891828539057, -99.99996479207356, 0.8140330485713362)	0.9841778600827565	4.920889401105182	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920008	4.374125	4.920008	4.920008	-0.555608	4.929733	all_ms_finite	4.920004	4.920839	0	0
15	(19, 20, 21, 22)	True	True	ok	optimal	0.146	(-9.93289774282752, -99.99996553084463, 0.8140331527579908)	0.98417785906135	4.920889395973649	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920004	4.708040	4.920004	4.920004	-0.221693	4.929733	all_ms_finite	4.920002	4.920839	0	0
16	(19, 20, 21, 23)	True	True	ok	optimal	0.144	(-9.932882339542468, -99.99996356731182, 0.8140333365896844)	0.984177861724727	4.920889409291321	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920002	4.822784	4.920002	4.920002	-0.106949	4.929733	all_ms_finite	4.920005	4.920839	0	0
17	(19, 20, 23, 24)	True	True	ok	optimal	0.152	(-9.932891182391758, -99.9999647106615, 0.8140333469052285)	0.984177860194371	4.920889401618539	False	0.984167711	0			{"issues":{},"cached":5}	0	{}	5	scen_1,scen_2,scen_3,scen_4,scen_5	5	scen_1,scen_2,scen_3,scen_4,scen_5	4.920005	4.825677	4.920005	4.920005	-0.104056	4.929733	all_ms_finite	4.920007	4.920839	0	0
