# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0142s, status=time_limit, dual_bound=1.0050154109910314, primal_obj=1.0050154109910314
[Iter 0] scenario=1, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0228s, status=time_limit, dual_bound=0.9871781605801218, primal_obj=0.9871781605801216
[Iter 0] scenario=2, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0951s, status=time_limit, dual_bound=1.0847037712795615, primal_obj=1.0847037712795615
[Iter 0] scenario=3, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0210s, status=time_limit, dual_bound=1.4825160948292533, primal_obj=1.482516094829253
[Iter 0] scenario=4, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1698s, status=time_limit, dual_bound=1.0005775690580183, primal_obj=1.0005775690580183
[Iter 0] scenario=5, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0338s, status=time_limit, dual_bound=0.9841377179410892, primal_obj=0.9841377179410891
[Iter 0] scenario=6, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0861s, status=time_limit, dual_bound=1.1771079017589008, primal_obj=1.1771079017589006
[Iter 0] scenario=7, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0872s, status=time_limit, dual_bound=0.947152963248026, primal_obj=0.947152963248026
[Iter 0] scenario=8, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1410s, status=time_limit, dual_bound=1.3306198810317007, primal_obj=1.3306198810317007
[Iter 0] scenario=9, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1185s, status=time_limit, dual_bound=0.9630573610453957, primal_obj=0.9630573610453956
[Iter 0] scenario=10, simplex_idx=0, verts=(0, 2, 3, 4), time=3.2512s, status=time_limit, dual_bound=1.0772890361758005, primal_obj=1.0772890361758007
[Iter 0] scenario=11, simplex_idx=0, verts=(0, 2, 3, 4), time=3.3147s, status=time_limit, dual_bound=1.075285470852989, primal_obj=1.0752854708529889
[Iter 0] scenario=12, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0095s, status=time_limit, dual_bound=0.9548405284709602, primal_obj=0.95484052847096
[Iter 0] scenario=13, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0399s, status=time_limit, dual_bound=0.9777567849815537, primal_obj=0.9777567849815534
[Iter 0] scenario=14, simplex_idx=0, verts=(0, 2, 3, 4), time=3.2152s, status=time_limit, dual_bound=1.0515073891699802, primal_obj=1.0515073891699804
[Iter 0] scenario=15, simplex_idx=0, verts=(0, 2, 3, 4), time=3.2388s, status=time_limit, dual_bound=1.591632361270704, primal_obj=1.591632361270704
[Iter 0] scenario=16, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0629s, status=time_limit, dual_bound=0.9580015296674049, primal_obj=0.9580015296674048
[Iter 0] scenario=17, simplex_idx=0, verts=(0, 2, 3, 4), time=3.6540s, status=time_limit, dual_bound=0.9864203309642725, primal_obj=0.9864203309642726
[Iter 0] scenario=18, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0543s, status=time_limit, dual_bound=0.9502103822267246, primal_obj=0.9502103822267246
[Iter 0] scenario=19, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0607s, status=time_limit, dual_bound=0.9502919093087931, primal_obj=0.9502919093087933
[Iter 0] scenario=0, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0524s, status=time_limit, dual_bound=0.9960029117495633, primal_obj=0.9960029117495635
[Iter 0] scenario=1, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0672s, status=time_limit, dual_bound=0.9451261065634194, primal_obj=0.9451261065634192
[Iter 0] scenario=2, simplex_idx=1, verts=(0, 1, 3, 4), time=3.6691s, status=time_limit, dual_bound=0.9559333091533598, primal_obj=0.9559333091533598
[Iter 0] scenario=3, simplex_idx=1, verts=(0, 1, 3, 4), time=3.1612s, status=time_limit, dual_bound=1.0545521928151058, primal_obj=1.0545521928151056
[Iter 0] scenario=4, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0534s, status=time_limit, dual_bound=0.9683379537045934, primal_obj=0.9683379537045927
[Iter 0] scenario=6, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0142s, status=time_limit, dual_bound=1.010819559090339, primal_obj=1.010819559090339
[Iter 0] scenario=8, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0995s, status=time_limit, dual_bound=1.0107665265789838, primal_obj=1.0107665265789838
[Iter 0] scenario=9, simplex_idx=1, verts=(0, 1, 3, 4), time=3.2264s, status=time_limit, dual_bound=0.9569142275119016, primal_obj=0.9569142275119015
[Iter 0] scenario=10, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0440s, status=time_limit, dual_bound=0.9643374745497083, primal_obj=0.9643374745497085
[Iter 0] scenario=11, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0218s, status=time_limit, dual_bound=1.0345497375732753, primal_obj=1.0345497375732755
[Iter 0] scenario=12, simplex_idx=1, verts=(0, 1, 3, 4), time=3.2579s, status=time_limit, dual_bound=0.9517299191605297, primal_obj=0.9517299191605297
[Iter 0] scenario=13, simplex_idx=1, verts=(0, 1, 3, 4), time=3.4770s, status=time_limit, dual_bound=0.9741649192305086, primal_obj=0.9741649192305084
[Iter 0] scenario=14, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0247s, status=time_limit, dual_bound=0.9928688976743099, primal_obj=0.99286889767431
[Iter 0] scenario=15, simplex_idx=1, verts=(0, 1, 3, 4), time=3.1697s, status=time_limit, dual_bound=1.0710328170756085, primal_obj=1.0710328170756087
[Iter 0] scenario=16, simplex_idx=1, verts=(0, 1, 3, 4), time=3.2299s, status=time_limit, dual_bound=0.9545154261004621, primal_obj=0.9545154261004622
