# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=5, verts=(1, 3, 4, 5), time=0.0222s, status=infeasible, dual_bound=None, primal_obj=-4852007695.293531
[Iter 0] scenario=0, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0117s, status=time_limit, dual_bound=-1.3127962750428712, primal_obj=-1.312796275042871
[Iter 0] scenario=1, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0162s, status=time_limit, dual_bound=-1.5460978067924482, primal_obj=-1.5460978067924482
[Iter 0] scenario=2, simplex_idx=6, verts=(3, 4, 7, 8), time=120.1676s, status=time_limit, dual_bound=-1.483400867216921, primal_obj=-1.4834008672169214
[Iter 0] scenario=3, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0647s, status=time_limit, dual_bound=-1.0004963700943421, primal_obj=-1.0004963700943428
[Iter 0] scenario=4, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0572s, status=time_limit, dual_bound=-1.3252197728571458, primal_obj=-1.325219772857146
[Iter 0] scenario=5, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0869s, status=time_limit, dual_bound=-1.5544316019413829, primal_obj=-1.554431601941383
[Iter 0] scenario=6, simplex_idx=6, verts=(3, 4, 7, 8), time=120.3329s, status=time_limit, dual_bound=-1.269884850619914, primal_obj=-1.2698848506199145
[Iter 0] scenario=7, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0211s, status=time_limit, dual_bound=-1.5513398969823953, primal_obj=-1.5513398969823953
[Iter 0] scenario=8, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0301s, status=time_limit, dual_bound=-1.1331907312067453, primal_obj=-1.1331907312067453
[Iter 0] scenario=9, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0705s, status=time_limit, dual_bound=-1.4368305238507544, primal_obj=-1.4368305238507548
[Iter 0] scenario=10, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0394s, status=time_limit, dual_bound=-1.3383671740095642, primal_obj=-1.3383671740095642
[Iter 0] scenario=11, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0557s, status=time_limit, dual_bound=-1.1581179295488135, primal_obj=-1.1581179295488138
[Iter 0] scenario=12, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0797s, status=time_limit, dual_bound=-1.4722171065892804, primal_obj=-1.4722171065892797
[Iter 0] scenario=13, simplex_idx=6, verts=(3, 4, 7, 8), time=120.3107s, status=time_limit, dual_bound=-1.3650926281192044, primal_obj=-1.3650926281192048
[Iter 0] scenario=14, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0883s, status=time_limit, dual_bound=-1.334487177343488, primal_obj=-1.334487177343488
[Iter 0] scenario=15, simplex_idx=6, verts=(3, 4, 7, 8), time=120.2382s, status=time_limit, dual_bound=-1.0663780988742673, primal_obj=-1.0663780988742675
[Iter 0] scenario=16, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0355s, status=time_limit, dual_bound=-1.4408093861035571, primal_obj=-1.4408093861035567
[Iter 0] scenario=17, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0193s, status=time_limit, dual_bound=-1.45096538527317, primal_obj=-1.4509653852731699
[Iter 0] scenario=18, simplex_idx=6, verts=(3, 4, 7, 8), time=120.1321s, status=time_limit, dual_bound=-1.6081066856064123, primal_obj=-1.6081066856064128
[Iter 0] scenario=19, simplex_idx=6, verts=(3, 4, 7, 8), time=120.0150s, status=time_limit, dual_bound=-1.4396164812188463, primal_obj=-1.439616481218846
[Iter 1] scenario=0, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0767s, status=time_limit, dual_bound=-1.3130648079170724, primal_obj=-1.3130648079170724
[Iter 1] scenario=3, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0132s, status=time_limit, dual_bound=-1.0200262190216736, primal_obj=-1.020026219021674
[Iter 1] scenario=4, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0426s, status=time_limit, dual_bound=-1.3270124143147013, primal_obj=-1.3270124143147013
[Iter 1] scenario=6, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0969s, status=time_limit, dual_bound=-1.2737139369311146, primal_obj=-1.2737139369311148
[Iter 1] scenario=8, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0762s, status=time_limit, dual_bound=-1.1442465914993016, primal_obj=-1.1442465914993019
[Iter 1] scenario=10, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0260s, status=time_limit, dual_bound=-1.3368552545566421, primal_obj=-1.336855254556642
[Iter 1] scenario=11, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0159s, status=time_limit, dual_bound=-1.1270524934540374, primal_obj=-1.1270524934540371
[Iter 1] scenario=13, simplex_idx=8, verts=(4, 7, 8, 9), time=120.1067s, status=time_limit, dual_bound=-1.3516355853008433, primal_obj=-1.351635585300843
[Iter 1] scenario=14, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0583s, status=time_limit, dual_bound=-1.3349942697876898, primal_obj=-1.3349942697876902
[Iter 1] scenario=15, simplex_idx=8, verts=(4, 7, 8, 9), time=120.0183s, status=time_limit, dual_bound=-1.0596031380285342, primal_obj=-1.0596031380285347
[Iter 1] scenario=0, simplex_idx=10, verts=(6, 7, 8, 9), time=0.1434s, status=infeasible, dual_bound=None, primal_obj=-2.0011511581152774e-07
[Iter 1] scenario=4, simplex_idx=10, verts=(6, 7, 8, 9), time=0.1561s, status=infeasible, dual_bound=None, primal_obj=-2.551490659863376e-07
[Iter 1] scenario=5, simplex_idx=10, verts=(6, 7, 8, 9), time=0.0849s, status=infeasible, dual_bound=None, primal_obj=-3834.2483044940986
[Iter 1] scenario=9, simplex_idx=10, verts=(6, 7, 8, 9), time=0.1762s, status=infeasible, dual_bound=None, primal_obj=-2.424068850093164e-07
[Iter 1] scenario=10, simplex_idx=10, verts=(6, 7, 8, 9), time=0.1812s, status=infeasible, dual_bound=None, primal_obj=-1639120.1664147768
[Iter 3] scenario=1, simplex_idx=15, verts=(6, 9, 10, 11), time=0.2485s, status=infeasible, dual_bound=None, primal_obj=-0.005258749283479913
[Iter 3] scenario=2, simplex_idx=15, verts=(6, 9, 10, 11), time=0.2725s, status=infeasible, dual_bound=None, primal_obj=-0.021167689744769014
[Iter 5] scenario=0, simplex_idx=19, verts=(6, 7, 11, 13), time=0.0383s, status=infeasible, dual_bound=None, primal_obj=-7026905.3206662955
[Iter 5] scenario=4, simplex_idx=19, verts=(6, 7, 11, 13), time=0.1379s, status=infeasible, dual_bound=None, primal_obj=-4476743.57427541
[Iter 5] scenario=5, simplex_idx=19, verts=(6, 7, 11, 13), time=0.0311s, status=infeasible, dual_bound=None, primal_obj=-4439335.535348106
[Iter 5] scenario=11, simplex_idx=19, verts=(6, 7, 11, 13), time=0.0322s, status=infeasible, dual_bound=None, primal_obj=-4877307473.567363
[Iter 5] scenario=16, simplex_idx=19, verts=(6, 7, 11, 13), time=0.0203s, status=infeasible, dual_bound=None, primal_obj=-4506154.342836518
[Iter 5] scenario=18, simplex_idx=19, verts=(6, 7, 11, 13), time=0.0159s, status=infeasible, dual_bound=None, primal_obj=-4434960.915493729
[Iter 6] scenario=4, simplex_idx=25, verts=(6, 7, 13, 14), time=0.1743s, status=infeasible, dual_bound=None, primal_obj=-4545512.9957471695
[Iter 6] scenario=11, simplex_idx=25, verts=(6, 7, 13, 14), time=0.0243s, status=infeasible, dual_bound=None, primal_obj=-0.028540021556043627
[Iter 8] scenario=0, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0208s, status=time_limit, dual_bound=-1.2364247522036378, primal_obj=-1.2364247522036376
[Iter 8] scenario=1, simplex_idx=29, verts=(0, 3, 4, 16), time=120.1252s, status=time_limit, dual_bound=-1.5180246202431436, primal_obj=-1.5180246202431433
[Iter 8] scenario=2, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0132s, status=time_limit, dual_bound=-1.4316793346720396, primal_obj=-1.4316793346720398
[Iter 8] scenario=3, simplex_idx=29, verts=(0, 3, 4, 16), time=120.4484s, status=time_limit, dual_bound=-1.1914109552581547, primal_obj=-1.1914109552581549
[Iter 8] scenario=4, simplex_idx=29, verts=(0, 3, 4, 16), time=120.1416s, status=time_limit, dual_bound=-1.3482050017531464, primal_obj=-1.3482050017531462
[Iter 8] scenario=5, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0289s, status=time_limit, dual_bound=-1.569734130646037, primal_obj=-1.5697341306460368
[Iter 8] scenario=6, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0880s, status=time_limit, dual_bound=-1.174321520820265, primal_obj=-1.1743215208202658
[Iter 8] scenario=7, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0927s, status=time_limit, dual_bound=-1.5604237422671114, primal_obj=-1.5604237422671112
[Iter 8] scenario=8, simplex_idx=29, verts=(0, 3, 4, 16), time=120.2631s, status=time_limit, dual_bound=-1.1844643856922814, primal_obj=-1.1844643856922812
[Iter 8] scenario=9, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0328s, status=time_limit, dual_bound=-1.3841972348938951, primal_obj=-1.3841972348938951
[Iter 8] scenario=10, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0761s, status=time_limit, dual_bound=-1.4131402695942654, primal_obj=-1.413140269594265
[Iter 8] scenario=11, simplex_idx=29, verts=(0, 3, 4, 16), time=120.2246s, status=time_limit, dual_bound=-1.1891760781058285, primal_obj=-1.189176078105829
[Iter 8] scenario=12, simplex_idx=29, verts=(0, 3, 4, 16), time=120.1545s, status=time_limit, dual_bound=-1.4597907575521543, primal_obj=-1.459790757552154
[Iter 8] scenario=13, simplex_idx=29, verts=(0, 3, 4, 16), time=120.1468s, status=time_limit, dual_bound=-1.3139603787516698, primal_obj=-1.3139603787516703
[Iter 8] scenario=14, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0205s, status=time_limit, dual_bound=-1.2430444884236398, primal_obj=-1.2430444884236391
[Iter 8] scenario=15, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0674s, status=time_limit, dual_bound=-1.0583174449131068, primal_obj=-1.058317444913107
[Iter 8] scenario=16, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0089s, status=time_limit, dual_bound=-1.405126554465735, primal_obj=-1.4051265544657354
[Iter 8] scenario=17, simplex_idx=29, verts=(0, 3, 4, 16), time=120.0649s, status=time_limit, dual_bound=-1.422783155948286, primal_obj=-1.4227831559482857
