Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,LB_selected,Rel_Gap_selected
36.246,8,0.987719440,0.987738771,0.0019571%,0.00002,0.987719440,0.987738771,INSIDE,INSIDE,1.004007343,-1.6470520%
352.045,9,0.987582605,0.987738749,0.0158082%,0.00016,0.987719440,0.987738749,INSIDE,INSIDE,0.987719440,0.0019549%
357.850,10,0.987584465,0.987738749,0.0156200%,0.00015,0.987719440,0.987738749,INSIDE,INSIDE,0.987582605,0.0158082%
364.487,11,0.987586541,0.987738749,0.0154098%,0.00015,0.987719440,0.987738749,INSIDE,INSIDE,0.987584465,0.0156200%
370.972,12,0.987563310,0.987738749,0.0177617%,0.00018,0.987719440,0.987738749,INSIDE,INSIDE,0.987597132,0.0143375%
376.935,13,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,INSIDE,INSIDE,0.987563310,0.0177617%
383.055,14,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987610588,0.0129752%
388.476,15,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611184,0.0129149%
393.674,16,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611180,0.0129153%
398.857,17,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611486,0.0128843%
404.102,18,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611742,0.0128584%
408.438,19,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987610950,0.0129385%
412.324,20,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611286,0.0129045%
414.359,21,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611292,0.0129039%
416.504,22,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611293,0.0129038%
418.599,23,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611294,0.0129037%
420.785,24,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611295,0.0129036%
422.851,25,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611296,0.0129035%
425.010,26,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611296,0.0129035%
427.179,27,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611296,0.0129035%
429.282,28,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611308,0.0129023%
431.475,29,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611312,0.0129019%
433.554,30,0.987568099,0.987738749,0.0172768%,0.00017,0.987719440,0.987738749,OUTSIDE,INSIDE,0.987611312,0.0129019%
