Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
138.218,8,0.983990363,0.984168005,0.0180500%,0.00018,0.983990363,0.984168005,INSIDE,INSIDE
290.972,9,0.983990169,0.984167046,0.0179723%,0.00018,0.983990363,0.984167046,INSIDE,INSIDE
308.426,10,0.983990165,0.984167046,0.0179727%,0.00018,0.983990363,0.984167046,INSIDE,INSIDE
339.665,11,0.983990167,0.984167046,0.0179725%,0.00018,0.983990363,0.984167046,INSIDE,INSIDE
347.072,12,0.983990167,0.984167046,0.0179725%,0.00018,0.983990363,0.984167046,OUTSIDE,INSIDE
352.415,13,0.983990166,0.984167039,0.0179718%,0.00018,0.983990363,0.984167039,INSIDE,INSIDE
366.449,14,0.983990103,0.984167031,0.0179774%,0.00018,0.983990363,0.984167031,INSIDE,INSIDE
380.225,15,0.983990165,0.984167030,0.0179710%,0.00018,0.983990363,0.984167030,INSIDE,INSIDE
388.149,16,0.983990166,0.984167030,0.0179709%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
404.974,17,0.983990168,0.984167030,0.0179707%,0.00018,0.983990363,0.984167030,OUTSIDE,INSIDE
414.038,18,0.983990169,0.984167030,0.0179706%,0.00018,0.983990363,0.984167030,OUTSIDE,OUTSIDE
420.938,19,0.983990169,0.984167030,0.0179706%,0.00018,0.983990363,0.984167030,OUTSIDE,OUTSIDE
428.383,20,0.983990171,0.984167030,0.0179704%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
435.538,21,0.983990172,0.984167030,0.0179703%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
442.173,22,0.983990174,0.984167030,0.0179701%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
448.864,23,0.983990176,0.984167030,0.0179699%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
455.643,24,0.983990178,0.984167030,0.0179697%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
462.451,25,0.983990180,0.984167030,0.0179695%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
469.696,26,0.983990182,0.984167030,0.0179693%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
477.067,27,0.983990184,0.984167030,0.0179691%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
484.170,28,0.983990186,0.984167030,0.0179689%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
490.783,29,0.983990188,0.984167030,0.0179687%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
497.884,30,0.983990190,0.984167030,0.0179684%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
504.897,31,0.983990192,0.984167030,0.0179682%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
511.964,32,0.983990194,0.984167030,0.0179681%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
518.856,33,0.983990196,0.984167030,0.0179678%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
525.386,34,0.983990199,0.984167030,0.0179675%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
530.349,35,0.983990202,0.984167030,0.0179673%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
535.257,36,0.983990204,0.984167030,0.0179670%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
542.096,37,0.983990207,0.984167030,0.0179667%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
553.433,38,0.983990210,0.984167030,0.0179664%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
563.207,39,0.983990213,0.984167030,0.0179661%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
574.943,40,0.983990216,0.984167030,0.0179658%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
586.617,41,0.983990219,0.984167030,0.0179655%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
597.604,42,0.983990222,0.984167030,0.0179652%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
608.117,43,0.983990225,0.984167030,0.0179649%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
619.136,44,0.983990228,0.984167030,0.0179646%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
630.273,45,0.983990232,0.984167030,0.0179642%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
641.221,46,0.983990235,0.984167030,0.0179639%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
652.880,47,0.983990236,0.984167030,0.0179638%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
664.201,48,0.983990237,0.984167030,0.0179637%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
675.490,49,0.983990238,0.984167030,0.0179636%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
687.020,50,0.983990238,0.984167030,0.0179635%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
698.384,51,0.983990239,0.984167030,0.0179635%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
708.537,52,0.983990240,0.984167030,0.0179634%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
713.939,53,0.983990241,0.984167030,0.0179633%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
719.620,54,0.983990242,0.984167030,0.0179632%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
726.163,55,0.983990243,0.984167030,0.0179631%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
732.773,56,0.983990243,0.984167030,0.0179630%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
738.812,57,0.983990244,0.984167030,0.0179630%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
745.216,58,0.983990245,0.984167030,0.0179629%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
751.859,59,0.983990246,0.984167030,0.0179628%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
758.377,60,0.983990247,0.984167030,0.0179627%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
765.576,61,0.983990247,0.984167030,0.0179626%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
772.852,62,0.983990248,0.984167030,0.0179625%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
780.764,63,0.983990249,0.984167030,0.0179624%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
788.215,64,0.983990250,0.984167030,0.0179624%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
794.628,65,0.983990251,0.984167030,0.0179623%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
801.448,66,0.983990252,0.984167030,0.0179622%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
808.515,67,0.983990252,0.984167030,0.0179621%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
815.511,68,0.983990253,0.984167030,0.0179620%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
823.664,69,0.983990254,0.984167030,0.0179619%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
830.679,70,0.983990255,0.984167030,0.0179619%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
837.932,71,0.983990256,0.984167030,0.0179618%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
845.407,72,0.983990257,0.984167030,0.0179617%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
852.950,73,0.983990257,0.984167030,0.0179616%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
861.121,74,0.983990258,0.984167030,0.0179615%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
868.315,75,0.983990259,0.984167030,0.0179614%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
876.160,76,0.983990263,0.984167030,0.0179611%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
884.854,77,0.983990267,0.984167030,0.0179606%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
890.880,78,0.983990268,0.984167030,0.0179606%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
898.283,79,0.983990272,0.984167030,0.0179602%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
905.921,80,0.983990272,0.984167030,0.0179601%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
914.791,81,0.983990277,0.984167030,0.0179596%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
924.338,82,0.983990280,0.984167030,0.0179593%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
933.511,83,0.983990283,0.984167030,0.0179591%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
943.712,84,0.983990283,0.984167030,0.0179590%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
955.108,85,0.983990282,0.984167030,0.0179591%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
967.372,86,0.983990282,0.984167030,0.0179592%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
978.411,87,0.983990282,0.984167030,0.0179592%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
993.420,88,0.983990285,0.984167030,0.0179588%,0.00018,0.983990363,0.984167030,INSIDE,OUTSIDE
