Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
5.845,1, ,* L U,0.96401551,0.97564048,1.1915%,0.011625,2
10.129,2, ,* U  ,0.96401551,0.97393714,1.0187%,0.009922,3
16.533,3, , ,0.96401551,0.97393714,1.0187%,0.009922,4
19.305,4, ,* U  ,0.96401551,0.97353188,0.9775%,0.009516,5
22.009,5, ,* L  ,0.96405089,0.97353188,0.9739%,0.009481,6
24.593,6,Bound, ,0.96405089,0.97353188,0.9739%,0.009481,5
27.615,7, ,* L  ,0.96539942,0.97353188,0.8354%,0.008132,6
30.702,8, , ,0.96539942,0.97353188,0.8354%,0.008132,7
33.786,9, ,* L  ,0.96540126,0.97353188,0.8352%,0.008131,8
36.964,10, , ,0.96540126,0.97353188,0.8352%,0.008131,9
40.156,11, ,* L  ,0.96542094,0.97353188,0.8331%,0.008111,10
43.178,12, , ,0.96542094,0.97353188,0.8331%,0.008111,11
46.55,13, ,* L  ,0.96542247,0.97353188,0.833%,0.008109,12
49.643,14, , ,0.96542247,0.97353188,0.833%,0.008109,13
52.991,15, ,* L  ,0.96543027,0.97353188,0.8322%,0.008102,14
