Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,LB_selected,Rel_Gap_selected
23.974,8,0.987551504,0.987738771,0.0189592%,0.00019,0.987551504,0.987738771,INSIDE,INSIDE,1.001068719,-1.3495418%
142.628,9,0.987733907,0.987738771,0.0004925%,0.00000,0.987733907,0.987738771,INSIDE,INSIDE,0.987551504,0.0189592%
179.617,10,0.987558142,0.987738757,0.0182857%,0.00018,0.987733907,0.987738757,INSIDE,INSIDE,0.987733907,0.0004910%
185.418,11,0.987558990,0.987738757,0.0181998%,0.00018,0.987733907,0.987738757,INSIDE,INSIDE,0.987558142,0.0182857%
191.990,12,0.987559521,0.987738757,0.0181461%,0.00018,0.987733907,0.987738757,INSIDE,INSIDE,0.987558990,0.0181998%
198.455,13,0.987559521,0.987738757,0.0181461%,0.00018,0.987733907,0.987738757,OUTSIDE,INSIDE,0.987589603,0.0151005%
204.962,14,0.987559521,0.987738757,0.0181461%,0.00018,0.987733907,0.987738757,OUTSIDE,INSIDE,0.987590337,0.0150263%
211.433,15,0.987559521,0.987738757,0.0181461%,0.00018,0.987733907,0.987738757,OUTSIDE,INSIDE,0.987589679,0.0150928%
214.768,16,0.987559521,0.987738757,0.0181461%,0.00018,0.987733907,0.987738757,OUTSIDE,INSIDE,0.987589082,0.0151532%
215.091,17,0.987589421,0.987738757,0.0151189%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987559521,0.0181461%
218.527,18,0.987589189,0.987738757,0.0151424%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589421,0.0151189%
224.529,19,0.987589280,0.987738757,0.0151332%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589189,0.0151424%
230.834,20,0.987589194,0.987738757,0.0151419%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589280,0.0151332%
237.112,21,0.987589544,0.987738757,0.0151065%,0.00015,0.987733907,0.987738757,OUTSIDE,OUTSIDE,0.987589194,0.0151419%
243.456,22,0.987589780,0.987738757,0.0150826%,0.00015,0.987733907,0.987738757,OUTSIDE,OUTSIDE,0.987589544,0.0151065%
247.073,23,0.987589816,0.987738757,0.0150789%,0.00015,0.987733907,0.987738757,OUTSIDE,OUTSIDE,0.987589780,0.0150826%
253.768,24,0.987589863,0.987738757,0.0150742%,0.00015,0.987733907,0.987738757,OUTSIDE,OUTSIDE,0.987589816,0.0150789%
257.825,25,0.987589863,0.987738757,0.0150742%,0.00015,0.987733907,0.987738757,OUTSIDE,INSIDE,0.987590318,0.0150282%
258.142,26,0.987589909,0.987738757,0.0150695%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589863,0.0150742%
261.753,27,0.987589905,0.987738757,0.0150699%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589909,0.0150695%
264.848,28,0.987589816,0.987738757,0.0150790%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589905,0.0150699%
271.146,29,0.987589948,0.987738757,0.0150656%,0.00015,0.987733907,0.987738757,OUTSIDE,OUTSIDE,0.987589816,0.0150790%
271.403,30,0.987589168,0.987738757,0.0151446%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589948,0.0150656%
274.655,31,0.987589873,0.987738757,0.0150732%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589168,0.0151446%
280.872,32,0.987589807,0.987738757,0.0150798%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589873,0.0150732%
287.141,33,0.987589697,0.987738757,0.0150910%,0.00015,0.987733907,0.987738757,INSIDE,OUTSIDE,0.987589807,0.0150798%
