Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,LB_selected,Rel_Gap_selected
38.136,8,0.987736176,0.988250261,0.0520196%,0.00051,0.987736176,0.988250261,INSIDE,INSIDE,1.006634653,-1.8602972%
126.094,9,0.987565458,0.987833264,0.0271104%,0.00027,0.987736176,0.987833264,INSIDE,INSIDE,0.987736176,0.0098283%
138.266,10,0.987553839,0.987738762,0.0187219%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987869014,-0.0131869%
148.584,11,0.987554023,0.987738762,0.0187033%,0.00018,0.987736176,0.987738762,OUTSIDE,INSIDE,0.987553839,0.0187219%
154.051,12,0.987551780,0.987738762,0.0189303%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987554023,0.0187033%
163.423,13,0.987555357,0.987738762,0.0185682%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987551780,0.0189303%
169.803,14,0.987555350,0.987738762,0.0185689%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987555357,0.0185682%
173.545,15,0.987555349,0.987738762,0.0185690%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987555350,0.0185689%
177.076,16,0.987555306,0.987738762,0.0185734%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987555349,0.0185690%
180.635,17,0.987555307,0.987738762,0.0185733%,0.00018,0.987736176,0.987738762,INSIDE,INSIDE,0.987555306,0.0185734%
184.450,18,0.987551609,0.987738762,0.0189476%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987555307,0.0185733%
187.851,19,0.987551821,0.987738762,0.0189261%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551609,0.0189476%
193.708,20,0.987551763,0.987738762,0.0189320%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551821,0.0189261%
197.309,21,0.987551804,0.987738762,0.0189279%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551763,0.0189320%
201.003,22,0.987551790,0.987738762,0.0189293%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551804,0.0189279%
204.383,23,0.987551843,0.987738762,0.0189240%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551790,0.0189293%
207.571,24,0.987551823,0.987738762,0.0189259%,0.00019,0.987736176,0.987738762,INSIDE,INSIDE,0.987551843,0.0189240%
