Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
8607.956   ,            1    ,              ,         * U    ,    0.97671028   ,    0.9796732    ,     0.3024%   ,     0.002963      ,        2
10128.63   ,            2    ,              ,                ,    0.97671028   ,    0.9796732    ,     0.3024%   ,     0.002963      ,         3
21440.526  ,             3   ,              ,                ,     0.97685688  ,     0.9796732   ,      0.2875%   ,     0.002816     ,          4
31477.677  ,             4   ,              ,                ,     0.97685688  ,     0.9796732   ,      0.2875%  ,     0.002816       ,        5
44139.327  ,             5   ,              ,                ,     0.97713059  ,     0.9796732   ,      0.2595%   ,     0.002543    ,           6
65184.005  ,             6   ,             ,                 ,     0.97713059  ,     0.9796732   ,      0.2595%   ,    0.002543     ,          7
72675.102  ,             7   ,        Bound  ,         * L   ,     0.97731767 ,      0.9796732   ,      0.2404%   ,    0.002356     ,          6
94492.176  ,             8   ,                ,              ,     0.97731767 ,      0.9796732   ,      0.2404%    ,    0.002356    ,           7
119726.472 ,              9  ,                ,              ,      0.97789638 ,      0.9796732  ,       0.1814%   ,     0.001777   ,            8
124558.91  ,            10   ,        Bound   ,              ,     0.97789638  ,     0.9796732   ,      0.1814%    ,    0.001777    ,           7
150549.847 ,             11  ,                ,              ,      0.97789638 ,      0.9796732  ,        0.1814%  ,      0.001793  ,             8
