Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
1336.507 ,              1 ,                    ,      * U   ,     0.97267995    ,  0.97849443    ,     0.5942%    ,    0.005814       ,        2
2878.213 ,              2 ,                    ,      * U   ,     0.97267995    ,  0.97586654    ,     0.3265%    ,    0.003187       ,        3
4431.293 ,              3 ,                    ,            ,     0.97459525    ,  0.97586654    ,     0.1303%    ,    0.001271       ,        4
5937.915 ,              4 ,                    ,      * U   ,     0.97459525   ,   0.97586654    ,     0.1303%    ,    0.001599       ,        5
6068.043 ,              5 ,                    ,      * U   ,     0.97459525   ,   0.97586654    ,     0.1303%    ,    0.001599       ,        6
7891.32  ,             6  ,                    ,            ,    0.97459525    ,  0.97586654     ,    0.1303%     ,   0.002297        ,       7
8620.052  ,             7 ,          Bound     ,            ,     0.97459525   ,   0.97586654    ,     0.1303%    ,    0.002297       ,        6
10858.821 ,              8 ,          Bound    ,       * L  ,      0.97459525  ,    0.97586654   ,      0.1303%   ,     0.001271      ,         5
12211.113 ,              9 ,          Bound    ,       * L  ,      0.97528934  ,    0.97586654   ,      0.0591%   ,     0.000577      ,         4
12355.073  ,            10 ,                   ,       * U  ,      0.97528934  ,    0.97586654   ,      0.0591%   ,     0.000577      ,         5
12374.378  ,            11 ,          Bound    ,       * L  ,      0.97536355  ,    0.97586654   ,      0.0515%   ,     0.000503      ,         4

