Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
1696.262  ,             1    ,                 ,      * U    ,    0.97553427  ,    0.98186021   ,      0.6443%    ,    0.006326        ,       2
3873.797  ,             2    ,                 ,      * U    ,    0.97553427  ,    0.97900405   ,      0.3544%    ,     0.00347        ,       3
6515.908  ,             3    ,                 ,             ,    0.97631257  ,    0.97900405   ,      0.2749%    ,    0.002691        ,       4
8769.195  ,             4    ,                 ,             ,    0.97631257  ,    0.97900405   ,      0.2749%    ,    0.002691        ,       5
11335.909  ,             5   ,                 ,             ,     0.97647575 ,     0.97900405  ,       0.2583%   ,     0.002528       ,        6
13703.259  ,             6   ,                 ,             ,     0.97647575 ,     0.97900405  ,        0.2583%   ,     0.003456       ,        7
13971.641  ,             7   ,                ,        * U   ,     0.97647575 ,     0.97900405  ,        0.2583%   ,     0.003456       ,        8
17050.491  ,             8   ,                ,              ,      0.97647575 ,     0.97900405  ,       0.2583%   ,     0.002874       ,        9
18337.252  ,             9   ,        Bound   ,             ,       0.97647575 ,     0.97900405  ,       0.2583%   ,     0.002874       ,        8
19898.136  ,            10   ,        Bound   ,        * L   ,     0.97647575 ,     0.97900405  ,       0.2583%   ,     0.002528       ,        7
22347.728  ,            11   ,                ,              ,     0.97728942 ,     0.97900405  ,       0.1751%   ,     0.001715       ,        8
22544.253  ,            12   ,        Bound   ,              ,     0.97728942 ,     0.97900405  ,       0.1751%   ,     0.001715      ,         7
25688.402  ,            13   ,        Bound   ,        * L   ,     0.97814473 ,     0.97900405  ,       0.0878%   ,     0.000859      ,         6
