Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
35.989,8,0.978861416,0.979019070,0.0161033%,0.00016,0.978861416,0.979019070,INSIDE,INSIDE
565.516,9,0.978886485,0.979019070,0.0135427%,0.00013,0.978886485,0.979019070,INSIDE,INSIDE
586.325,10,0.978886485,0.97901907,0.0135426%,0.00013,0.978886485,0.979019070,INSIDE,INSIDE
612.901,11,0.978886485,0.97901907,0.0135426%,0.00013,0.978886485,0.979019070,INSIDE,INSIDE
630.398,12,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
636.492,13,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
657.798,14,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
676.650,15,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
701.314,16,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
709.036,17,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
713.616,18,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
718.187,19,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
722.766,20,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
749.338,21,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
760.406,22,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
785.594,23,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
799.873,24,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
815.161,25,0.978886485,0.979002303,0.0118302%,0.00012,0.978886485,0.979002303,INSIDE,INSIDE
