Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
438.349,8,0.978794007,0.979002443,0.0212906%,0.00021,0.978794007,0.979002443,INSIDE,INSIDE
1699.504,9,0.978794007,0.979002289,0.0212749%,0.00021,0.978794007,0.979002289,INSIDE,INSIDE
1833.322,10,0.978794007,0.979002288,0.0212748%,0.00021,0.978794007,0.979002288,INSIDE,INSIDE
2000.111,11,0.978795252,0.979002285,0.0211473%,0.00021,0.978795252,0.979002285,INSIDE,INSIDE
2134.823,12,0.978797186,0.979002283,0.0209496%,0.00021,0.978797186,0.979002283,OUTSIDE,INSIDE
2293.529,13,0.978797196,0.979002283,0.0209487%,0.00021,0.978797196,0.979002283,OUTSIDE,OUTSIDE
3345.365,14,0.978801728,0.979002274,0.0204848%,0.00020,0.978801728,0.979002274,INSIDE,INSIDE
3480.292,15,0.978803303,0.979002274,0.0203239%,0.00020,0.978803303,0.979002274,OUTSIDE,OUTSIDE
3536.891,16,0.978803303,0.979002274,0.0203239%,0.0002,0.978803303,0.979002274,INSIDE,INSIDE
3734.811,17,0.978804065,0.979002274,0.0202460%,0.00020,0.978804065,0.979002274,OUTSIDE,INSIDE
3840.032,18,0.978804085,0.979002274,0.0202440%,0.00020,0.978804085,0.979002274,INSIDE,OUTSIDE
4595.318,19,0.978804562,0.979002274,0.0201953%,0.00020,0.978804562,0.979002274,OUTSIDE,OUTSIDE
4620.331,20,0.978804573,0.979002274,0.0201942%,0.00020,0.978804573,0.979002274,OUTSIDE,OUTSIDE
4748.139,21,0.978804573,0.979002274,0.0201941%,0.0002,0.978804573,0.979002274,INSIDE,OUTSIDE
4796.086,22,0.978804603,0.979002274,0.0201911%,0.00020,0.978804603,0.979002274,OUTSIDE,OUTSIDE
4841.404,23,0.978804892,0.979002274,0.0201616%,0.00020,0.978804892,0.979002274,OUTSIDE,OUTSIDE
4883.650,24,0.978807761,0.979002274,0.0198686%,0.00019,0.978807761,0.979002274,OUTSIDE,OUTSIDE
4905.807,25,0.978807761,0.979002274,0.0198685%,0.00019,0.978807761,0.979002274,INSIDE,OUTSIDE
5029.729,26,0.978809270,0.979002274,0.0197144%,0.00019,0.978809270,0.979002274,OUTSIDE,OUTSIDE
5057.960,27,0.978810012,0.979002274,0.0196386%,0.00019,0.978810012,0.979002274,OUTSIDE,OUTSIDE
5087.205,28,0.978810708,0.979002274,0.0195675%,0.00019,0.978810708,0.979002274,OUTSIDE,OUTSIDE
5933.903,29,0.978810708,0.979002274,0.0195675%,0.00019,0.978810708,0.979002274,INSIDE,OUTSIDE
5957.056,30,0.978811209,0.979002274,0.0195164%,0.00019,0.978811209,0.979002274,OUTSIDE,OUTSIDE
5980.261,31,0.978811209,0.979002274,0.0195163%,0.00019,0.978811209,0.979002274,INSIDE,OUTSIDE
6096.407,32,0.978811209,0.979002274,0.0195163%,0.00019,0.978811209,0.979002274,INSIDE,OUTSIDE
6122.415,33,0.978811209,0.979002274,0.0195163%,0.00019,0.978811209,0.979002274,INSIDE,OUTSIDE
6169.694,34,0.978811280,0.979002274,0.0195091%,0.00019,0.978811280,0.979002274,OUTSIDE,OUTSIDE
6214.725,35,0.97881128,0.979002274,0.019509%,0.00019,0.978811280,0.979002274,INSIDE,OUTSIDE
6278.997,36,0.978811478,0.979002274,0.0194889%,0.00019,0.978811478,0.979002274,OUTSIDE,OUTSIDE
6302.259,37,0.978811526,0.979002274,0.0194840%,0.00019,0.978811526,0.979002274,OUTSIDE,OUTSIDE
6328.567,38,0.978811526,0.979002274,0.0194839%,0.00019,0.978811526,0.979002274,INSIDE,OUTSIDE
6437.231,39,0.978811526,0.979002274,0.0194839%,0.00019,0.978811526,0.979002274,INSIDE,OUTSIDE
6665.658,40,0.978811526,0.979002274,0.0194839%,0.00019,0.978811526,0.979002274,OUTSIDE,OUTSIDE
6725.339,41,0.978811554,0.979002274,0.0194811%,0.00019,0.978811554,0.979002274,OUTSIDE,OUTSIDE
6784.495,42,0.978813203,0.979002274,0.0193127%,0.00019,0.978813203,0.979002274,OUTSIDE,OUTSIDE
6837.874,43,0.978815132,0.979002274,0.0191156%,0.00019,0.978815132,0.979002274,OUTSIDE,OUTSIDE
6866.195,44,0.978815132,0.979002274,0.0191156%,0.00019,0.978815132,0.979002274,INSIDE,OUTSIDE
7224.880,45,0.978815132,0.979002274,0.0191156%,0.00019,0.978815132,0.979002274,OUTSIDE,OUTSIDE
7293.732,46,0.978815929,0.979002274,0.0190342%,0.00019,0.978815929,0.979002274,OUTSIDE,OUTSIDE
7357.956,47,0.978815939,0.979002274,0.0190332%,0.00019,0.978815939,0.979002274,INSIDE,OUTSIDE
8153.154,48,0.978816151,0.979002274,0.0190116%,0.00019,0.978816151,0.979002274,OUTSIDE,OUTSIDE
8181.406,49,0.978816151,0.979002274,0.0190115%,0.00019,0.978816151,0.979002274,INSIDE,OUTSIDE
8314.429,50,0.978816151,0.979002274,0.0190115%,0.00019,0.978816151,0.979002274,OUTSIDE,OUTSIDE
8336.860,51,0.978816151,0.979002274,0.0190115%,0.00019,0.978816151,0.979002274,OUTSIDE,OUTSIDE
8360.288,52,0.978816151,0.979002274,0.0190115%,0.00019,0.978816151,0.979002274,OUTSIDE,OUTSIDE
