Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
1379.041,8,0.979211766,0.979664399,0.0462028%,0.00045,0.979211766,0.979664399,INSIDE,INSIDE
8080.151,9,0.979208535,0.979664399,0.0465326%,0.00046,0.979211766,0.979664399,INSIDE,INSIDE
9262.327,10,0.979208093,0.979664399,0.0465777%,0.00046,0.979211766,0.979664399,INSIDE,INSIDE
10179.965,11,0.979201473,0.979664399,0.0472535%,0.00046,0.979211766,0.979664399,INSIDE,INSIDE
11053.877,12,0.979201151,0.979664399,0.0472864%,0.00046,0.979211766,0.979664399,INSIDE,OUTSIDE
11787.426,13,0.979207159,0.979664391,0.0466723%,0.00046,0.979211766,0.979664391,OUTSIDE,INSIDE
12513.988,14,0.979209786,0.979664391,0.0464042%,0.00045,0.979211766,0.979664391,INSIDE,OUTSIDE
12987.351,15,0.979205137,0.979664391,0.0468788%,0.00046,0.979211766,0.979664391,INSIDE,OUTSIDE
13466.673,16,0.979203741,0.979664391,0.0470213%,0.00046,0.979211766,0.979664391,INSIDE,OUTSIDE
13828.425,17,0.979209256,0.979664391,0.0464583%,0.00046,0.979211766,0.979664391,OUTSIDE,INSIDE
13911.245,18,0.979213495,0.979664232,0.0460093%,0.00045,0.979213495,0.979664232,OUTSIDE,INSIDE
13984.941,19,0.979213502,0.979664232,0.0460086%,0.00045,0.979213502,0.979664232,OUTSIDE,OUTSIDE
14148.826,20,0.979205357,0.979664232,0.0468400%,0.00046,0.979213502,0.979664232,INSIDE,OUTSIDE
14613.739,21,0.979207092,0.979664232,0.0466628%,0.00046,0.979213502,0.979664232,INSIDE,OUTSIDE
14970.905,22,0.979205444,0.979664232,0.0468311%,0.00046,0.979213502,0.979664232,INSIDE,OUTSIDE
15047.438,23,0.979205280,0.979664231,0.0468478%,0.00046,0.979213502,0.979664231,INSIDE,INSIDE
15124.697,24,0.979207604,0.979664231,0.0466106%,0.00046,0.979213502,0.979664231,OUTSIDE,OUTSIDE
15126.479,25,0.979210226,0.979664231,0.0463430%,0.00045,0.979213502,0.979664231,OUTSIDE,OUTSIDE
15201.241,26,0.979204510,0.979664231,0.0469265%,0.00046,0.979213502,0.979664231,INSIDE,OUTSIDE
15667.426,27,0.979206719,0.979664231,0.0467009%,0.00046,0.979213502,0.979664231,INSIDE,OUTSIDE
