Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
15.242,1, ,* L U,0.97053699,0.98186025,1.1532%,0.011323,2
29.603,2, ,* U  ,0.97053699,0.97900405,0.8649%,0.008467,3
51.272,3, , ,0.97053699,0.97900405,0.8649%,0.008467,4
58.144,4, , ,0.97053699,0.97900405,0.8649%,0.008467,5
77.963,5, , ,0.97053699,0.97900405,0.8649%,0.008467,6
103.384,6, , ,0.97053699,0.97900405,0.8649%,0.008467,7
109.659,7, ,* L  ,0.97053699,0.97900405,0.8649%,0.008467,8
129.628,8, , ,0.97053699,0.97900405,0.8649%,0.008467,9
144.015,9, , ,0.97053699,0.97900405,0.8649%,0.008467,10
154.596,10, , ,0.97053699,0.97900405,0.8649%,0.008467,11
160.71,11, ,* L  ,0.97073837,0.97900405,0.8443%,0.008266,12
166.801,12, , ,0.97073837,0.97900405,0.8443%,0.008266,13
173.349,13, ,* L  ,0.97075076,0.97900405,0.843%,0.008253,14
179.03,14,Bound, ,0.97075076,0.97900405,0.843%,0.008253,13
185.722,15, ,* L  ,0.97081378,0.97900405,0.8366%,0.00819,14
192.979,16, , ,0.97081378,0.97900405,0.8366%,0.00819,15
199.332,17,Bound,* L  ,0.97094746,0.97900405,0.8229%,0.008057,14
205.74,18,Bound, ,0.97094746,0.97900405,0.8229%,0.008057,13
215.391,19, ,* L  ,0.97103093,0.97900405,0.8144%,0.007973,14
227.424,20, , ,0.97103093,0.97900405,0.8144%,0.007973,15
239.26,21, , ,0.97103093,0.97900405,0.8144%,0.007973,16
248.002,22, , ,0.97103093,0.97900405,0.8144%,0.007973,17
259.765,23,Bound,* L  ,0.97143312,0.97900405,0.7733%,0.007571,16
286.599,24, , ,0.97143312,0.97900405,0.7733%,0.007571,17
303.296,25, , ,0.97143312,0.97900405,0.7733%,0.007571,18
311.185,26, , ,0.97143312,0.97900405,0.7733%,0.007571,19
344.563,27, , ,0.97143312,0.97900405,0.7733%,0.007571,20
438.884,28, , ,0.97143312,0.97900405,0.7733%,0.007571,21
582.737,29,Bound,* L  ,0.97174519,0.97900405,0.7415%,0.007259,20
592.373,30,Bound, ,0.97174519,0.97900405,0.7415%,0.007259,19
755.436,31, ,* L  ,0.97174606,0.97900405,0.7414%,0.007258,20
760.811,32, , ,0.97174606,0.97900405,0.7414%,0.007258,21
767.013,33, ,* L  ,0.97214738,0.97900405,0.7004%,0.006857,22
779.782,34,Bound, ,0.97214738,0.97900405,0.7004%,0.006857,21
819.736,35,Bound,* L  ,0.97216447,0.97900405,0.6986%,0.00684,20
826.459,36, , ,0.97216447,0.97900405,0.6986%,0.00684,21
834.452,37, ,* L  ,0.97219238,0.97900405,0.6958%,0.006812,22
841.534,38, , ,0.97219238,0.97900405,0.6958%,0.006812,23
848.064,39, ,* L  ,0.97263416,0.97900405,0.6506%,0.00637,24
855.657,40, , ,0.97263416,0.97900405,0.6506%,0.00637,25
861.781,41, ,* L  ,0.97321273,0.97900405,0.5916%,0.005791,26
868.342,42, , ,0.97321273,0.97900405,0.5916%,0.005791,27
874.682,43, ,* L  ,0.97345497,0.97900405,0.5668%,0.005549,28
880.762,44, , ,0.97345497,0.97900405,0.5668%,0.005549,29
887.504,45, ,* L  ,0.97347956,0.97900405,0.5643%,0.005524,30
