Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
433.042,1, ,* L  ,0.9726187,inf,inf%,inf,2
762.776,2, ,* U  ,0.9726187,0.97586654,0.3328%,0.003248,3
1228.939,3, ,* L  ,0.97291431,0.97586654,0.3025%,0.002952,4
1647.146,4, , ,0.97291431,0.97586654,0.3025%,0.002952,5
2114.302,5, ,* L  ,0.97305274,0.97586654,0.2883%,0.002814,6
2400.216,6, , ,0.97305274,0.97586654,0.2883%,0.002814,7
2757.609,7, ,* L  ,0.9730816,0.97586654,0.2854%,0.002785,8
3181.843,8, , ,0.9730816,0.97586654,0.2854%,0.002785,9
3608.358,9, ,* L  ,0.97310422,0.97586654,0.2831%,0.002762,10
3923.712,10, , ,0.97310422,0.97586654,0.2831%,0.002762,11
4187.664,11, ,* L  ,0.97310422,0.97586654,0.2831%,0.002762,12
4484.381,12, , ,0.97310422,0.97586654,0.2831%,0.002762,13
4774.741,13, , ,0.97310422,0.97586654,0.2831%,0.002762,14
5077.791,14, , ,0.97310422,0.97586654,0.2831%,0.002762,15
5100.622,15,Bound,* L  ,0.97310948,0.97586654,0.2825%,0.002757,14
5126.968,16,Bound, ,0.97310948,0.97586654,0.2825%,0.002757,13
5396.786,17, ,* L  ,0.97327913,0.97586654,0.2651%,0.002587,14
5438.552,18, , ,0.97327913,0.97586654,0.2651%,0.002587,15
6024.774,19, ,* L  ,0.97329815,0.97586654,0.2632%,0.002568,16
6269.705,20,Bound, ,0.97329815,0.97586654,0.2632%,0.002568,15
6542.862,21, ,* L  ,0.97333434,0.97586654,0.2595%,0.002532,16
6663.629,22, , ,0.97333434,0.97586654,0.2595%,0.002532,17
6772.357,23, , ,0.97333434,0.97586654,0.2595%,0.002532,18
6810.13,24, , ,0.97333434,0.97586654,0.2595%,0.002532,19
6954.739,25, ,* L  ,0.9733735,0.97586654,0.2555%,0.002493,20
7214.374,26, , ,0.9733735,0.97586654,0.2555%,0.002493,21
7504.439,27, ,* L  ,0.9733735,0.97586654,0.2555%,0.002493,22
7520.883,28,Bound, ,0.9733735,0.97586654,0.2555%,0.002493,21
7708.161,29,Bound,* L  ,0.97338773,0.97586654,0.254%,0.002479,20
7833.855,30, , ,0.97338773,0.97586654,0.254%,0.002479,21
7962.778,31, ,* L  ,0.97338773,0.97586654,0.254%,0.002479,22
8028.044,32, , ,0.97338773,0.97586654,0.254%,0.002479,23
8262.685,33,Bound,* L  ,0.97338773,0.97586654,0.254%,0.002479,22
8296.973,34, , ,0.97338773,0.97586654,0.254%,0.002479,23
8454.61,35, ,* L  ,0.97345213,0.97586654,0.2474%,0.002414,24
8586.168,36, , ,0.97345213,0.97586654,0.2474%,0.002414,25
8848.26,37, ,* L  ,0.97345213,0.97586654,0.2474%,0.002414,26
9046.179,38, , ,0.97345213,0.97586654,0.2474%,0.002414,27
9156.429,39, ,* L  ,0.97351962,0.97586654,0.2405%,0.002347,28
9391.449,40, , ,0.97351962,0.97586654,0.2405%,0.002347,29
9557.172,41, ,* L  ,0.97351962,0.97586654,0.2405%,0.002347,30
9789.08,42, , ,0.97351962,0.97586654,0.2405%,0.002347,31
9852.842,43, , ,0.97351962,0.97586654,0.2405%,0.002347,32
9886.407,44, , ,0.97351962,0.97586654,0.2405%,0.002347,33
10080.665,45,Bound,* L  ,0.97351962,0.97586654,0.2405%,0.002347,32
10136.733,46,Bound, ,0.97351962,0.97586654,0.2405%,0.002347,31
10275.533,47, ,* L  ,0.97356737,0.97586654,0.2356%,0.002299,32
10296.465,48,Bound, ,0.97356737,0.97586654,0.2356%,0.002299,31
10396.709,49,Bound,* L  ,0.97387855,0.97586654,0.2037%,0.001988,30
10623.511,50, , ,0.97387855,0.97586654,0.2037%,0.001988,31
10646.347,51, ,* L  ,0.97387855,0.97586654,0.2037%,0.001988,32
10684.066,52,Bound, ,0.97387855,0.97586654,0.2037%,0.001988,31
11047.533,53, ,* L  ,0.97387855,0.97586654,0.2037%,0.001988,32
