Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
425.976,1, ,* L  ,0.97649291,0.98776218,1.1409%,0.011269,2
751.878,2, ,* U  ,0.97649291,0.98776218,1.1409%,0.011269,3
1137.165,3, ,* L U,0.97649291,0.98776218,1.1409%,0.011269,4
1396.268,4, , ,0.97670218,0.98776218,1.1197%,0.01106,5
1698.882,5, ,* L U,0.97670218,0.98776218,1.1197%,0.01106,6
1922.563,6, , ,0.97670218,0.98776218,1.1197%,0.01106,7
2158.81,7, , ,0.97670218,0.98776218,1.1197%,0.01106,8
2377.93,8, , ,0.97670218,0.98776218,1.1197%,0.01106,9
2539.202,9, ,* L  ,0.97670218,0.97950288,0.2859%,0.002801,10
2845.524,10, , ,0.97670218,0.97950288,0.2859%,0.002801,11
3127.423,11, ,* L  ,0.97670218,0.97950288,0.2859%,0.002801,12
3168.864,12, ,* U  ,0.97670218,0.97950288,0.2859%,0.002801,13
3565.004,13, ,* L  ,0.97729306,0.97950288,0.2256%,0.00221,14
3744.11,14, , ,0.97729306,0.97950288,0.2256%,0.00221,15
3917.25,15, , ,0.97729306,0.97950288,0.2256%,0.00221,16
4093.745,16, , ,0.97729306,0.97950288,0.2256%,0.00221,17
4137.025,17,Bound,* L  ,0.97737578,0.97950288,0.2172%,0.002127,16
4256.24,18, , ,0.97737578,0.97950288,0.2172%,0.002127,17
4376.091,19, ,* L  ,0.97737578,0.97950288,0.2172%,0.002127,18
4472.959,20, , ,0.97737578,0.97950288,0.2172%,0.002127,19
4548.469,21,Bound, ,0.97737578,0.97950288,0.2172%,0.002127,18
4569.805,22, , ,0.97737578,0.97950288,0.2172%,0.002127,19
4655.668,23, ,* L U,0.97742823,0.97907909,0.1686%,0.001651,20
4667.684,24,Bound, ,0.97742823,0.97907909,0.1686%,0.001651,19
4866.75,25, ,* L  ,0.97743545,0.97907909,0.1679%,0.001644,20
4947.928,26, , ,0.97743545,0.97907909,0.1679%,0.001644,21
5003.393,27, ,* U  ,0.97743545,0.9790375,0.1636%,0.001602,22
5013.638,28, , ,0.97743545,0.9790375,0.1636%,0.001602,23
5104.852,29, ,* L  ,0.97745493,0.9790375,0.1616%,0.001583,24
5175.004,30,Bound, ,0.97745493,0.9790375,0.1616%,0.001583,23
5217.191,31, ,* L  ,0.97749519,0.9790375,0.1575%,0.001542,24
5265.45,32, ,* U  ,0.97749519,0.97900369,0.1541%,0.001508,25
5303.311,33,Bound, ,0.97749519,0.97900369,0.1541%,0.001508,24
5348.751,34, , ,0.97749519,0.97900369,0.1541%,0.001508,25
5379.243,35, , ,0.97749519,0.97900369,0.1541%,0.001508,26
5391.599,36, , ,0.97749519,0.97900369,0.1541%,0.001508,27
5432.825,37,Bound,* L  ,0.97759494,0.97900369,0.1439%,0.001409,26
