time_s,iteration,UB,LB,rel_gap_pct,abs_gap
46.05,1,0.9818602,0.95047324,3.1967,0.031387
73.901,2,0.97900405,0.95047324,2.9143,0.028531
114.193,3,0.97900405,0.95047324,2.9143,0.028531
123.252,4,0.97900405,0.95047324,2.9143,0.028531
128.452,5,0.97900405,0.95052759,2.9087,0.028476
134.34,6,0.97900405,0.95052759,2.9087,0.028476
144.667,7,0.97900405,0.95326699,2.6289,0.025737
152.283,8,0.97900405,0.95326699,2.6289,0.025737
165.14,9,0.97900405,0.95329832,2.6257,0.025706
173.067,10,0.97900405,0.95329832,2.6257,0.025706
180.666,11,0.97900405,0.95337844,2.6175,0.025626
187.487,12,0.97900405,0.95337844,2.6175,0.025626
195.528,13,0.97900405,0.9533981,2.6155,0.025606
199.591,14,0.97900405,0.9533981,2.6155,0.025606
206.546,15,0.97900405,0.95341214,2.6141,0.025592
212.615,16,0.97900405,0.95341214,2.6141,0.025592
218.899,17,0.97900405,0.95342685,2.6126,0.025577
226.355,18,0.97900405,0.95342685,2.6126,0.025577
235.515,19,0.97900405,0.95344153,2.6111,0.025563
242.222,20,0.97900405,0.95344153,2.6111,0.025563
250.631,21,0.97900405,0.95344768,2.6104,0.025556
259.196,22,0.97900405,0.95344768,2.6104,0.025556
268.691,23,0.97900405,0.95348189,2.607,0.025522
277.325,24,0.97900405,0.95348189,2.607,0.025522
285.941,25,0.97900405,0.95349691,2.6054,0.025507
294.542,26,0.97900405,0.95349691,2.6054,0.025507
302.096,27,0.97900405,0.95350254,2.6048,0.025502
310.461,28,0.97900405,0.95350254,2.6048,0.025502
318.125,29,0.97900405,0.95350794,2.6043,0.025496
326.325,30,0.97900405,0.95350794,2.6043,0.025496
333.778,31,0.97900405,0.9535131,2.6038,0.025491
341.946,32,0.97900405,0.9535131,2.6038,0.025491
350.708,33,0.97900405,0.95351801,2.6033,0.025486
357.14,34,0.97900405,0.95351801,2.6033,0.025486
363.659,35,0.97900405,0.95352502,2.6025,0.025479
370.482,36,0.97900405,0.95352502,2.6025,0.025479
376.642,37,0.97900405,0.95352939,2.6021,0.025475
383.507,38,0.97900405,0.95352939,2.6021,0.025475
392.762,39,0.97900405,0.95366441,2.5883,0.02534
400.298,40,0.97900405,0.95366441,2.5883,0.02534
408.17,41,0.97900405,0.95366959,2.5878,0.025334
415.12,42,0.97900405,0.95366959,2.5878,0.025334
421.23,43,0.97900405,0.95418637,2.535,0.024818
429.888,44,0.97900405,0.95418637,2.535,0.024818
438.88,45,0.97900405,0.95418693,2.5349,0.024817
447.942,46,0.97900405,0.95418693,2.5349,0.024817
458.793,47,0.97900405,0.95418742,2.5349,0.024817
469.068,48,0.97900405,0.95418742,2.5349,0.024817
475.838,49,0.97900405,0.95418787,2.5348,0.024816
483.031,50,0.97900405,0.95418787,2.5348,0.024816
491.226,51,0.97900405,0.95418828,2.5348,0.024816
499.368,52,0.97900405,0.95418828,2.5348,0.024816
506.667,53,0.97900405,0.95423094,2.5304,0.024773
515.607,54,0.97900405,0.95423094,2.5304,0.024773
525.404,55,0.97900405,0.95423161,2.5304,0.024772
534.281,56,0.97900405,0.95423161,2.5304,0.024772
540.195,57,0.97900405,0.95423222,2.5303,0.024772
547.02,58,0.97900405,0.95423222,2.5303,0.024772
559.659,59,0.97900405,0.95423583,2.5299,0.024768
567.234,60,0.97900405,0.95423583,2.5299,0.024768
573.998,61,0.97900405,0.95423584,2.5299,0.024768
580.942,62,0.97900405,0.95423584,2.5299,0.024768
591.856,63,0.97900405,0.95423585,2.5299,0.024768
599.058,64,0.97900405,0.95423585,2.5299,0.024768
606.652,65,0.97900405,0.95423585,2.5299,0.024768
614.517,66,0.97900405,0.95423585,2.5299,0.024768
621.881,67,0.97900405,0.95423586,2.5299,0.024768
628.929,68,0.97900405,0.95423586,2.5299,0.024768
635.203,69,0.97900405,0.95423586,2.5299,0.024768
643.739,70,0.97900405,0.95423586,2.5299,0.024768
651.55,71,0.97900405,0.95423587,2.5299,0.024768
657.855,72,0.97900405,0.95423587,2.5299,0.024768
664.766,73,0.97900405,0.95423587,2.5299,0.024768
671.843,74,0.97900405,0.95423587,2.5299,0.024768
681.134,75,0.97900405,0.95423587,2.5299,0.024768
690.841,76,0.97900405,0.95423587,2.5299,0.024768
698.394,77,0.97900405,0.95423587,2.5299,0.024768
705.726,78,0.97900405,0.95423587,2.5299,0.024768
713.363,79,0.97900405,0.95423588,2.5299,0.024768
720.513,80,0.97900405,0.95423588,2.5299,0.024768
728.563,81,0.97900405,0.95423588,2.5299,0.024768
739.968,82,0.97900405,0.95423588,2.5299,0.024768
746.631,83,0.97900405,0.95423588,2.5299,0.024768
753.318,84,0.97900405,0.95423588,2.5299,0.024768
761.988,85,0.97900405,0.95423654,2.5299,0.024768
769.518,86,0.97900405,0.95423654,2.5299,0.024768
776.163,87,0.97900405,0.95423654,2.5299,0.024768
784.962,88,0.97900405,0.95423654,2.5299,0.024768
790.177,89,0.97900405,0.95423654,2.5299,0.024768
797.09,90,0.97900405,0.95423654,2.5299,0.024768
802.626,91,0.97900405,0.95423662,2.5299,0.024767
818.15,92,0.97900405,0.95423662,2.5299,0.024767
826.512,93,0.97900405,0.95423662,2.5299,0.024767
835.541,94,0.97900405,0.95423662,2.5299,0.024767
843.757,95,0.97900405,0.95423662,2.5299,0.024767
850.493,96,0.97900405,0.95423662,2.5299,0.024767
854.781,97,0.97900405,0.95423662,2.5299,0.024767
860.008,98,0.97900405,0.95423662,2.5299,0.024767
869.657,99,0.97900405,0.95423669,2.5299,0.024767
877.112,100,0.97900405,0.95423669,2.5299,0.024767
886.403,101,0.97900405,0.95423669,2.5299,0.024767
896.586,102,0.97900405,0.95423669,2.5299,0.024767
900.659,103,0.97900405,0.95423669,2.5299,0.024767
912.022,104,0.97900405,0.95423669,2.5299,0.024767
916.019,105,0.97900405,0.95423669,2.5299,0.024767
936.044,106,0.97900405,0.95423669,2.5299,0.024767
956.491,107,0.97900405,0.95423678,2.5298,0.024767
975.225,108,0.97900405,0.95423678,2.5298,0.024767
994.021,109,0.97900405,0.95423688,2.5298,0.024767
1010.78,110,0.97900405,0.95423688,2.5298,0.024767
1031.812,111,0.97900405,0.95423699,2.5298,0.024767
1052.01,112,0.97900405,0.95423699,2.5298,0.024767
1071.436,113,0.97900405,0.95423711,2.5298,0.024767
1089.702,114,0.97900405,0.95423711,2.5298,0.024767
1109.772,115,0.97900405,0.95423725,2.5298,0.024767
1129.25,116,0.97900405,0.95423725,2.5298,0.024767
1146.925,117,0.97900405,0.9542374,2.5298,0.024767
1166.101,118,0.97900405,0.9542374,2.5298,0.024767
1184.265,119,0.97900405,0.95423759,2.5298,0.024766
1198.166,120,0.97900405,0.95423759,2.5298,0.024766
1203.423,121,0.97900405,0.95423779,2.5297,0.024766
1213.657,122,0.97900405,0.95423779,2.5297,0.024766
1218.481,123,0.97900405,0.95423802,2.5297,0.024766
1222.074,124,0.97900405,0.95423802,2.5297,0.024766
1233.059,125,0.97900405,0.95423827,2.5297,0.024766
1242.611,126,0.97900405,0.95423827,2.5297,0.024766
1246.846,127,0.97900405,0.95424036,2.5295,0.024764
1260.409,128,0.97900405,0.95424036,2.5295,0.024764
1269.905,129,0.97900405,0.95424538,2.529,0.024759
1275.617,130,0.97900405,0.95424538,2.529,0.024759
1284.329,131,0.97900405,0.95425096,2.5284,0.024753
1288.65,132,0.97900405,0.95425096,2.5284,0.024753
1298.86,133,0.97900405,0.95425573,2.5279,0.024748
1317.257,134,0.97900405,0.95425573,2.5279,0.024748
1334.698,135,0.97900405,0.95425716,2.5278,0.024747
1339.653,136,0.97900405,0.95425716,2.5278,0.024747
1352.943,137,0.97900405,0.95427392,2.5261,0.02473
1361.23,138,0.97900405,0.95427392,2.5261,0.02473
1373.337,139,0.97900405,0.95430239,2.5231,0.024702
1384.851,140,0.97900405,0.95430239,2.5231,0.024702
1389.811,141,0.97900405,0.95430501,2.5229,0.024699
1408.615,142,0.97900405,0.95430501,2.5229,0.024699
1429.164,143,0.97900405,0.95431672,2.5217,0.024687
1446.958,144,0.97900405,0.95431672,2.5217,0.024687
1463.482,145,0.97900405,0.95431821,2.5215,0.024686
1480.805,146,0.97900405,0.95431821,2.5215,0.024686
1501.865,147,0.97900405,0.95432974,2.5203,0.024674
1517.565,148,0.97900405,0.95432974,2.5203,0.024674
1532.545,149,0.97900405,0.95436676,2.5166,0.024637
1552.508,150,0.97900405,0.95436676,2.5166,0.024637
1572.167,151,0.97900405,0.95438306,2.5149,0.024621
1590.831,152,0.97900405,0.95438306,2.5149,0.024621
1610.061,153,0.97900405,0.95440973,2.5122,0.024594
1646.682,154,0.97900405,0.95440973,2.5122,0.024594
1657.513,155,0.97900405,0.954414,2.5117,0.02459
1670.366,156,0.97900405,0.954414,2.5117,0.02459
1684.339,157,0.97900405,0.95443782,2.5093,0.024566
1695.373,158,0.97900405,0.95443782,2.5093,0.024566
1699.978,159,0.97900405,0.95451648,2.5013,0.024488
1714.24,160,0.97900405,0.95451648,2.5013,0.024488
1728.684,161,0.97900405,0.95469099,2.4834,0.024313
1736.555,162,0.97900405,0.95469099,2.4834,0.024313
1746.2,163,0.97900405,0.95469527,2.483,0.024309
1750.207,164,0.97900405,0.95469527,2.483,0.024309
1758.67,165,0.97900405,0.95476396,2.476,0.02424
1764.032,166,0.97900405,0.95476396,2.476,0.02424
1776.725,167,0.97900405,0.95487973,2.4642,0.024124
1789.679,168,0.97900405,0.95487973,2.4642,0.024124
1803.857,169,0.97900405,0.9549172,2.4603,0.024087
1817.509,170,0.97900405,0.9549172,2.4603,0.024087
1822.328,171,0.97900405,0.95500925,2.4509,0.023995
1836.439,172,0.97900405,0.95500925,2.4509,0.023995
1851.817,173,0.97900405,0.95517966,2.4335,0.023824
1864.581,174,0.97900405,0.95517966,2.4335,0.023824
1874.793,175,0.97900405,0.95536255,2.4149,0.023642
1886.491,176,0.97900405,0.95536255,2.4149,0.023642
1895.417,177,0.97900405,0.95555446,2.3952,0.02345
1906.113,178,0.97900405,0.95555446,2.3952,0.02345
1915.724,179,0.97900405,0.95556085,2.3946,0.023443
1926.955,180,0.97900405,0.95556085,2.3946,0.023443
1936.749,181,0.97900405,0.95556085,2.3946,0.023443
1941.696,182,0.97900405,0.95556085,2.3946,0.023443
1945.935,183,0.97900405,0.95556094,2.3946,0.023443
1958.747,184,0.97900405,0.95556094,2.3946,0.023443
1965.504,185,0.97900405,0.95556094,2.3946,0.023443
1969.842,186,0.97900405,0.95556094,2.3946,0.023443
1981.181,187,0.97900405,0.95575339,2.3749,0.023251
1992.927,188,0.97900405,0.95575339,2.3749,0.023251
2004.0,189,0.97900405,0.96329084,1.605,0.015713
2473.383,190,0.97900405,0.96329084,1.605,0.015713
2987.33,191,0.97900405,0.9663638,1.2911,0.01264
2994.602,192,0.97900405,0.9663638,1.2911,0.01264
2999.659,193,0.97900405,0.97065172,0.8531,0.008352
3027.522,194,0.97900405,0.97065172,0.8531,0.008352
3057.721,195,0.97900405,0.97115198,0.802,0.007852
3062.693,196,0.97900405,0.97115198,0.802,0.007852
3067.066,197,0.97900405,0.97115198,0.802,0.007852
3071.078,198,0.97900405,0.97115198,0.802,0.007852
3076.019,199,0.97900405,0.97115264,0.802,0.007851
3080.087,200,0.97900405,0.97115264,0.802,0.007851
3083.586,201,0.97900405,0.97115264,0.802,0.007851
3087.98,202,0.97900405,0.97115264,0.802,0.007851
3091.563,203,0.97900405,0.97438705,0.4716,0.004617
3219.371,204,0.97900405,0.97438705,0.4716,0.004617
3709.681,205,0.97900405,0.97468755,0.4409,0.004317
3890.248,206,0.97900405,0.97468755,0.4409,0.004317
4396.537,207,0.97900405,0.97468755,0.4409,0.004317
4551.619,208,0.97900405,0.97468755,0.4409,0.004317
5143.366,209,0.97900405,0.97468755,0.4409,0.004317
5343.44,210,0.97900405,0.97468755,0.4409,0.004317
5967.139,211,0.97900405,0.97468755,0.4409,0.004317
6302.477,212,0.97900405,0.97468755,0.4409,0.004317
6938.952,213,0.97900405,0.97468755,0.4409,0.004317
7316.484,214,0.97900405,0.97468755,0.4409,0.004317
7932.718,215,0.97900405,0.97468755,0.4409,0.004317
8248.576,216,0.97900405,0.97468755,0.4409,0.004317
8889.881,217,0.97900405,0.97468755,0.4409,0.004317
9378.021,218,0.97900405,0.97468755,0.4409,0.004317
10017.365,219,0.97900405,0.97468755,0.4409,0.004317
10492.641,220,0.97900405,0.97468755,0.4409,0.004317
11126.209,221,0.97900405,0.9747783,0.4316,0.004226
11604.923,222,0.97900405,0.9747783,0.4316,0.004226
12251.364,223,0.97900405,0.97535842,0.3724,0.003646
12777.783,224,0.97900405,0.97535842,0.3724,0.003646
13426.518,225,0.97900405,0.97535842,0.3724,0.003646
13982.608,226,0.97900405,0.97535842,0.3724,0.003646
14631.681,227,0.97900405,0.97535842,0.3724,0.003646
15216.967,228,0.97900405,0.97535842,0.3724,0.003646
15875.315,229,0.97900405,0.97535842,0.3724,0.003646
16447.05,230,0.97900405,0.97535842,0.3724,0.003646
17114.037,231,0.97900405,0.97536719,0.3715,0.003637
17698.409,232,0.97900405,0.97536719,0.3715,0.003637
17842.609,233,0.97900405,0.97536719,0.3715,0.003637
18077.076,234,0.97900405,0.97536719,0.3715,0.003637
18732.286,235,0.97900405,0.97545749,0.3623,0.003547
19383.677,236,0.97900405,0.97545749,0.3623,0.003547
19980.13,237,0.97900405,0.97556022,0.3518,0.003444
20260.318,238,0.97900405,0.97556022,0.3518,0.003444
20924.547,239,0.97900405,0.97556022,0.3518,0.003444
21241.862,240,0.97900405,0.97556022,0.3518,0.003444
21904.735,241,0.97900405,0.97556022,0.3518,0.003444
22293.737,242,0.97900405,0.97556022,0.3518,0.003444
22963.292,243,0.97900405,0.97556022,0.3518,0.003444
23389.597,244,0.97900405,0.97556022,0.3518,0.003444
24070.382,245,0.97900405,0.97556022,0.3518,0.003444
24774.199,246,0.97900405,0.97556022,0.3518,0.003444
25443.086,247,0.97900405,0.97556022,0.3518,0.003444
26104.177,248,0.97900405,0.97556022,0.3518,0.003444
26742.464,249,0.97900405,0.97562101,0.3456,0.003383
27396.205,250,0.97900405,0.97562101,0.3456,0.003383
28034.246,251,0.97900405,0.97562101,0.3456,0.003383
28685.227,252,0.97900405,0.97562101,0.3456,0.003383
29325.649,253,0.97900405,0.97562101,0.3456,0.003383
29982.588,254,0.97900405,0.97562101,0.3456,0.003383
30625.947,255,0.97900405,0.97562101,0.3456,0.003383
31245.703,256,0.97900405,0.97562101,0.3456,0.003383
31950.128,257,0.97900405,0.97571182,0.3363,0.003292
32572.279,258,0.97900405,0.97571182,0.3363,0.003292
33186.84,259,0.97900405,0.97571182,0.3363,0.003292
33874.955,260,0.97900405,0.97571182,0.3363,0.003292
34499.109,261,0.97900405,0.97599284,0.3076,0.003011
35001.394,262,0.97900405,0.97599284,0.3076,0.003011
35633.716,263,0.97900405,0.97599284,0.3076,0.003011
36245.352,264,0.97900405,0.97599284,0.3076,0.003011
36862.507,265,0.97900405,0.97667362,0.238,0.00233
37423.667,266,0.97900405,0.97667362,0.238,0.00233
37575.37,267,0.97900405,0.97709912,0.1946,0.001905
38177.76,268,0.97900405,0.97709912,0.1946,0.001905
38843.636,269,0.97900405,0.97727352,0.1768,0.001731
39464.43,270,0.97900405,0.97727352,0.1768,0.001731
40076.002,271,0.97900405,0.97727352,0.1768,0.001731
40687.981,272,0.97900405,0.97727352,0.1768,0.001731
41304.889,273,0.97900405,0.97813119,0.0892,0.000873
