# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=5, verts=(1, 3, 4, 5), time=0.0372s, status=infeasible, dual_bound=None, primal_obj=-2576070168.7349443
[Iter 0] scenario=0, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0360s, status=time_limit, dual_bound=-1.209722570366714, primal_obj=-1.2097225703667138
[Iter 0] scenario=1, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0136s, status=time_limit, dual_bound=-1.5073454280711365, primal_obj=-1.5073454280711358
[Iter 0] scenario=2, simplex_idx=6, verts=(0, 3, 4, 8), time=60.4459s, status=time_limit, dual_bound=-1.41579596514097, primal_obj=-1.4157959651409706
[Iter 0] scenario=3, simplex_idx=6, verts=(0, 3, 4, 8), time=60.1143s, status=time_limit, dual_bound=-1.1566613374792118, primal_obj=-1.156661337479212
[Iter 0] scenario=4, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0260s, status=time_limit, dual_bound=-1.3292471102379377, primal_obj=-1.3292471102379377
[Iter 0] scenario=6, simplex_idx=6, verts=(0, 3, 4, 8), time=60.0155s, status=time_limit, dual_bound=-1.1261625085105866, primal_obj=-1.1261625085105866
[Iter 0] scenario=8, simplex_idx=6, verts=(0, 3, 4, 8), time=60.1537s, status=time_limit, dual_bound=-1.167739422376716, primal_obj=-1.1677394223767164
[Iter 0] scenario=9, simplex_idx=6, verts=(0, 3, 4, 8), time=60.6609s, status=time_limit, dual_bound=-1.3762274102012377, primal_obj=-1.376227410201238
[Iter 13] scenario=9, simplex_idx=45, verts=(1, 14, 20, 21), time=0.1700s, status=infeasible, dual_bound=None, primal_obj=-25396098.67759017
[Iter 15] scenario=9, simplex_idx=49, verts=(1, 14, 20, 23), time=0.2387s, status=infeasible, dual_bound=None, primal_obj=-9350257.893974382
[Iter 22] scenario=9, simplex_idx=70, verts=(1, 14, 19, 30), time=0.1732s, status=infeasible, dual_bound=None, primal_obj=-13258190.84663498
[Iter 22] scenario=9, simplex_idx=72, verts=(1, 14, 18, 30), time=0.1971s, status=infeasible, dual_bound=None, primal_obj=-5.6418390848023137e-08
[Iter 22] scenario=5, simplex_idx=73, verts=(1, 18, 19, 30), time=0.0313s, status=infeasible, dual_bound=None, primal_obj=-5.698035208112628e-07
[Iter 23] scenario=9, simplex_idx=73, verts=(1, 14, 19, 31), time=0.1755s, status=infeasible, dual_bound=None, primal_obj=-12477120.679055426
[Iter 24] scenario=5, simplex_idx=76, verts=(1, 14, 31, 32), time=0.1617s, status=infeasible, dual_bound=None, primal_obj=-2.6923085560959237e-07
[Iter 26] scenario=9, simplex_idx=84, verts=(1, 14, 18, 34), time=0.2526s, status=infeasible, dual_bound=None, primal_obj=-36385605.59866657
[Iter 26] scenario=7, simplex_idx=85, verts=(1, 18, 30, 34), time=0.0197s, status=infeasible, dual_bound=None, primal_obj=-1.3957448607215817e-05
[Iter 27] scenario=5, simplex_idx=87, verts=(1, 14, 34, 35), time=0.0194s, status=infeasible, dual_bound=None, primal_obj=-3106688.3650699058
[Iter 33] scenario=9, simplex_idx=103, verts=(1, 14, 18, 41), time=0.1957s, status=infeasible, dual_bound=None, primal_obj=-678160.6066832278
[Iter 33] scenario=2, simplex_idx=106, verts=(1, 12, 18, 41), time=0.1531s, status=infeasible, dual_bound=None, primal_obj=-79002012.19030896
[Iter 34] scenario=9, simplex_idx=106, verts=(1, 14, 18, 42), time=0.1801s, status=infeasible, dual_bound=None, primal_obj=-7449447.574276197
[Iter 34] scenario=5, simplex_idx=108, verts=(1, 14, 41, 42), time=0.0230s, status=infeasible, dual_bound=None, primal_obj=-6.686322717719406e-09
[Iter 35] scenario=5, simplex_idx=111, verts=(1, 14, 41, 43), time=0.0250s, status=infeasible, dual_bound=None, primal_obj=-4551989.101509813
[Iter 37] scenario=9, simplex_idx=115, verts=(1, 14, 18, 45), time=0.1791s, status=infeasible, dual_bound=None, primal_obj=-5218779.184099761
[Iter 37] scenario=5, simplex_idx=117, verts=(1, 14, 42, 45), time=0.0165s, status=infeasible, dual_bound=None, primal_obj=-4.629409244838456e-08
[Iter 38] scenario=5, simplex_idx=121, verts=(1, 42, 45, 46), time=0.0164s, status=infeasible, dual_bound=None, primal_obj=-1.1385528186913518e-08
[Iter 42] scenario=5, simplex_idx=130, verts=(1, 14, 41, 50), time=0.0166s, status=infeasible, dual_bound=None, primal_obj=-292226.14628383325
[Iter 43] scenario=5, simplex_idx=133, verts=(1, 14, 41, 51), time=0.0195s, status=infeasible, dual_bound=None, primal_obj=-1.414094448837222e-05
[Iter 44] scenario=5, simplex_idx=136, verts=(1, 14, 41, 52), time=0.0181s, status=infeasible, dual_bound=None, primal_obj=-760759.2150193296
[Iter 45] scenario=5, simplex_idx=139, verts=(1, 14, 41, 53), time=0.0174s, status=infeasible, dual_bound=None, primal_obj=-243128.3551076905
[Iter 48] scenario=5, simplex_idx=151, verts=(1, 51, 55, 56), time=0.0198s, status=infeasible, dual_bound=None, primal_obj=-341333.251996647
[Iter 49] scenario=8, simplex_idx=154, verts=(1, 12, 50, 57), time=0.1840s, status=infeasible, dual_bound=None, primal_obj=-3197642.394675793
[Iter 52] scenario=8, simplex_idx=163, verts=(1, 12, 57, 60), time=0.1862s, status=infeasible, dual_bound=None, primal_obj=-968935.0037451853
[Iter 54] scenario=2, simplex_idx=168, verts=(1, 9, 10, 62), time=0.0216s, status=infeasible, dual_bound=None, primal_obj=-5041936531.8863535
[Iter 56] scenario=3, simplex_idx=174, verts=(0, 1, 12, 64), time=0.0467s, status=infeasible, dual_bound=None, primal_obj=-0.005334752713220148
[Iter 58] scenario=8, simplex_idx=180, verts=(1, 64, 65, 66), time=0.0169s, status=infeasible, dual_bound=None, primal_obj=-2.0897149122234282e-08
[Iter 59] scenario=8, simplex_idx=181, verts=(1, 65, 66, 67), time=0.0179s, status=infeasible, dual_bound=None, primal_obj=-9.839735176431219e-06
[Iter 59] scenario=8, simplex_idx=183, verts=(1, 64, 65, 67), time=0.0164s, status=infeasible, dual_bound=None, primal_obj=-3249.1200197763865
[Iter 60] scenario=3, simplex_idx=184, verts=(1, 65, 67, 68), time=0.0172s, status=infeasible, dual_bound=None, primal_obj=-2.833444590066847e-11
