Iteration   Subproblem          DualLB
--------------------------------------------
0           scen_2              0.95495724
0           scen_3              1.0428034
0           scen_4              0.96494495
0           scen_6              1.0033295
0           scen_8              0.99984646
0           scen_9              0.95491982
0           scen_10             0.96117164
0           scen_2              0.95495724
0           scen_3              1.0428034
0           scen_4              0.96494495
0           scen_6              1.0033295
0           scen_8              0.99984646
0           scen_9              0.95491982
1           scen_2              0.95495724
1           scen_3              1.0428034
1           scen_4              0.96494495
1           scen_6              1.0033295
1           scen_8              0.99984646
1           scen_9              0.95491982
2           scen_2              0.95495724
2           scen_3              1.0428034
2           scen_4              0.96494495
2           scen_6              1.0033295
2           scen_8              0.99984646
2           scen_9              0.95491982
3           scen_2              0.95495724
3           scen_3              1.0428034
3           scen_6              1.0033295
4           scen_2              0.95495724
4           scen_3              1.0428034
4           scen_4              0.96494495
4           scen_6              1.0033295
4           scen_8              0.99984646
4           scen_10             0.96427772
5           scen_2              0.95495724
5           scen_3              1.0428034
5           scen_4              0.96806639
5           scen_8              0.99984646
6           scen_3              1.0428034
6           scen_4              0.9672142
6           scen_8              0.99986322
6           scen_9              0.95491982
7           scen_2              0.95495724
7           scen_3              1.0428034
7           scen_4              0.96494495
7           scen_6              1.0033295
7           scen_8              0.99984646
8           scen_2              0.95495724
8           scen_3              1.0428034
8           scen_4              0.96494495
8           scen_6              1.0033295
8           scen_8              0.99984646
9           scen_2              0.95495724
9           scen_3              1.0428034
9           scen_4              0.96494495
9           scen_6              1.0033295
9           scen_8              0.99984646
10          scen_2              0.95495724
10          scen_3              1.0428034
10          scen_6              1.0033295
10          scen_8              0.99984646
11          scen_2              0.95495724
11          scen_3              1.0428034
11          scen_6              1.0033295
11          scen_8              0.99984646
13          scen_2              0.95495724
13          scen_3              1.0428034
13          scen_10             0.96427772
14          scen_2              0.95495724
14          scen_3              1.0558732
14          scen_8              0.99984646
14          scen_10             0.96433448
16          scen_2              0.95495724
16          scen_3              1.0428034
16          scen_6              1.0033295
16          scen_8              0.99984646
18          scen_3              1.0428034
18          scen_8              0.99984646
19          scen_3              1.0428034
19          scen_8              0.99984646
21          scen_3              1.0428034
21          scen_8              0.99984646
23          scen_3              1.0547971
23          scen_6              1.0033295
23          scen_8              0.99984646
27          scen_3              1.0428034
27          scen_8              0.99984646
29          scen_3              1.0428034
29          scen_8              0.99984646
