Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
434.804,1, ,* L  ,0.97141775,inf,inf%,inf,2
894.259,2, , ,0.97141775,inf,inf%,inf,3
1365.194,3, ,* L U,0.97177376,2.3935818,59.4009%,1.421808,4
1772.217,4, ,* U  ,0.97177376,1.5409658,36.9374%,0.569192,5
2035.7,5, ,* L  ,0.97186224,1.5409658,36.9316%,0.569104,6
2455.447,6, , ,0.97186224,1.5409658,36.9316%,0.569104,7
2776.557,7, ,* L U,0.97186792,0.97860966,0.6889%,0.006742,8
3036.57,8, , ,0.97186792,0.97860966,0.6889%,0.006742,9
3353.2,9, ,* L  ,0.97198363,0.97860966,0.6771%,0.006626,10
3667.349,10, ,* U  ,0.97198363,0.97586654,0.3979%,0.003883,11
3983.764,11, ,* L  ,0.97198363,0.97586654,0.3979%,0.003883,12
4256.617,12, , ,0.97198363,0.97586654,0.3979%,0.003883,13
4515.74,13, ,* L  ,0.97201346,0.97586654,0.3948%,0.003853,14
4530.225,14,Bound, ,0.97201346,0.97586654,0.3948%,0.003853,13
4805.854,15,Bound,* L  ,0.97208112,0.97586654,0.3879%,0.003785,12
5122.271,16, , ,0.97208112,0.97586654,0.3879%,0.003785,13
5139.807,17, ,* L  ,0.97223768,0.97586654,0.3719%,0.003629,14
5418.179,18, , ,0.97223768,0.97586654,0.3719%,0.003629,15
5427.456,19,Bound,* L  ,0.97223768,0.97586654,0.3719%,0.003629,14
5555.785,20, , ,0.97223768,0.97586654,0.3719%,0.003629,15
5689.775,21, ,* L  ,0.97223768,0.97586654,0.3719%,0.003629,16
5701.366,22,Bound, ,0.97223768,0.97586654,0.3719%,0.003629,15
5829.566,23, ,* L  ,0.97223768,0.97586654,0.3719%,0.003629,16
5838.63,24, , ,0.97223768,0.97586654,0.3719%,0.003629,17
6028.009,25, ,* L  ,0.97223768,0.97586654,0.3719%,0.003629,18
6036.443,26, , ,0.97223768,0.97586654,0.3719%,0.003629,19
6057.511,27,Bound,* L  ,0.97224093,0.97586654,0.3715%,0.003626,18
6065.425,28,Bound, ,0.97224093,0.97586654,0.3715%,0.003626,17
6196.905,29, ,* L  ,0.97224093,0.97586654,0.3715%,0.003626,18
6204.448,30, , ,0.97224093,0.97586654,0.3715%,0.003626,19
6353.918,31, ,* L  ,0.97261787,0.97586654,0.3329%,0.003249,20
6361.281,32, , ,0.97261787,0.97586654,0.3329%,0.003249,21
6368.605,33, ,* L  ,0.97273831,0.97586654,0.3206%,0.003128,22
6375.326,34, , ,0.97273831,0.97586654,0.3206%,0.003128,23
6382.639,35, ,* L  ,0.97275546,0.97586654,0.3188%,0.003111,24
6389.653,36, , ,0.97275546,0.97586654,0.3188%,0.003111,25
6396.309,37, ,* L  ,0.97277537,0.97586654,0.3168%,0.003091,26
6403.116,38, , ,0.97277537,0.97586654,0.3168%,0.003091,27
6409.848,39, , ,0.97277537,0.97586654,0.3168%,0.003091,28
6416.597,40, , ,0.97277537,0.97586654,0.3168%,0.003091,29
6423.233,41, , ,0.97277537,0.97586654,0.3168%,0.003091,30
6430.039,42, , ,0.97277537,0.97586654,0.3168%,0.003091,31
6437.351,43, ,* L  ,0.97277565,0.97586654,0.3167%,0.003091,32
6444.144,44, , ,0.97277565,0.97586654,0.3167%,0.003091,33
6451.426,45, ,* L  ,0.97277788,0.97586654,0.3165%,0.003089,34
6458.182,46, , ,0.97277788,0.97586654,0.3165%,0.003089,35
6465.264,47, ,* L  ,0.97277891,0.97586654,0.3164%,0.003088,36
6472.038,48, , ,0.97277891,0.97586654,0.3164%,0.003088,37
6479.063,49, ,* L  ,0.9727792,0.97586654,0.3164%,0.003087,38
6486.055,50, , ,0.9727792,0.97586654,0.3164%,0.003087,39
6493.115,51, , ,0.9727792,0.97586654,0.3164%,0.003087,40
6500.498,52, , ,0.9727792,0.97586654,0.3164%,0.003087,41
6507.541,53, , ,0.9727792,0.97586654,0.3164%,0.003087,42
6514.557,54, , ,0.9727792,0.97586654,0.3164%,0.003087,43
6521.533,55, , ,0.9727792,0.97586654,0.3164%,0.003087,44
6528.729,56, , ,0.9727792,0.97586654,0.3164%,0.003087,45
6535.354,57, , ,0.9727792,0.97586654,0.3164%,0.003087,46
6542.741,58, , ,0.9727792,0.97586654,0.3164%,0.003087,47
6549.913,59, , ,0.9727792,0.97586654,0.3164%,0.003087,48
6556.921,60, , ,0.9727792,0.97586654,0.3164%,0.003087,49
6563.825,61, , ,0.9727792,0.97586654,0.3164%,0.003087,50
6570.947,62, , ,0.9727792,0.97586654,0.3164%,0.003087,51
6578.148,63, , ,0.9727792,0.97586654,0.3164%,0.003087,52
6584.889,64, , ,0.9727792,0.97586654,0.3164%,0.003087,53
6591.948,65, , ,0.9727792,0.97586654,0.3164%,0.003087,54
6599.317,66, , ,0.9727792,0.97586654,0.3164%,0.003087,55
