Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap
31.362,8,0.981648984,2.233478189,56.0484%,1.25183
45.714,9,0.979943579,2.233478189,56.1248%,1.25353
60.707,10,0.982559171,2.233478189,56.0077%,1.25092
88.025,11,0.979424978,2.233478189,56.1480%,1.25405
115.181,12,0.979487801,2.233478189,56.1452%,1.25399
139.236,13,0.979333880,2.233478189,56.1521%,1.25414
143.939,14,0.979330492,2.233478189,56.1522%,1.25415
148.563,15,0.979325812,2.030694192,51.7738%,1.05137
153.113,16,0.979329569,1.326316746,26.1617%,0.34699
159.087,17,0.979328034,1.022823683,4.2525%,0.04350
172.375,18,0.979327125,0.984064006,0.4814%,0.00474
178.570,19,0.979327062,0.984064006,0.4814%,0.00474
179.087,20,0.979342535,0.984064006,0.4798%,0.00472
191.647,21,0.979325327,0.984064006,0.4815%,0.00474
198.371,22,0.979324821,0.984064006,0.4816%,0.00474
198.877,23,0.979334223,0.983900672,0.4641%,0.00457
209.542,24,0.979323656,0.983900672,0.4652%,0.00458
213.004,25,0.979437917,0.983900672,0.4536%,0.00446
232.423,26,0.979419513,0.983900672,0.4554%,0.00448
256.452,27,0.979339988,0.983900672,0.4635%,0.00456
278.977,28,0.979344007,0.983900672,0.4631%,0.00456
284.614,29,0.979345844,0.983900672,0.4629%,0.00455
289.277,30,0.979332063,0.983900672,0.4643%,0.00457
295.542,31,0.979331105,0.983900672,0.4644%,0.00457
296.280,32,0.979346161,0.983900672,0.4629%,0.00455
302.488,33,0.979346872,0.983900672,0.4628%,0.00455
319.121,34,0.979341691,0.983900672,0.4634%,0.00456
339.089,35,0.979334765,0.983900672,0.4641%,0.00457
346.570,36,0.979334889,0.983900672,0.4640%,0.00457
354.494,37,0.979335244,0.983900672,0.4640%,0.00457
355.279,38,0.979340981,0.983900672,0.4634%,0.00456
370.255,39,0.979330283,0.983900672,0.4645%,0.00457
382.577,40,0.979329559,0.983900672,0.4646%,0.00457
394.633,41,0.979329494,0.983900672,0.4646%,0.00457
404.335,42,0.979332598,0.983900672,0.4643%,0.00457
413.098,43,0.979334833,0.983900672,0.4641%,0.00457
428.200,44,0.979329866,0.983900672,0.4646%,0.00457
442.005,45,0.979330033,0.983900672,0.4645%,0.00457
451.765,46,0.979330307,0.983900672,0.4645%,0.00457
465.168,47,0.979330780,0.983142423,0.3877%,0.00381
474.827,48,0.979333181,0.983142423,0.3875%,0.00381
483.810,49,0.979334868,0.983142423,0.3873%,0.00381
491.976,50,0.979335638,0.983142423,0.3872%,0.00381
500.793,51,0.979339105,0.979626599,0.0293%,0.00029
