Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap
933.188,8,0.980061794,0.980898375,0.0853%,0.00084
1108.947,9,0.979325763,0.979887990,0.0574%,0.00056
1239.687,10,0.979419483,0.979953901,0.0545%,0.00053
1341.858,11,0.979318096,0.979875846,0.0569%,0.00056
1546.335,12,0.979211802,0.979700924,0.0499%,0.00049
1827.873,13,0.979204459,0.979671277,0.0477%,0.00047
1882.876,14,0.979208911,0.979680508,0.0481%,0.00047
1937.725,15,0.979210853,0.979695805,0.0495%,0.00048
2156.381,16,0.979208732,0.979692121,0.0493%,0.00048
2349.939,17,0.979206956,0.979700586,0.0504%,0.00049
2393.909,18,0.979212331,0.979701125,0.0499%,0.00049
2642.487,19,0.979218348,0.979694965,0.0486%,0.00048
3028.257,20,0.979207557,0.979698088,0.0501%,0.00049
3075.680,21,0.979219134,0.979706949,0.0498%,0.00049
3261.944,22,0.979209662,0.979690938,0.0491%,0.00048
3425.607,23,0.979211961,0.979694092,0.0492%,0.00048
3607.783,24,0.979205589,0.979670615,0.0475%,0.00047
3693.955,25,0.979206940,0.979665531,0.0468%,0.00046
3738.774,26,0.979206006,0.979675157,0.0479%,0.00047
3782.205,27,0.979208469,0.979671206,0.0472%,0.00046
3827.754,28,0.979208225,0.979688944,0.0491%,0.00048
3915.522,29,0.979207139,0.979687045,0.0490%,0.00048
4001.973,30,0.979205849,0.979667116,0.0471%,0.00046
4070.683,31,0.979204276,0.979694443,0.0500%,0.00049
4171.487,32,0.979202844,0.979673359,0.0480%,0.00047
4253.800,33,0.979208742,0.979664453,0.0465%,0.00046
4441.745,34,0.979209409,0.979680523,0.0481%,0.00047
4557.891,35,0.979202516,0.979676230,0.0484%,0.00047
4632.351,36,0.979209657,0.979670714,0.0471%,0.00046
4815.068,37,0.979209718,0.979699458,0.0500%,0.00049
4978.584,38,0.979206517,0.979665549,0.0469%,0.00046
5022.963,39,0.979206457,0.979680484,0.0484%,0.00047
5068.455,40,0.979206900,0.979672020,0.0475%,0.00047
5110.851,41,0.979209801,0.979670656,0.0470%,0.00046
5153.003,42,0.979209825,0.979699011,0.0499%,0.00049
5195.466,43,0.979204224,0.979685833,0.0492%,0.00048
5238.054,44,0.979204058,0.979680072,0.0486%,0.00048
5290.420,45,0.979210172,0.979700892,0.0501%,0.00049
5333.707,46,0.979202801,0.979685111,0.0492%,0.00048
5375.688,47,0.979204722,0.979684222,0.0489%,0.00048
5426.824,48,0.979209328,0.979694859,0.0496%,0.00049
5498.119,49,0.979211096,0.979685883,0.0485%,0.00047
5573.422,50,0.979212131,0.979677805,0.0475%,0.00047
5619.660,51,0.979212601,0.979675332,0.0472%,0.00046
5799.184,52,0.979213824,0.979675439,0.0471%,0.00046
5845.215,53,0.979209789,0.979686676,0.0487%,0.00048
5889.690,54,0.979208671,0.979704920,0.0507%,0.00050
6052.082,55,0.979205951,0.979675079,0.0479%,0.00047
6145.831,56,0.979214294,0.979685629,0.0481%,0.00047
6290.082,57,0.979208880,0.979672949,0.0474%,0.00046
6371.198,58,0.979204105,0.979702577,0.0509%,0.00050
6452.024,59,0.979204425,0.979687506,0.0493%,0.00048
6544.161,60,0.979210177,0.979699473,0.0499%,0.00049
6658.586,61,0.979201646,0.979677643,0.0486%,0.00048
6733.143,62,0.979216093,0.979673149,0.0467%,0.00046
6881.080,63,0.979201883,0.979667524,0.0475%,0.00047
6953.726,64,0.979202412,0.979672171,0.0480%,0.00047
7030.570,65,0.979201110,0.979667649,0.0476%,0.00047
7085.712,66,0.979201215,0.979667670,0.0476%,0.00047
7135.090,67,0.979202882,0.979671603,0.0478%,0.00047
7198.612,68,0.979201119,0.979667993,0.0477%,0.00047
7257.711,69,0.979201126,0.979667042,0.0476%,0.00047
7290.439,70,0.979204616,0.979669315,0.0474%,0.00046
7294.104,71,0.979204690,0.979668487,0.0473%,0.00046
7341.487,72,0.979204697,0.979668961,0.0474%,0.00046
7406.165,73,0.979204653,0.979669514,0.0475%,0.00046
7409.400,74,0.979209047,0.979705641,0.0507%,0.00050
7490.222,75,0.979219547,0.979688973,0.0479%,0.00047
7561.967,76,0.979204033,0.979682459,0.0488%,0.00048
7628.616,77,0.979220524,0.979681239,0.0470%,0.00046
7699.798,78,0.979202034,0.979671682,0.0479%,0.00047
7755.435,79,0.979201846,0.979665098,0.0473%,0.00046
7820.448,80,0.979222704,0.979671156,0.0458%,0.00045
7879.761,81,0.979222754,0.979680115,0.0467%,0.00046
7954.883,82,0.979215049,0.979693802,0.0489%,0.00048
7996.927,83,0.979213805,0.979680336,0.0476%,0.00047
8043.795,84,0.979223336,0.979708976,0.0496%,0.00049
8100.126,85,0.979223670,0.979669901,0.0455%,0.00045
8162.636,86,0.979224570,0.979664848,0.0449%,0.00044
8228.454,87,0.979224585,0.979665055,0.0450%,0.00044
8275.701,88,0.979224642,0.979665049,0.0450%,0.00044
8335.771,89,0.979224654,0.979666311,0.0451%,0.00044
8406.459,90,0.979224618,0.979664782,0.0449%,0.00044
8409.994,91,0.979224725,0.979667941,0.0452%,0.00044
8441.761,92,0.979224735,0.979666315,0.0451%,0.00044
8445.492,93,0.979224779,0.979664897,0.0449%,0.00044
8473.594,94,0.979225107,0.979679721,0.0464%,0.00045
8530.704,95,0.979204807,0.979690902,0.0496%,0.00049
8597.554,96,0.979205408,0.979714673,0.0520%,0.00051
8680.150,97,0.979212107,0.979704697,0.0503%,0.00049
8774.332,98,0.979202229,0.979681276,0.0489%,0.00048
8830.779,99,0.979223315,0.979670695,0.0457%,0.00045
8886.091,100,0.979223343,0.979670510,0.0456%,0.00045
8938.180,101,0.979224582,0.979665039,0.0450%,0.00044
8990.271,102,0.979225687,0.979700595,0.0485%,0.00047
9077.973,103,0.979210343,0.979690422,0.0490%,0.00048
9129.857,104,0.979230158,0.979719209,0.0499%,0.00049
9291.518,105,0.979206292,0.979692314,0.0496%,0.00049
9459.435,106,0.979205930,0.979711189,0.0516%,0.00051
9612.591,107,0.979204847,0.979691662,0.0497%,0.00049
9690.469,108,0.979204553,0.979695236,0.0501%,0.00049
9782.178,109,0.979207689,0.979666818,0.0469%,0.00046
9828.667,110,0.979203254,0.979667521,0.0474%,0.00046
9881.554,111,0.979209117,0.979677710,0.0478%,0.00047
9991.124,112,0.979202524,0.979673633,0.0481%,0.00047
10078.238,113,0.979210052,0.979685282,0.0485%,0.00048
10123.278,114,0.979208581,0.979683689,0.0485%,0.00048
10168.554,115,0.979202656,0.979674725,0.0482%,0.00047
10213.731,116,0.979203853,0.979700457,0.0507%,0.00050
10267.209,117,0.979205234,0.979673277,0.0478%,0.00047
10344.616,118,0.979210891,0.979664233,0.0463%,0.00045
10390.297,119,0.979224344,0.979667728,0.0453%,0.00044
10463.166,120,0.979224668,0.979665208,0.0450%,0.00044
10524.535,121,0.979225757,0.979694259,0.0478%,0.00047
10578.473,122,0.979206411,0.979718080,0.0522%,0.00051
10583.828,123,0.979228369,0.979712532,0.0494%,0.00048
10630.904,124,0.979203055,0.979679713,0.0487%,0.00048
10678.034,125,0.979204694,0.979692349,0.0498%,0.00049
10731.460,126,0.979211915,0.979694187,0.0492%,0.00048
10806.590,127,0.979231085,0.979669252,0.0447%,0.00044
10896.848,128,0.979214490,0.979685476,0.0481%,0.00047
11028.515,129,0.979206792,0.979676147,0.0479%,0.00047

50 scenario, 1e-2
