Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap
797.746,8,0.979602445,0.980002079,0.0408%,0.00040
895.355,9,0.979602445,0.979846375,0.0249%,0.00024
969.921,10,0.979956365,0.979846375,-0.0112%,-0.00011
1096.169,11,0.979956365,0.979846375,-0.0112%,-0.00011
1228.303,12,0.979956365,0.979846375,-0.0112%,-0.00011
1342.627,13,0.979956365,0.979846375,-0.0112%,-0.00011
1369.066,14,0.979956365,0.979846375,-0.0112%,-0.00011
1398.877,15,0.979956365,0.979846375,-0.0112%,-0.00011
1429.254,16,0.979956365,0.979846375,-0.0112%,-0.00011
1553.551,17,0.979956365,0.979846375,-0.0112%,-0.00011
1670.888,18,0.979956365,0.979846375,-0.0112%,-0.00011
1773.611,19,0.979956365,0.979846375,-0.0112%,-0.00011
1875.930,20,0.979956365,0.979846375,-0.0112%,-0.00011
1992.113,21,0.979956365,0.979846375,-0.0112%,-0.00011
2110.290,22,0.979956365,0.979846375,-0.0112%,-0.00011
2168.574,23,0.979956365,0.979846375,-0.0112%,-0.00011
2226.715,24,0.979956365,0.979846375,-0.0112%,-0.00011
2284.026,25,0.979956365,0.979846375,-0.0112%,-0.00011
2362.202,26,0.979956365,0.979846375,-0.0112%,-0.00011
2420.335,27,0.979956365,0.979846375,-0.0112%,-0.00011
2477.889,28,0.979956365,0.979846375,-0.0112%,-0.00011
2535.297,29,0.979956365,0.979846375,-0.0112%,-0.00011
2589.182,30,0.979956365,0.979846375,-0.0112%,-0.00011
2635.454,31,0.979956365,0.979846375,-0.0112%,-0.00011
2685.944,32,0.979956365,0.979846375,-0.0112%,-0.00011
2740.155,33,0.979956365,0.979846375,-0.0112%,-0.00011
2788.482,34,0.979956365,0.979846375,-0.0112%,-0.00011
2859.490,35,0.979956365,0.979846375,-0.0112%,-0.00011
2932.865,36,0.979956365,0.979846375,-0.0112%,-0.00011
3005.660,37,0.979956365,0.979846375,-0.0112%,-0.00011
3036.210,38,0.979956365,0.979846375,-0.0112%,-0.00011
3080.177,39,0.979956365,0.979846375,-0.0112%,-0.00011
3186.221,40,0.979956365,0.979846375,-0.0112%,-0.00011
3317.620,41,0.979956365,0.979846375,-0.0112%,-0.00011
3393.473,42,0.979956365,0.979846375,-0.0112%,-0.00011
3503.399,43,0.979956365,0.979846375,-0.0112%,-0.00011
3610.837,44,0.979956365,0.979846375,-0.0112%,-0.00011
3711.655,45,0.979956365,0.979846375,-0.0112%,-0.00011
3742.871,46,0.979956365,0.979846375,-0.0112%,-0.00011
3800.528,47,0.979956365,0.979846375,-0.0112%,-0.00011
3915.338,48,0.979956365,0.979846375,-0.0112%,-0.00011
3990.693,49,0.979956365,0.979846375,-0.0112%,-0.00011
4146.270,50,0.979956365,0.979846375,-0.0112%,-0.00011
4185.429,51,0.979956365,0.979846375,-0.0112%,-0.00011
4222.828,52,0.979956365,0.979846375,-0.0112%,-0.00011
4291.296,53,0.979956365,0.979846375,-0.0112%,-0.00011
4350.945,54,0.979956365,0.979846375,-0.0112%,-0.00011
4466.559,55,0.979956365,0.979846375,-0.0112%,-0.00011
4565.290,56,0.979956365,0.979846375,-0.0112%,-0.00011
4660.901,57,0.979956365,0.979846375,-0.0112%,-0.00011
4685.164,58,0.979956365,0.979846375,-0.0112%,-0.00011
4712.249,59,0.979956365,0.979846375,-0.0112%,-0.00011
4739.684,60,0.979956365,0.979846375,-0.0112%,-0.00011
4770.192,61,0.979956365,0.979846375,-0.0112%,-0.00011
4800.061,62,0.979956365,0.979846375,-0.0112%,-0.00011
4829.828,63,0.979956365,0.979846375,-0.0112%,-0.00011
4832.204,64,0.979956365,0.979846375,-0.0112%,-0.00011
4890.301,65,0.979956365,0.979846375,-0.0112%,-0.00011
4968.330,66,0.979956365,0.979846375,-0.0112%,-0.00011
5067.493,67,0.979956365,0.979846375,-0.0112%,-0.00011
5173.954,68,0.979956365,0.979846375,-0.0112%,-0.00011
5282.624,69,0.979956365,0.979846375,-0.0112%,-0.00011
5310.119,70,0.979956365,0.979846375,-0.0112%,-0.00011
5416.714,71,0.979956365,0.979846375,-0.0112%,-0.00011
5419.376,72,0.979956365,0.979846375,-0.0112%,-0.00011
5446.797,73,0.979956365,0.979846375,-0.0112%,-0.00011
5449.309,74,0.979956365,0.979846375,-0.0112%,-0.00011
5475.506,75,0.979956365,0.979846375,-0.0112%,-0.00011
5503.016,76,0.979956365,0.979846375,-0.0112%,-0.00011
5531.142,77,0.979956365,0.979846375,-0.0112%,-0.00011
5558.210,78,0.979956365,0.979846375,-0.0112%,-0.00011
5585.904,79,0.979956365,0.979846375,-0.0112%,-0.00011
5612.799,80,0.979956365,0.979846375,-0.0112%,-0.00011
5641.064,81,0.979956365,0.979846375,-0.0112%,-0.00011
5669.703,82,0.979956365,0.979846375,-0.0112%,-0.00011
5697.603,83,0.979956365,0.979846375,-0.0112%,-0.00011
5726.036,84,0.979956365,0.979846375,-0.0112%,-0.00011
5754.661,85,0.979956365,0.979846375,-0.0112%,-0.00011
5782.868,86,0.979956365,0.979846375,-0.0112%,-0.00011
5810.973,87,0.979956365,0.979846375,-0.0112%,-0.00011
5839.192,88,0.979956365,0.979846375,-0.0112%,-0.00011
5868.200,89,0.979956365,0.979846375,-0.0112%,-0.00011
5897.018,90,0.979956365,0.979846375,-0.0112%,-0.00011
5927.778,91,0.979956365,0.979846375,-0.0112%,-0.00011
5957.585,92,0.979956365,0.979846375,-0.0112%,-0.00011
5987.066,93,0.979956365,0.979846375,-0.0112%,-0.00011
5989.713,94,0.979956365,0.979846375,-0.0112%,-0.00011
6016.522,95,0.979956365,0.979846375,-0.0112%,-0.00011
6043.856,96,0.979956365,0.979846375,-0.0112%,-0.00011
6070.093,97,0.979956365,0.979846375,-0.0112%,-0.00011
6097.277,98,0.979956365,0.979846375,-0.0112%,-0.00011
6125.468,99,0.979956365,0.979846375,-0.0112%,-0.00011
