Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
2017.907,1, ,* L  ,0.97688676,inf,inf%,inf,2
3686.136,2, , ,0.97688676,inf,inf%,inf,3
5557.265,3, ,* L  ,0.977022,inf,inf%,inf,4
7192.211,4, ,* U  ,0.977022,18.867282,94.8216%,17.89026,5
8757.999,5, ,* L  ,0.9773753,18.867282,94.8197%,17.889906,6
9861.569,6, ,* U  ,0.9773753,2.517358,61.1746%,1.539983,7
11197.096,7, ,* L  ,0.97782622,2.517358,61.1566%,1.539532,8
12188.525,8, , ,0.97782622,2.517358,61.1566%,1.539532,9
13345.266,9, ,* L  ,0.97782902,2.517358,61.1565%,1.539529,10
14347.325,10, , ,0.97782902,2.517358,61.1565%,1.539529,11
15731.751,11, ,* L  ,0.97788002,2.517358,61.1545%,1.539478,12
16593.124,12, , ,0.97788002,2.517358,61.1545%,1.539478,13
17587.658,13, ,* L U,0.97792756,1.058025,7.5705%,0.080097,14
19032.037,14, , ,0.97792756,1.058025,7.5705%,0.080097,15
20561.404,15, ,* L  ,0.97794731,1.058025,7.5686%,0.080078,16
21360.806,16, , ,0.97794731,1.058025,7.5686%,0.080078,17
21408.401,17,Bound,* L  ,0.97798518,1.058025,7.565%,0.08004,16
22358.249,18, , ,0.97798518,1.058025,7.565%,0.08004,17
