Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
1092.252,1, ,* L  ,0.97528293,inf,inf%,inf,2
2151.745,2, , ,0.97528293,inf,inf%,inf,3
3160.386,3, ,* L  ,0.97549248,inf,inf%,inf,4
3994.31,4, , ,0.97549248,inf,inf%,inf,5
4884.403,5, ,* L  ,0.97573033,inf,inf%,inf,6
5713.76,6, , ,0.97573033,inf,inf%,inf,7
6540.734,7, ,* L  ,0.97575551,inf,inf%,inf,8
7347.139,8, , ,0.97575551,inf,inf%,inf,9
8202.147,9, ,* L  ,0.97584116,inf,inf%,inf,10
8971.85,10, ,* U  ,0.97584116,2.1397396,54.3944%,1.163898,11
9719.531,11, ,* L  ,0.97594505,2.1397396,54.3895%,1.163795,12
10174.369,12, , ,0.97594505,2.1397396,54.3895%,1.163795,13
10752.217,13, ,* L  ,0.97636864,2.1397396,54.3697%,1.163371,14
11490.622,14, , ,0.97636864,2.1397396,54.3697%,1.163371,15
12254.351,15, ,* L  ,0.97644938,2.1397396,54.366%,1.16329,16
12850.497,16, , ,0.97644938,2.1397396,54.366%,1.16329,17
13405.919,17, ,* L  ,0.97647066,2.1397396,54.365%,1.163269,18
13544.386,18, ,* U  ,0.97647066,0.97989893,0.3499%,0.003428,19
14706.084,19, ,* L  ,0.9766483,0.97989893,0.3317%,0.003251,20
15180.521,20, , ,0.9766483,0.97989893,0.3317%,0.003251,21
15243.258,21,Bound,* L  ,0.97666266,0.97989893,0.3303%,0.003236,20
15723.653,22, , ,0.97666266,0.97989893,0.3303%,0.003236,21
15814.415,23,Bound,* L  ,0.97666266,0.97989893,0.3303%,0.003236,20
15889.426,24,Bound, ,0.97666266,0.97989893,0.3303%,0.003236,19
16356.317,25, ,* L  ,0.97670598,0.97989893,0.3258%,0.003193,20
16503.505,26,Bound, ,0.97670598,0.97989893,0.3258%,0.003193,19
16992.482,27, ,* L  ,0.97690033,0.97989893,0.306%,0.002999,20
17227.052,28,Bound, ,0.97690033,0.97989893,0.306%,0.002999,19
17633.638,29, ,* L  ,0.97705958,0.97989893,0.2898%,0.002839,20
17834.304,30, , ,0.97705958,0.97989893,0.2898%,0.002839,21
18063.616,31, ,* L  ,0.97714989,0.97989893,0.2805%,0.002749,22
18107.105,32, , ,0.97714989,0.97989893,0.2805%,0.002749,23
18590.125,33, ,* L  ,0.97715179,0.97989893,0.2803%,0.002747,24
18641.606,34,Bound, ,0.97715179,0.97989893,0.2803%,0.002747,23
19146.948,35, ,* L  ,0.9771626,0.97989893,0.2792%,0.002736,24
19666.138,36, , ,0.9771626,0.97989893,0.2792%,0.002736,25
20179.277,37, ,* L  ,0.9771626,0.97989893,0.2792%,0.002736,26
20649.007,38, , ,0.9771626,0.97989893,0.2792%,0.002736,27
21131.733,39, ,* L  ,0.97726403,0.97989893,0.2689%,0.002635,28
