Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
1699.460,8,0.979634795,2.212738432,55.7275%,1.23310,0.979634795,2.212738432
1894.649,9,0.979484877,2.212738432,55.7343%,1.23325,0.979634795,2.212738432
2210.890,10,0.979496786,2.212738432,55.7337%,1.23324,0.979634795,2.212738432
2398.536,11,0.979528171,2.212738432,55.7323%,1.23321,0.979634795,2.212738432
2726.885,12,0.979283965,2.212738432,55.7433%,1.23345,0.979634795,2.212738432
2914.609,13,0.979492161,2.212738432,55.7339%,1.23325,0.979634795,2.212738432
3003.524,14,0.979503955,2.212738432,55.7334%,1.23323,0.979634795,2.212738432
3055.543,15,0.979252607,2.212738432,55.7448%,1.23349,0.979634795,2.212738432
3084.584,16,0.979226205,2.212738432,55.7460%,1.23351,0.979634795,2.212738432
3110.897,17,0.979218745,2.212738432,55.7463%,1.23352,0.979634795,2.212738432
3139.198,18,0.979241593,2.212738432,55.7453%,1.23350,0.979634795,2.212738432
3162.004,19,0.979239281,2.212738432,55.7454%,1.23350,0.979634795,2.212738432
3187.796,20,0.979249216,2.212738432,55.7449%,1.23349,0.979634795,2.212738432
3214.238,21,0.979224381,2.212738432,55.7460%,1.23351,0.979634795,2.212738432
3239.497,22,0.979208692,2.212738432,55.7467%,1.23353,0.979634795,2.212738432
3286.114,23,0.979203511,2.212738432,55.7470%,1.23353,0.979634795,2.212738432
3309.008,24,0.979212670,2.212738432,55.7466%,1.23353,0.979634795,2.212738432
3329.760,25,0.979242734,2.212738432,55.7452%,1.23350,0.979634795,2.212738432
3349.415,26,0.979207929,2.212738432,55.7468%,1.23353,0.979634795,2.212738432
3369.236,27,0.979206458,2.212738432,55.7468%,1.23353,0.979634795,2.212738432
3388.114,28,0.979233314,2.212738432,55.7456%,1.23351,0.979634795,2.212738432
3404.368,29,0.979203208,2.212738432,55.7470%,1.23354,0.979634795,2.212738432
3438.441,30,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3449.764,31,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3473.709,32,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3520.392,33,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3543.290,34,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3562.380,35,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3599.277,36,0.979202087,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3628.509,37,0.979202060,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3640.276,38,0.979203208,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3668.863,39,0.979202061,2.171319651,54.9029%,1.19212,0.979634795,2.171319651
3680.679,40,0.979202059,2.002164624,51.0928%,1.02296,0.979634795,2.002164624
3703.461,41,0.979202050,2.002164624,51.0928%,1.02296,0.979634795,2.002164624
3724.594,42,0.979202044,2.002164624,51.0928%,1.02296,0.979634795,2.002164624
3736.196,43,0.979202917,1.846265993,46.9631%,0.86706,0.979634795,1.846265993
3745.234,44,0.979202917,1.846265993,46.9631%,0.86706,0.979634795,1.846265993
3754.008,45,0.979202035,1.628992858,39.8891%,0.64979,0.979634795,1.628992858
3762.210,46,0.979202034,1.537301956,36.3039%,0.55810,0.979634795,1.537301956
3788.070,47,0.979202035,1.496419122,34.5637%,0.51722,0.979634795,1.496419122
3814.322,48,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3845.200,49,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3857.130,50,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3867.666,51,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3878.079,52,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3914.421,53,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3950.154,54,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
3990.136,55,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4027.559,56,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4065.194,57,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4087.068,58,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4107.466,59,0.979202060,0.979989703,0.0804%,0.00079,0.979634795,0.979989703
4175.125,60,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4255.804,61,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4286.375,62,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4317.292,63,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4317.602,64,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4397.537,65,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4443.123,66,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4465.451,67,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4897.341,68,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4944.634,69,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4944.912,70,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4989.687,71,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4989.850,72,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
4990.011,73,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5010.907,74,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5028.620,75,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5042.471,76,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5042.634,77,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5084.185,78,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5115.286,79,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5176.325,80,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5207.204,81,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5236.695,82,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5297.722,83,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5325.373,84,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5381.422,85,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5409.933,86,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5432.230,87,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5480.626,88,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5504.670,89,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5526.909,90,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5542.143,91,0.979201549,0.979989703,0.0804%,0.00079,0.979634795,0.979989703
5557.025,92,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5574.895,93,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5589.365,94,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5604.867,95,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5618.181,96,0.979201698,0.979989703,0.0804%,0.00079,0.979634795,0.979989703
5628.375,97,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5649.182,98,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
5783.599,99,0.979202917,0.979989703,0.0803%,0.00079,0.979634795,0.979989703
