Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
568.966,1, ,* L  ,0.97509949,inf,inf%,inf,2
1148.432,2, , ,0.97509949,inf,inf%,inf,3
1748.914,3, ,* L  ,0.97516326,inf,inf%,inf,4
2289.212,4, ,* U  ,0.97516326,2.1319998,54.2606%,1.156837,5
2867.208,5, ,* L  ,0.97537354,2.1319998,54.2508%,1.156626,6
3359.777,6, , ,0.97537354,2.1319998,54.2508%,1.156626,7
3861.473,7, ,* L  ,0.97553303,2.1319998,54.2433%,1.156467,8
4328.918,8, , ,0.97553303,2.1319998,54.2433%,1.156467,9
4815.109,9, ,* L  ,0.97555787,2.1319998,54.2421%,1.156442,10
5286.404,10, , ,0.97555787,2.1319998,54.2421%,1.156442,11
5811.264,11, ,* L  ,0.97558047,2.1319998,54.2411%,1.156419,12
6309.668,12, , ,0.97558047,2.1319998,54.2411%,1.156419,13
6781.621,13, ,* L  ,0.97558097,2.1319998,54.241%,1.156419,14
7253.859,14, , ,0.97558097,2.1319998,54.241%,1.156419,15
7695.951,15, ,* L  ,0.97560972,2.1319998,54.2397%,1.15639,16
8177.783,16, , ,0.97560972,2.1319998,54.2397%,1.15639,17
8260.7,17,Bound,* L  ,0.97561452,2.1319998,54.2395%,1.156385,16
8742.826,18, , ,0.97561452,2.1319998,54.2395%,1.156385,17
9193.269,19, ,* L  ,0.97563645,2.1319998,54.2384%,1.156363,18
9295.807,20,Bound, ,0.97563645,2.1319998,54.2384%,1.156363,17
9449.154,21, ,* L  ,0.97565644,2.1319998,54.2375%,1.156343,18
9480.604,22, ,* U  ,0.97565644,0.98044571,0.4885%,0.004789,19
9719.525,23, ,* L  ,0.97566737,0.98044571,0.4874%,0.004778,20
9952.721,24, , ,0.97566737,0.98044571,0.4874%,0.004778,21
10277.324,25,Bound,* L  ,0.97566737,0.98044571,0.4874%,0.004778,20
10360.968,26,Bound, ,0.97566737,0.98044571,0.4874%,0.004778,19
10570.383,27, ,* L  ,0.97566737,0.98044571,0.4874%,0.004778,20
10709.815,28, , ,0.97566737,0.98044571,0.4874%,0.004778,21
10915.478,29, ,* L  ,0.97566737,0.98044571,0.4874%,0.004778,22
11081.549,30, , ,0.97566737,0.98044571,0.4874%,0.004778,23
11291.069,31, ,* L  ,0.97566737,0.98044571,0.4874%,0.004778,24
11412.841,32, , ,0.97566737,0.98044571,0.4874%,0.004778,25
11608.419,33, ,* L  ,0.97569501,0.98044571,0.4845%,0.004751,26
11667.284,34, , ,0.97569501,0.98044571,0.4845%,0.004751,27
12204.594,35, ,* L  ,0.97570655,0.98044571,0.4834%,0.004739,28
12628.291,36, , ,0.97570655,0.98044571,0.4834%,0.004739,29
13060.239,37, ,* L  ,0.97570655,0.98044571,0.4834%,0.004739,30
13497.575,38, , ,0.97570655,0.98044571,0.4834%,0.004739,31
13933.301,39, ,* L  ,0.97570655,0.98044571,0.4834%,0.004739,32
14380.965,40, , ,0.97570655,0.98044571,0.4834%,0.004739,33
14826.109,41, ,* L  ,0.97570762,0.98044571,0.4833%,0.004738,34
15256.736,42, , ,0.97570762,0.98044571,0.4833%,0.004738,35
15337.067,43, ,* L  ,0.97570897,0.98044571,0.4831%,0.004737,36
15768.45,44, , ,0.97570897,0.98044571,0.4831%,0.004737,37
16208.314,45, ,* L  ,0.975715,0.98044571,0.4825%,0.004731,38
16651.406,46, , ,0.975715,0.98044571,0.4825%,0.004731,39
17073.043,47, ,* L  ,0.97571944,0.98044571,0.4821%,0.004726,40
17502.9,48, , ,0.97571944,0.98044571,0.4821%,0.004726,41
17977.688,49, ,* L  ,0.97571944,0.98044571,0.4821%,0.004726,42
18452.934,50, , ,0.97571944,0.98044571,0.4821%,0.004726,43
19203.404,51, ,* L  ,0.97576281,0.98044571,0.4776%,0.004683,44
19593.926,52, , ,0.97576281,0.98044571,0.4776%,0.004683,45
19986.882,53, ,* L  ,0.97578825,0.98044571,0.475%,0.004657,46
20709.55,54, , ,0.97578825,0.98044571,0.475%,0.004657,47
21252.515,55,Bound,* L  ,0.97581697,0.98044571,0.4721%,0.004629,46
21398.094,56, , ,0.97581697,0.98044571,0.4721%,0.004629,47
